#Acceptor concentration [cm-3]	Jn [A cm-2]:0	Jn [A cm-2]:1	Jn [A cm-2]:2	ArsenicActiveConcentration	BoronActiveConcentration	Conduction band level [eV]	Donor concentration [cm-3]	Dopant concentration [cm-3]	DopingConcentration	Electron Mobility [cm2 s-1 V-1]	Electron density [cm-3]	Electron quasi fermi band level [eV]	Electron quasi fermi potential [V]	Electrostatic potential [V]	G Impact ionization [cm-3 s-1]	GR Auger [cm-3 s-1]	GR Srh [cm-3 s-1]	Hole Mobility [cm2 s-1 V-1]	Hole density [cm-3]	Hole quasi fermi band level [eV]	Hole quasi fermi potential [V]	Middle band level [eV]	PhosphorusActiveConcentration	Space Charge [cm-3]	Valence band level [eV]	Jp [A cm-2]:0	Jp [A cm-2]:1	Jp [A cm-2]:2	Electron Avalanche field [V cm-1]	Hole Avalanche field [V cm-1]	Stabi X	Stabi Y	Stabi Z	Electric field [V cm-1]:0	Electric field [V cm-1]:1	Electric field [V cm-1]:2	Electron velocity [cm s-1]:0	Electron velocity [cm s-1]:1	Electron velocity [cm s-1]:2	Grad Electron quasi fermi potential [V cm]:0	Grad Electron quasi fermi potential [V cm]:1	Grad Electron quasi fermi potential [V cm]:2	Grad Hole quasi fermi potential [V cm]:0	Grad Hole quasi fermi potential [V cm]:1	Grad Hole quasi fermi potential [V cm]:2	Hole velocity [cm s-1]:0	Hole velocity [cm s-1]:1	Hole velocity [cm s-1]:2	Jn element [A cm-2]:0	Jn element [A cm-2]:1	Jn element [A cm-2]:2	Jp element [A cm-2]:0	Jp element [A cm-2]:1	Jp element [A cm-2]:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.0000000000e+17	1.7256268614e+02	3.4369631575e+02	-3.5165011161e+04	9.1007689730e+17	1.0000000000e+17	1.3751824842e-01	9.1007689730e+17	8.1007689730e+17	8.1007689730e+17	1.4169997992e+03	8.1007689730e+17	4.4150000000e-02	0.0000000000e+00	4.6893175158e-01	0.0000000000e+00	0.0000000000e+00	-1.0084812368e-08	4.7049997786e+02	1.4265621016e+02	4.4150000000e-02	0.0000000000e+00	-4.2478175158e-01	0.0000000000e+00	0.0000000000e+00	-9.8708175158e-01	8.0453729255e+00	2.1534563812e+00	-1.0119040254e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0.0000000000e+00	5.0000000745e-02	5.0000000745e-02	0.0000000000e+00
1.0000000000e+17	-2.0593998536e+02	1.5360385161e+02	-3.5169930758e+04	9.0748091684e+17	1.0000000000e+17	1.3771698258e-01	9.0748091684e+17	8.0748091684e+17	8.0748091684e+17	1.4169997992e+03	8.0283614274e+17	4.4110936656e-02	3.9063343829e-05	4.6873301742e-01	0.0000000000e+00	0.0000000000e+00	-3.3909903879e+19	4.7049997786e+02	1.0201240043e+14	-7.6144079707e-02	1.2029407971e-01	-4.2458301742e-01	0.0000000000e+00	0.0000000000e+00	-9.8688301742e-01	8.3738538315e+00	2.1652066051e+00	-1.0119762888e+03	0.0000000000e+00	0.0000000000e+00	-5.9843820010e-04	-2.2659298795e-02	2.2946771381e+01	-1.3960523280e+03	3.3227004749e+02	9.9367245377e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.6605338671e-02	8.0480437648e-02	1.9531670982e+02	1.0944201696e+00	-9.9781626746e+00	6.0147036997e+05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.7776720843e+03	2.9390120557e+03	-4.3679660385e+04	1.6409967708e+01	-4.0987279431e+00	-9.5628538033e+02	1	2.0000000950e-03	5.0000000745e-02	5.0000000745e-02	2.0000000950e-03
1.0000000000e+17	-5.8444254283e+02	-3.6488521518e+01	-3.5174849959e+04	9.0488492441e+17	1.0000000000e+17	1.3791571708e-01	9.0488492441e+17	8.0488492441e+17	8.0488492441e+17	1.4169997992e+03	7.9559537785e+17	4.4071873312e-02	7.8126687649e-05	4.6853428292e-01	0.0000000000e+00	0.0000000000e+00	-6.7819808423e+19	4.7049997786e+02	2.0402480287e+14	-1.9643815941e-01	2.4058815941e-01	-4.2438428292e-01	0.0000000000e+00	0.0000000000e+00	-9.8668428292e-01	8.7023334147e+00	2.1769559266e+00	-1.0120485573e+03	0.0000000000e+00	0.0000000000e+00	-5.9843820010e-04	-2.2659298795e-02	2.2946771381e+01	-1.3960523280e+03	3.3227004749e+02	9.9367245377e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.6605338671e-02	8.0480437648e-02	1.9531670982e+02	1.0944201696e+00	-9.9781626746e+00	6.0147036997e+05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.7776720843e+03	2.9390120557e+03	-4.3679660385e+04	1.6409967708e+01	-4.0987279431e+00	-9.5628538033e+02	1	4.0000001900e-03	5.0000000745e-02	5.0000000745e-02	4.0000001900e-03
1.0000000000e+17	-9.6294505623e+02	-2.2658087252e+02	-3.5179769158e+04	9.0228893228e+17	1.0000000000e+17	1.3811445155e-01	9.0228893228e+17	8.0228893228e+17	8.0228893228e+17	1.4169997992e+03	7.8835461381e+17	4.4032809973e-02	1.1719002692e-04	4.6833554845e-01	0.0000000000e+00	0.0000000000e+00	-1.0172970902e+20	4.7049997786e+02	3.0603719343e+14	-3.1673222512e-01	3.6088222512e-01	-4.2418554845e-01	0.0000000000e+00	0.0000000000e+00	-9.8648554845e-01	9.0308129598e+00	2.1887052467e+00	-1.0121208257e+03	0.0000000000e+00	0.0000000000e+00	-5.9843820010e-04	-2.2659298795e-02	2.2946771381e+01	-1.3960523280e+03	3.3227004749e+02	9.9367245377e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.6605338671e-02	8.0480437648e-02	1.9531670982e+02	1.0944201696e+00	-9.9781626746e+00	6.0147036997e+05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-2.7776720843e+03	2.9390120557e+03	-4.3679660385e+04	1.6409967708e+01	-4.0987279431e+00	-9.5628538033e+02	1	6.0000000522e-03	5.0000000745e-02	5.0000000745e-02	6.0000000522e-03
1.0000000000e+17	-1.3414477666e+03	-4.1667324682e+02	-3.5184688440e+04	8.9969293948e+17	1.0000000000e+17	1.3831318608e-01	8.9969293948e+17	7.9969293948e+17	7.9969293948e+17	1.4169997992e+03	7.8111384774e+17	4.3993746625e-02	1.5625337511e-04	4.6813681392e-01	0.0000000000e+00	0.0000000000e+00	-1.3563961657e+20	4.7049997786e+02	4.0804960489e+14	-4.3702631885e-01	4.8117631885e-01	-4.2398681392e-01	0.0000000000e+00	0.0000000000e+00	-9.8628681392e-01	9.3592924920e+00	2.2004543637e+00	-1.0121930934e+03	0.0000000000e+00	0.0000000000e+00	-4.4357969066e-02	-4.4357969066e-02	1.5006242469e+01	3.9466279910e+02	-1.3993567837e+03	9.9367245377e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1661625844e+00	-1.1661625844e+00	1.9531670982e+02	1.1399535905e+02	1.1399535905e+02	6.0147036997e+05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2976213446e+04	-5.7135034674e+03	-4.1474204986e+04	7.3517283877e+01	2.9027879507e+01	-9.6932455595e+02	1	8.0000003800e-03	5.0000000745e-02	5.0000000745e-02	8.0000003800e-03
1.0000000000e+17	-1.7199501919e+03	-6.0676555356e+02	-3.5189607639e+04	8.9709694795e+17	1.0000000000e+17	1.3851192051e-01	8.9709694795e+17	7.9709694795e+17	7.9709694795e+17	1.4169997992e+03	7.7387308538e+17	4.3954683295e-02	1.9531670528e-04	4.6793807949e-01	0.0000000000e+00	0.0000000000e+00	-1.6954950927e+20	4.7049997786e+02	5.1006197170e+14	-5.5732035654e-01	6.0147035654e-01	-4.2378807949e-01	0.0000000000e+00	0.0000000000e+00	-9.8608807949e-01	9.6877719606e+00	2.2122036811e+00	-1.0122653618e+03	0.0000000000e+00	0.0000000000e+00	-4.4357969066e-02	-4.4357969066e-02	1.5006242469e+01	3.9466279910e+02	-1.3993567837e+03	9.9367245377e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1661625844e+00	-1.1661625844e+00	1.9531670982e+02	1.1399535905e+02	1.1399535905e+02	6.0147036997e+05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2976213446e+04	-5.7135034674e+03	-4.1474204986e+04	7.3517283877e+01	2.9027879507e+01	-9.6932455595e+02	1	9.9999997765e-03	5.0000000745e-02	5.0000000745e-02	9.9999997765e-03
1.0000000000e+17	-2.0984527934e+03	-7.9685794882e+02	-3.5194526840e+04	8.9450095522e+17	1.0000000000e+17	1.3871065503e-01	8.9450095522e+17	7.9450095522e+17	7.9450095522e+17	1.4169997992e+03	7.6663231965e+17	4.3915619946e-02	2.3438005365e-04	4.6773934497e-01	0.0000000000e+00	0.0000000000e+00	-2.0345941776e+20	4.7049997786e+02	6.1207438602e+14	-6.7761445025e-01	7.2176445025e-01	-4.2358934497e-01	0.0000000000e+00	0.0000000000e+00	-9.8588934497e-01	1.0016251582e+01	2.2239530039e+00	-1.0123376303e+03	0.0000000000e+00	0.0000000000e+00	-4.4357969066e-02	-4.4357969066e-02	1.5006242469e+01	3.9466279910e+02	-1.3993567837e+03	9.9367245377e+02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.1661625844e+00	-1.1661625844e+00	1.9531670982e+02	1.1399535905e+02	1.1399535905e+02	6.0147036997e+05	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.2976213446e+04	-5.7135034674e+03	-4.1474204986e+04	7.3517283877e+01	2.9027879507e+01	-9.6932455595e+02	1	1.2000000104e-02	5.0000000745e-02	5.0000000745e-02	1.2000000104e-02
1.0000000000e+17	-2.2270629167e+03	-8.4169653202e+02	-3.5128154221e+04	8.8821677569e+17	1.0000000000e+17	1.3893490341e-01	8.8821677569e+17	7.8821677569e+17	7.8821677569e+17	1.4169997992e+03	7.5893924709e+17	4.3874895219e-02	2.7510478087e-04	4.6751509659e-01	0.0000000000e+00	0.0000000000e+00	-2.3896529763e+20	4.7049997786e+02	7.1941781145e+14	-7.0977011477e-01	7.5392011477e-01	-4.2336509659e-01	0.0000000000e+00	0.0000000000e+00	-9.8566509659e-01	1.0194421641e+01	2.0956442907e+00	-1.0128725535e+03	2.0639671876e+02	1.3881147850e+04	4.2303859419e-02	-3.0801130539e-02	9.9716312478e-01	3.5991125849e+02	-1.3647871570e+03	1.1637647405e+03	-6.0080733102e+02	-1.7554314528e+03	2.9245826507e+05	-4.2399952789e-01	-1.2388365934e+00	2.0639256533e+02	-2.9062860565e+01	5.4266287034e+01	1.3881011352e+04	-1.3674075896e+04	2.5532288050e+04	6.5310158411e+06	-1.4330941103e+04	-6.2791652239e+03	-4.1665152279e+04	7.9961471760e+01	3.0325276396e+01	-9.7433757674e+02	1	1.4000000432e-02	5.0000000745e-02	5.0000000745e-02	1.4000000432e-02
1.0000000000e+17	-2.2723758264e+03	-8.3811723292e+02	-3.5038017725e+04	8.8070320162e+17	1.0000000000e+17	1.3916765639e-01	8.8070320162e+17	7.8070320162e+17	7.8070320162e+17	1.4169997992e+03	7.5109540585e+17	4.3833616699e-02	3.1638330071e-04	4.6728234361e-01	0.0000000000e+00	0.0000000000e+00	-2.7500316866e+20	4.7049997786e+02	8.2853824274e+14	-7.1254631749e-01	7.5669631749e-01	-4.2313234361e-01	0.0000000000e+00	0.0000000000e+00	-9.8543234361e-01	1.0322489086e+01	1.9206493408e+00	-1.0135616940e+03	2.0639671876e+02	1.3881147850e+04	4.2303859419e-02	-3.0801130539e-02	9.9716312478e-01	3.5991125849e+02	-1.3647871570e+03	1.1637647405e+03	-6.0080733102e+02	-1.7554314528e+03	2.9245826507e+05	-4.2399952789e-01	-1.2388365934e+00	2.0639256533e+02	-2.9062860565e+01	5.4266287034e+01	1.3881011352e+04	-1.3674075896e+04	2.5532288050e+04	6.5310158411e+06	-1.4330941103e+04	-6.2791652239e+03	-4.1665152279e+04	7.9961471760e+01	3.0325276396e+01	-9.7433757674e+02	1	1.6000000760e-02	5.0000000745e-02	5.0000000745e-02	1.6000000760e-02
1.0000000000e+17	-2.3176886939e+03	-8.3453793715e+02	-3.4947881312e+04	8.7318963455e+17	1.0000000000e+17	1.3940040916e-01	8.7318963455e+17	7.7318963455e+17	7.7318963455e+17	1.4169997992e+03	7.4325157193e+17	4.3792338218e-02	3.5766178209e-04	4.6704959084e-01	0.0000000000e+00	0.0000000000e+00	-3.1104100613e+20	4.7049997786e+02	9.3765857241e+14	-7.1532251763e-01	7.5947251763e-01	-4.2289959084e-01	0.0000000000e+00	0.0000000000e+00	-9.8519959084e-01	1.0450556412e+01	1.7456545538e+00	-1.0142508338e+03	2.0639671876e+02	1.3881147850e+04	4.2303859419e-02	-3.0801130539e-02	9.9716312478e-01	3.5991125849e+02	-1.3647871570e+03	1.1637647405e+03	-6.0080733102e+02	-1.7554314528e+03	2.9245826507e+05	-4.2399952789e-01	-1.2388365934e+00	2.0639256533e+02	-2.9062860565e+01	5.4266287034e+01	1.3881011352e+04	-1.3674075896e+04	2.5532288050e+04	6.5310158411e+06	-1.4330941103e+04	-6.2791652239e+03	-4.1665152279e+04	7.9961471760e+01	3.0325276396e+01	-9.7433757674e+02	1	1.7999999225e-02	5.0000000745e-02	5.0000000745e-02	1.7999999225e-02
