"Acceptor concentration [cm-3]","Jn [A cm-2]:0","Jn [A cm-2]:1","Jn [A cm-2]:2","ArsenicActiveConcentration","BoronActiveConcentration","Conduction band level [eV]","Donor concentration [cm-3]","Dopant concentration [cm-3]","DopingConcentration","Electron Mobility [cm2 s-1 V-1]","Electron density [cm-3]","Electron quasi fermi band level [eV]","Electron quasi fermi potential [V]","Electrostatic potential [V]","G Impact ionization [cm-3 s-1]","GR Auger [cm-3 s-1]","GR Srh [cm-3 s-1]","Hole Mobility [cm2 s-1 V-1]","Hole density [cm-3]","Hole quasi fermi band level [eV]","Hole quasi fermi potential [V]","Middle band level [eV]","PhosphorusActiveConcentration","Space Charge [cm-3]","Valence band level [eV]","Jp [A cm-2]:0","Jp [A cm-2]:1","Jp [A cm-2]:2","Electron Avalanche field [V cm-1]","Hole Avalanche field [V cm-1]","Stabi X","Stabi Y","Stabi Z","Electric field [V cm-1]:0","Electric field [V cm-1]:1","Electric field [V cm-1]:2","Electron velocity [cm s-1]:0","Electron velocity [cm s-1]:1","Electron velocity [cm s-1]:2","Grad Electron quasi fermi potential [V cm]:0","Grad Electron quasi fermi potential [V cm]:1","Grad Electron quasi fermi potential [V cm]:2","Grad Hole quasi fermi potential [V cm]:0","Grad Hole quasi fermi potential [V cm]:1","Grad Hole quasi fermi potential [V cm]:2","Hole velocity [cm s-1]:0","Hole velocity [cm s-1]:1","Hole velocity [cm s-1]:2","Jn element [A cm-2]:0","Jn element [A cm-2]:1","Jn element [A cm-2]:2","Jp element [A cm-2]:0","Jp element [A cm-2]:1","Jp element [A cm-2]:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,nan,nan,-3.3298228570e+04,9.1007689730e+17,1.0000000000e+17,1.3751824842e-01,9.1007689730e+17,8.1007689730e+17,8.1007689730e+17,1.4169997992e+03,8.1007689730e+17,4.4150000000e-02,0.0000000000e+00,4.6893175158e-01,0.0000000000e+00,0.0000000000e+00,-1.0084812368e-08,4.7049997786e+02,1.4265621016e+02,4.4150000000e-02,0.0000000000e+00,-4.2478175158e-01,0.0000000000e+00,0.0000000000e+00,-9.8708175158e-01,nan,nan,-1.0184856409e+03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0000000000e+00,5.0000000745e-02,5.0000000745e-02,0.0000000000e+00
1.0000000000e+17,nan,nan,-3.3261941631e+04,9.0488492441e+17,1.0000000000e+17,1.3791571708e-01,9.0488492441e+17,8.0488492441e+17,8.0488492441e+17,1.4169997992e+03,7.9559537785e+17,4.4071873312e-02,7.8126687649e-05,4.6853428292e-01,0.0000000000e+00,0.0000000000e+00,-6.7819808423e+19,4.7049997786e+02,2.0402480287e+14,-1.9643815941e-01,2.4058815941e-01,-4.2438428292e-01,0.0000000000e+00,0.0000000000e+00,-9.8668428292e-01,nan,nan,-1.0196676738e+03,0.0000000000e+00,0.0000000000e+00,-5.9843820010e-04,-2.2659298795e-02,2.2946771381e+01,-1.3960523280e+03,3.3227004749e+02,9.9367245377e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6605338671e-02,8.0480437648e-02,1.9531670982e+02,1.0944201696e+00,-9.9781626746e+00,6.0147036997e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.0919520162e+02,1.2993861046e+02,-3.3627176192e+04,1.5940542106e+01,-3.3098547820e+00,-1.0083673868e+03,1,4.0000001900e-03,5.0000000745e-02,5.0000000745e-02,4.0000001900e-03
1.0000000000e+17,nan,nan,-3.3225654573e+04,8.9969293948e+17,1.0000000000e+17,1.3831318608e-01,8.9969293948e+17,7.9969293948e+17,7.9969293948e+17,1.4169997992e+03,7.8111384774e+17,4.3993746625e-02,1.5625337511e-04,4.6813681392e-01,0.0000000000e+00,0.0000000000e+00,-1.3563961657e+20,4.7049997786e+02,4.0804960489e+14,-4.3702631885e-01,4.8117631885e-01,-4.2398681392e-01,0.0000000000e+00,0.0000000000e+00,-9.8628681392e-01,nan,nan,-1.0208497103e+03,0.0000000000e+00,0.0000000000e+00,-4.4357969066e-02,-4.4357969066e-02,1.5006242469e+01,3.9466279910e+02,-1.3993567837e+03,9.9367245377e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.1661625844e+00,-1.1661625844e+00,1.9531670982e+02,1.1399535905e+02,1.1399535905e+02,6.0147036997e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.0802702362e+03,-9.6281605995e+02,-3.3602684593e+04,8.5267760419e+01,2.7859472071e+01,-1.0093104117e+03,1,8.0000003800e-03,5.0000000745e-02,5.0000000745e-02,8.0000003800e-03
1.0000000000e+17,nan,nan,-3.3189367509e+04,8.9450095522e+17,1.0000000000e+17,1.3871065503e-01,8.9450095522e+17,7.9450095522e+17,7.9450095522e+17,1.4169997992e+03,7.6663231965e+17,4.3915619946e-02,2.3438005365e-04,4.6773934497e-01,0.0000000000e+00,0.0000000000e+00,-2.0345941776e+20,4.7049997786e+02,6.1207438602e+14,-6.7761445025e-01,7.2176445025e-01,-4.2358934497e-01,0.0000000000e+00,0.0000000000e+00,-9.8588934497e-01,nan,nan,-1.0220317471e+03,0.0000000000e+00,0.0000000000e+00,-4.4357969066e-02,-4.4357969066e-02,1.5006242469e+01,3.9466279910e+02,-1.3993567837e+03,9.9367245377e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.1661625844e+00,-1.1661625844e+00,1.9531670982e+02,1.1399535905e+02,1.1399535905e+02,6.0147036997e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.0802702362e+03,-9.6281605995e+02,-3.3602684593e+04,8.5267760419e+01,2.7859472071e+01,-1.0093104117e+03,1,1.2000000104e-02,5.0000000745e-02,5.0000000745e-02,1.2000000104e-02
1.0000000000e+17,-3.4029782897e+02,nan,-3.3160420564e+04,8.8070320162e+17,1.0000000000e+17,1.3916765639e-01,8.8070320162e+17,7.8070320162e+17,7.8070320162e+17,1.4169997992e+03,7.5109540585e+17,4.3833616699e-02,3.1638330071e-04,4.6728234361e-01,0.0000000000e+00,0.0000000000e+00,-2.7500316866e+20,4.7049997786e+02,8.2853824274e+14,-7.1254631749e-01,7.5669631749e-01,-4.2313234361e-01,0.0000000000e+00,0.0000000000e+00,-9.8543234361e-01,-2.8128206878e+00,nan,-1.0231195260e+03,2.0639671876e+02,1.3881147850e+04,4.2303859419e-02,-3.0801130539e-02,9.9716312478e-01,3.5991125849e+02,-1.3647871570e+03,1.1637647405e+03,-6.0080733102e+02,-1.7554314528e+03,2.9245826507e+05,-4.2399952789e-01,-1.2388365934e+00,2.0639256533e+02,-2.9062860565e+01,5.4266287034e+01,1.3881011352e+04,-1.3674075896e+04,2.5532288050e+04,6.5310158411e+06,-2.0243941533e+03,-9.3091761220e+02,-3.3419302976e+04,9.3410956215e+01,2.7268381372e+01,-1.0157346967e+03,1,1.6000000760e-02,5.0000000745e-02,5.0000000745e-02,1.6000000760e-02
1.0000000000e+17,-3.7871453164e+02,nan,-3.3132522142e+04,8.6567605302e+17,1.0000000000e+17,1.3963316231e-01,8.6567605302e+17,7.6567605302e+17,7.6567605302e+17,1.4169997992e+03,7.3540772649e+17,4.3751059698e-02,3.9894030215e-04,4.6681683769e-01,0.0000000000e+00,0.0000000000e+00,-3.4707888009e+20,4.7049997786e+02,1.0467790127e+15,-7.1809872034e-01,7.6224872034e-01,-4.2266683769e-01,0.0000000000e+00,0.0000000000e+00,-9.8496683769e-01,3.0863319972e+00,nan,-1.0241938414e+03,2.0639536612e+02,1.3881423332e+04,-1.0081594532e-01,7.9341122569e-02,8.1842727198e-01,1.4178681818e+03,-3.0683023362e+02,1.1637647405e+03,1.4869290659e+03,3.3230494409e+02,2.9245826507e+05,1.0493500818e+00,2.3451301629e-01,2.0639256533e+02,-1.0477438616e+02,-2.1445238558e+01,1.3881011352e+04,-4.9296348686e+04,-1.0089984742e+04,6.5310158411e+06,-7.4993368406e+02,8.5163946163e+01,-3.3398253249e+04,2.2545771251e+01,-2.6829801591e+00,-1.0164002766e+03,1,1.9999999553e-02,5.0000000745e-02,5.0000000745e-02,1.9999999553e-02
1.0000000000e+17,-4.1713129704e+02,nan,-3.3104623794e+04,8.5064890489e+17,1.0000000000e+17,1.4009866828e-01,8.5064890489e+17,7.5064890489e+17,7.5064890489e+17,1.4169997992e+03,7.1972004402e+17,4.3668502658e-02,4.8149734181e-04,4.6635133172e-01,0.0000000000e+00,0.0000000000e+00,-4.1915462214e+20,4.7049997786e+02,1.2650198753e+15,-7.2365112580e-01,7.6780112580e-01,-4.2220133172e-01,0.0000000000e+00,0.0000000000e+00,-9.8450133172e-01,8.9854881418e+00,nan,-1.0252681546e+03,2.0639536612e+02,1.3881423332e+04,-1.0081594532e-01,7.9341122569e-02,8.1842727198e-01,1.4178681818e+03,-3.0683023362e+02,1.1637647405e+03,1.4869290659e+03,3.3230494409e+02,2.9245826507e+05,1.0493500818e+00,2.3451301629e-01,2.0639256533e+02,-1.0477438616e+02,-2.1445238558e+01,1.3881011352e+04,-4.9296348686e+04,-1.0089984742e+04,6.5310158411e+06,-7.4993368406e+02,8.5163946163e+01,-3.3398253249e+04,2.2545771251e+01,-2.6829801591e+00,-1.0164002766e+03,1,2.4000000209e-02,5.0000000745e-02,5.0000000745e-02,2.4000000209e-02
1.0000000000e+17,-4.1031984695e+02,-1.9862843910e+01,-3.3089988317e+04,8.2940854134e+17,1.0000000000e+17,1.4080844120e-01,8.2940854134e+17,7.2940854134e+17,7.2940854134e+17,1.4169997992e+03,6.9844749774e+17,4.3580618416e-02,5.6938158445e-04,4.6564155880e-01,0.0000000000e+00,0.0000000000e+00,-4.9946351196e+20,4.7049997786e+02,1.5100063252e+15,-7.2736715492e-01,7.7151715492e-01,-4.2149155880e-01,0.0000000000e+00,0.0000000000e+00,-9.8379155880e-01,1.0299360855e+01,5.0246295584e-01,-1.0258317713e+03,2.2415193716e+02,7.7598772342e+03,-3.6151224591e-02,-3.0977716276e-02,7.4124448301e-01,1.3719948650e+03,-3.5176934984e+02,1.9779876716e+03,1.3259218098e+03,-2.6908526827e+02,3.1762041342e+05,9.3572463644e-01,-1.8989786046e-01,2.2414990361e+02,-4.1808639371e+01,9.5943609097e+00,7.7597586738e+03,-1.9670964824e+04,4.5141468080e+03,3.6509664560e+06,-6.8950258946e+02,1.6765749563e+02,-3.3284035304e+04,2.1491842643e+01,-5.4359604313e+00,-1.0204305003e+03,1,2.8000000864e-02,5.0000000745e-02,5.0000000745e-02,2.8000000864e-02
1.0000000000e+17,-3.8843239154e+02,-9.4733337925e+00,-3.3079773867e+04,8.0609711389e+17,1.0000000000e+17,1.4159963625e-01,8.0609711389e+17,7.0609711389e+17,7.0609711389e+17,1.4169997992e+03,6.7531333444e+17,4.3490958439e-02,6.5904156066e-04,4.6485036375e-01,0.0000000000e+00,0.0000000000e+00,-5.8251677893e+20,4.7049997786e+02,1.7639079538e+15,-7.3047105890e-01,7.7462105890e-01,-4.2070036375e-01,0.0000000000e+00,0.0000000000e+00,-9.8300036375e-01,1.0084809310e+01,2.8809193015e-01,-1.0262251538e+03,2.2415290481e+02,7.7598260438e+03,9.3460988562e-03,-7.0744274333e-02,9.4360340318e-01,-1.3307315798e+03,3.9219017805e+02,1.9779876716e+03,7.7643093437e+02,1.4486760025e+03,3.1762041342e+05,5.4793996780e-01,1.0223542713e+00,2.2414990361e+02,-1.3746965781e+01,-2.9267317793e+01,7.7597586738e+03,-6.4679473998e+03,-1.3770273022e+04,3.6509664560e+06,-6.5953762786e+02,2.3892567604e+01,-3.3292792297e+04,1.7365832361e+01,2.9515647569e-01,-1.0196663180e+03,1,3.2000001520e-02,5.0000000745e-02,5.0000000745e-02,3.2000001520e-02
1.0000000000e+17,-3.6654490604e+02,9.1620435723e-01,-3.3069559353e+04,7.8278570101e+17,1.0000000000e+17,1.4239083071e-01,7.8278570101e+17,6.8278570101e+17,6.8278570101e+17,1.4169997992e+03,6.5217918891e+17,4.3401298547e-02,7.4870145330e-04,4.6405916929e-01,0.0000000000e+00,0.0000000000e+00,-6.6556997177e+20,4.7049997786e+02,2.0178093559e+15,-7.3357495999e-01,7.7772495999e-01,-4.1990916929e-01,0.0000000000e+00,0.0000000000e+00,-9.8220916929e-01,9.8702567662e+00,7.3719861019e-02,-1.0266185382e+03,2.2415290481e+02,7.7598260438e+03,9.3460988562e-03,-7.0744274333e-02,9.4360340318e-01,-1.3307315798e+03,3.9219017805e+02,1.9779876716e+03,7.7643093437e+02,1.4486760025e+03,3.1762041342e+05,5.4793996780e-01,1.0223542713e+00,2.2414990361e+02,-1.3746965781e+01,-2.9267317793e+01,7.7597586738e+03,-6.4679473998e+03,-1.3770273022e+04,3.6509664560e+06,-6.5953762786e+02,2.3892567604e+01,-3.3292792297e+04,1.7365832361e+01,2.9515647569e-01,-1.0196663180e+03,1,3.5999998450e-02,5.0000000745e-02,5.0000000745e-02,3.5999998450e-02
