"Acceptor concentration [cm-3]","Jn [A cm-2]:0","Jn [A cm-2]:1","Jn [A cm-2]:2","ArsenicActiveConcentration","BoronActiveConcentration","Conduction band level [eV]","Donor concentration [cm-3]","Dopant concentration [cm-3]","DopingConcentration","Electron Mobility [cm2 s-1 V-1]","Electron density [cm-3]","Electron quasi fermi band level [eV]","Electron quasi fermi potential [V]","Electrostatic potential [V]","G Impact ionization [cm-3 s-1]","GR Auger [cm-3 s-1]","GR Srh [cm-3 s-1]","Hole Mobility [cm2 s-1 V-1]","Hole density [cm-3]","Hole quasi fermi band level [eV]","Hole quasi fermi potential [V]","Middle band level [eV]","PhosphorusActiveConcentration","Space Charge [cm-3]","Valence band level [eV]","Jp [A cm-2]:0","Jp [A cm-2]:1","Jp [A cm-2]:2","Electron Avalanche field [V cm-1]","Hole Avalanche field [V cm-1]","Stabi X","Stabi Y","Stabi Z","Electric field [V cm-1]:0","Electric field [V cm-1]:1","Electric field [V cm-1]:2","Electron velocity [cm s-1]:0","Electron velocity [cm s-1]:1","Electron velocity [cm s-1]:2","Grad Electron quasi fermi potential [V cm]:0","Grad Electron quasi fermi potential [V cm]:1","Grad Electron quasi fermi potential [V cm]:2","Grad Hole quasi fermi potential [V cm]:0","Grad Hole quasi fermi potential [V cm]:1","Grad Hole quasi fermi potential [V cm]:2","Hole velocity [cm s-1]:0","Hole velocity [cm s-1]:1","Hole velocity [cm s-1]:2","Jn element [A cm-2]:0","Jn element [A cm-2]:1","Jn element [A cm-2]:2","Jp element [A cm-2]:0","Jp element [A cm-2]:1","Jp element [A cm-2]:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,-2.0977629329e+00,3.1253551958e+01,-3.3770100532e+04,9.1007689730e+17,1.0000000000e+17,1.3751824842e-01,9.1007689730e+17,8.1007689730e+17,8.1007689730e+17,1.4169997992e+03,8.1007689730e+17,4.4150000000e-02,0.0000000000e+00,4.6893175158e-01,0.0000000000e+00,0.0000000000e+00,-1.0084812368e-08,4.7049997786e+02,1.4265621016e+02,4.4150000000e-02,0.0000000000e+00,-4.2478175158e-01,0.0000000000e+00,0.0000000000e+00,-9.8708175158e-01,-1.1401221482e-13,-5.4415191728e-12,-1.8876770792e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0000000000e+00,5.0000000745e-02,5.0000000745e-02,0.0000000000e+00
1.0000000000e+17,-6.6990510395e+00,4.1045022247e+01,-3.3683206511e+04,9.0608307495e+17,1.0000000000e+17,1.3782399345e-01,9.0608307495e+17,8.0608307495e+17,8.0608307495e+17,1.4169997992e+03,7.9893726986e+17,4.4089902551e-02,6.0097449241e-05,4.6862600655e-01,0.0000000000e+00,0.0000000000e+00,-5.2169080819e+19,4.7049997786e+02,1.5694214828e+14,-1.4091780632e-01,1.8506780632e-01,-4.2447600655e-01,0.0000000000e+00,0.0000000000e+00,-9.8677600655e-01,9.1703086747e-02,-3.3314680745e-01,-1.1877631651e+02,0.0000000000e+00,0.0000000000e+00,-5.9843820010e-04,-2.2659298795e-02,2.2946771381e+01,-1.3960523280e+03,3.3227004749e+02,9.9367245377e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6605338671e-02,8.0480437648e-02,1.9531670982e+02,1.0944201696e+00,-9.9781626746e+00,6.0147036997e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.2677899437e+00,-1.3780352704e+01,-3.3443321497e+04,-3.4375384105e-13,3.1341086735e-12,-1.8891990087e-07,1,3.0769230798e-03,5.0000000745e-02,5.0000000745e-02,3.0769230798e-03
1.0000000000e+17,-1.1300342300e+01,5.0836491607e+01,-3.3596312318e+04,9.0208924063e+17,1.0000000000e+17,1.3812973882e-01,9.0208924063e+17,8.0208924063e+17,8.0208924063e+17,1.4169997992e+03,7.8779763209e+17,4.4029805102e-02,1.2019489847e-04,4.6832026118e-01,0.0000000000e+00,0.0000000000e+00,-1.0433816230e+20,4.7049997786e+02,3.1388429857e+14,-3.2598561263e-01,3.7013561263e-01,-4.2417026118e-01,0.0000000000e+00,0.0000000000e+00,-9.8647026118e-01,1.8340617704e-01,-6.6629365381e-01,-2.3755263085e+02,0.0000000000e+00,0.0000000000e+00,-5.9843820010e-04,-2.2659298795e-02,2.2946771381e+01,-1.3960523280e+03,3.3227004749e+02,9.9367245377e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6605338671e-02,8.0480437648e-02,1.9531670982e+02,1.0944201696e+00,-9.9781626746e+00,6.0147036997e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.2677899437e+00,-1.3780352704e+01,-3.3443321497e+04,-3.4375384105e-13,3.1341086735e-12,-1.8891990087e-07,1,6.1538461596e-03,5.0000000745e-02,5.0000000745e-02,6.1538461596e-03
1.0000000000e+17,-1.5901631759e+01,6.0627961194e+01,-3.3509418123e+04,8.9809540623e+17,1.0000000000e+17,1.3843548419e-01,8.9809540623e+17,7.9809540623e+17,7.9809540623e+17,1.4169997992e+03,7.7665799398e+17,4.3969707652e-02,1.8029234752e-04,4.6801451581e-01,0.0000000000e+00,0.0000000000e+00,-1.5650724284e+20,4.7049997786e+02,4.7082644600e+14,-5.1105341897e-01,5.5520341897e-01,-4.2386451581e-01,0.0000000000e+00,0.0000000000e+00,-9.8616451581e-01,2.7510924103e-01,-9.9944046861e-01,-3.5632894109e+02,0.0000000000e+00,0.0000000000e+00,-4.4357969066e-02,-4.4357969066e-02,1.5006242469e+01,3.9466279910e+02,-1.3993567837e+03,9.9367245377e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.1661625844e+00,-1.1661625844e+00,1.9531670982e+02,1.1399535905e+02,1.1399535905e+02,6.0147036997e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0130167951e+02,2.0130167951e+02,-3.3715351745e+04,-3.5779979167e-11,-3.5779979167e-11,-1.8878485481e-07,1,9.2307692394e-03,5.0000000745e-02,5.0000000745e-02,9.2307692394e-03
1.0000000000e+17,-2.0502923020e+01,7.0419430554e+01,-3.3422523931e+04,8.9410157191e+17,1.0000000000e+17,1.3874122956e-01,8.9410157191e+17,7.9410157191e+17,7.9410157191e+17,1.4169997992e+03,7.6551835621e+17,4.3909610203e-02,2.4038979676e-04,4.6770877044e-01,0.0000000000e+00,0.0000000000e+00,-2.0867632433e+20,4.7049997786e+02,6.2776859629e+14,-6.9612122528e-01,7.4027122528e-01,-4.2355877044e-01,0.0000000000e+00,0.0000000000e+00,-9.8585877044e-01,3.6681233133e-01,-1.3325873150e+00,-4.7510525544e+02,0.0000000000e+00,0.0000000000e+00,-4.4357969066e-02,-4.4357969066e-02,1.5006242469e+01,3.9466279910e+02,-1.3993567837e+03,9.9367245377e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.1661625844e+00,-1.1661625844e+00,1.9531670982e+02,1.1399535905e+02,1.1399535905e+02,6.0147036997e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0130167951e+02,2.0130167951e+02,-3.3715351745e+04,-3.5779979167e-11,-3.5779979167e-11,-1.8878485481e-07,1,1.2307692319e-02,5.0000000745e-02,5.0000000745e-02,1.2307692319e-02
1.0000000000e+17,-2.8924983403e+01,7.3823302402e+01,-3.3376054911e+04,8.8301507299e+17,1.0000000000e+17,1.3909604002e-01,8.8301507299e+17,7.8301507299e+17,7.8301507299e+17,1.4169997992e+03,7.5350889799e+17,4.3846317796e-02,3.0368220437e-04,4.6735395998e-01,0.0000000000e+00,0.0000000000e+00,-2.6391458134e+20,4.7049997786e+02,7.9496269024e+14,-7.1169210037e-01,7.5584210037e-01,-4.2320395998e-01,0.0000000000e+00,0.0000000000e+00,-9.8550395998e-01,7.2063403888e-01,-1.5386685025e+00,-5.9958976022e+02,2.0639671876e+02,1.3881147850e+04,4.2303859419e-02,-3.0801130539e-02,9.9716312478e-01,3.5991125849e+02,-1.3647871570e+03,1.1637647405e+03,-6.0080733102e+02,-1.7554314528e+03,2.9245826507e+05,-4.2399952789e-01,-1.2388365934e+00,2.0639256533e+02,-2.9062860565e+01,5.4266287034e+01,1.3881011352e+04,-1.3674075896e+04,2.5532288050e+04,6.5310158411e+06,6.8851746974e+01,2.0117018548e+02,-3.3515340822e+04,2.0209101119e+00,-3.7734512732e+00,-9.6522763619e+02,1,1.5384615399e-02,5.0000000745e-02,5.0000000745e-02,1.5384615399e-02
1.0000000000e+17,-3.7601757270e+01,7.6801339728e+01,-3.3332280915e+04,8.7145573015e+17,1.0000000000e+17,1.3945412148e-01,8.7145573015e+17,7.7145573015e+17,7.7145573015e+17,1.4169997992e+03,7.4144145191e+17,4.3782812391e-02,3.6718760915e-04,4.6699587852e-01,0.0000000000e+00,0.0000000000e+00,-3.1935745081e+20,4.7049997786e+02,9.6284024949e+14,-7.1596318079e-01,7.6011318079e-01,-4.2284587852e-01,0.0000000000e+00,0.0000000000e+00,-9.8514587852e-01,1.0919301841e+00,-1.7362787940e+00,-7.2445480769e+02,2.0639671876e+02,1.3881147850e+04,4.2303859419e-02,-3.0801130539e-02,9.9716312478e-01,3.5991125849e+02,-1.3647871570e+03,1.1637647405e+03,-6.0080733102e+02,-1.7554314528e+03,2.9245826507e+05,-4.2399952789e-01,-1.2388365934e+00,2.0639256533e+02,-2.9062860565e+01,5.4266287034e+01,1.3881011352e+04,-1.3674075896e+04,2.5532288050e+04,6.5310158411e+06,6.8851746974e+01,2.0117018548e+02,-3.3515340822e+04,2.0209101119e+00,-3.7734512732e+00,-9.6522763619e+02,1,1.8461538479e-02,5.0000000745e-02,5.0000000745e-02,1.8461538479e-02
1.0000000000e+17,-4.6278534355e+01,7.9779383639e+01,-3.3288506846e+04,8.5989638335e+17,1.0000000000e+17,1.3981220298e-01,8.5989638335e+17,7.5989638335e+17,7.5989638335e+17,1.4169997992e+03,7.2937400528e+17,4.3719307005e-02,4.3069299492e-04,4.6663779702e-01,0.0000000000e+00,0.0000000000e+00,-3.7480030643e+20,4.7049997786e+02,1.1307177669e+15,-7.2023425991e-01,7.6438425991e-01,-4.2248779702e-01,0.0000000000e+00,0.0000000000e+00,-9.8478779702e-01,1.4632262771e+00,-1.9338892827e+00,-8.4931982051e+02,2.0639536612e+02,1.3881423332e+04,-1.0081594532e-01,7.9341122569e-02,8.1842727198e-01,1.4178681818e+03,-3.0683023362e+02,1.1637647405e+03,1.4869290659e+03,3.3230494409e+02,2.9245826507e+05,1.0493500818e+00,2.3451301629e-01,2.0639256533e+02,-1.0477438616e+02,-2.1445238558e+01,1.3881011352e+04,-4.9296348686e+04,-1.0089984742e+04,6.5310158411e+06,-1.7469137828e+02,-3.9040738408e+01,-3.4359364268e+04,7.0864556467e+00,1.4504569051e+00,-9.3884750735e+02,1,2.1538460627e-02,5.0000000745e-02,5.0000000745e-02,2.1538460627e-02
1.0000000000e+17,-5.4955310849e+01,8.2757421867e+01,-3.3244732837e+04,8.4833703702e+17,1.0000000000e+17,1.4017028455e-01,8.4833703702e+17,7.4833703702e+17,7.4833703702e+17,1.4169997992e+03,7.1730655554e+17,4.3655801581e-02,4.9419841892e-04,4.6627971545e-01,0.0000000000e+00,0.0000000000e+00,-4.3024319268e+20,4.7049997786e+02,1.2985953770e+15,-7.2450534162e-01,7.6865534162e-01,-4.2212971545e-01,0.0000000000e+00,0.0000000000e+00,-9.8442971545e-01,1.8345225347e+00,-2.1314996339e+00,-9.7418490577e+02,2.0639536612e+02,1.3881423332e+04,-1.0081594532e-01,7.9341122569e-02,8.1842727198e-01,1.4178681818e+03,-3.0683023362e+02,1.1637647405e+03,1.4869290659e+03,3.3230494409e+02,2.9245826507e+05,1.0493500818e+00,2.3451301629e-01,2.0639256533e+02,-1.0477438616e+02,-2.1445238558e+01,1.3881011352e+04,-4.9296348686e+04,-1.0089984742e+04,6.5310158411e+06,-1.7469137828e+02,-3.9040738408e+01,-3.4359364268e+04,7.0864556467e+00,1.4504569051e+00,-9.3884750735e+02,1,2.4615384638e-02,5.0000000745e-02,5.0000000745e-02,2.4615384638e-02
1.0000000000e+17,-5.5746455058e+01,8.5241038385e+01,-3.3207949866e+04,8.3120173864e+17,1.0000000000e+17,1.4074757969e-01,8.3120173864e+17,7.3120173864e+17,7.3120173864e+17,1.4169997992e+03,7.0022705900e+17,4.3587515375e-02,5.6248462467e-04,4.6570242031e-01,0.0000000000e+00,0.0000000000e+00,-4.9307476317e+20,4.7049997786e+02,1.4904753207e+15,-7.2712839174e-01,7.7127839174e-01,-4.2155242031e-01,0.0000000000e+00,0.0000000000e+00,-9.8385242031e-01,1.8609055494e+00,-2.2130525898e+00,-9.9464068676e+02,2.2415193716e+02,7.7598772342e+03,-3.6151224591e-02,-3.0977716276e-02,7.4124448301e-01,1.3719948650e+03,-3.5176934984e+02,1.9779876716e+03,1.3259218098e+03,-2.6908526827e+02,3.1762041342e+05,9.3572463644e-01,-1.8989786046e-01,2.2414990361e+02,-4.1808639371e+01,9.5943609097e+00,7.7597586738e+03,-1.9670964824e+04,4.5141468080e+03,3.6509664560e+06,-1.4409407171e+02,2.9242743918e+01,-3.4517283212e+04,5.2138008498e+00,-1.1964772788e+00,-9.6769081645e+02,1,2.7692306787e-02,5.0000000745e-02,5.0000000745e-02,2.7692306787e-02
