"AcceptorConcentration","ElectricField:0","ElectricField:1","ElectricField:2","AugerRecombination","BandGap","BandgapNarrowing","ConductionBandEnergy","DonorConcentration","DopingConcentration","ElectronAffinity","ElectrostaticPotential","ImpactIonization","IntrinsicDensity","LatticeTemperature","QuasiFermiPotential","SpaceCharge","TotalRecombination","ValenceBandEnergy","eAlphaAvalanche","eDensity","eEparallel","eImpactIonization","eMobility","eQuasiFermiPotential","eVelocity","hAlphaAvalanche","hDensity","hEparallel","hImpactIonization","hMobility","hQuasiFermiPotential","hVelocity","srhRecombination","TotalCurrentDensity:0","TotalCurrentDensity:1","TotalCurrentDensity:2","eCurrentDensity:0","eCurrentDensity:1","eCurrentDensity:2","eGradQuasiFermi:0","eGradQuasiFermi:1","eGradQuasiFermi:2","hCurrentDensity:0","hCurrentDensity:1","hCurrentDensity:2","hGradQuasiFermi:0","hGradQuasiFermi:1","hGradQuasiFermi:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,-2.6843370955e+02,-1.1196238293e+02,1.4546755561e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.2107090400e-02,9.1007689730e+17,8.1007689730e+17,4.0727403846e+00,4.6889652046e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,-6.5947940266e+03,1.0039546198e-08,-1.0320521404e+00,0.0000000000e+00,8.1007689730e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,2.1813120707e-16,2.7743508707e+05,0.0000000000e+00,1.4265723168e+02,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,0.0000000000e+00,1.9260553640e+07,1.0039546198e-08,8.5155163453e+00,8.0235522860e+00,-3.5005831182e+04,8.7902895679e+00,8.2818794803e+00,-3.4005105533e+04,6.0621595209e-02,3.9936526299e-02,-1.9579500968e+02,-2.7477322256e-01,-2.5832719433e-01,-1.0007256487e+03,-6.4390406572e+00,-4.1380216666e+00,-6.0144643757e+05,1,0.0000000000e+00,5.0000000745e-02,5.0000000745e-02,0.0000000000e+00
1.0000000000e+17,-2.1992893687e+02,-8.9268974677e+01,1.3849014078e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.2305778516e-02,9.0748091684e+17,8.0748091684e+17,4.0727403846e+00,4.6869783235e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,4.7483255659e+15,3.3962547044e+19,-1.0318534523e+00,0.0000000000e+00,8.0283476249e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,3.9138217220e-05,2.7866940781e+05,0.0000000000e+00,1.0217121274e+14,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,1.2029150160e-01,1.8221393017e+07,3.3962547044e+19,7.4521635817e+00,6.9902151772e+00,-3.4994635606e+04,7.6931639769e+00,7.2157552430e+00,-3.3993521037e+04,5.3330652845e-02,3.4791387509e-02,-1.9667014677e+02,-2.4100039523e-01,-2.2554006578e-01,-1.0011145689e+03,-5.5379221862e+00,-3.5464851780e+00,-5.5444177262e+05,1,2.0000000950e-03,5.0000000745e-02,5.0000000745e-02,2.0000000950e-03
1.0000000000e+17,-1.7142415736e+02,-6.6575514775e+01,1.3151271668e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.2504466978e-02,9.0488492441e+17,8.0488492441e+17,4.0727403846e+00,4.6849914389e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,9.4966494748e+15,6.7925094710e+19,-1.0316547638e+00,0.0000000000e+00,7.9559261736e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,7.8276434476e-05,2.7990372856e+05,0.0000000000e+00,2.0434242737e+14,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,2.4058300321e-01,1.7182232398e+07,6.7925094710e+19,6.3888133522e+00,5.9568781452e+00,-3.4983439860e+04,6.5960410154e+00,6.1496310934e+00,-3.3981936366e+04,4.6039689457e-02,2.9646220436e-02,-1.9754528386e+02,-2.0722766315e-01,-1.9275294816e-01,-1.0015034945e+03,-4.6346639593e+00,-2.9534549955e+00,-5.0743710785e+05,1,4.0000001900e-03,5.0000000745e-02,5.0000000745e-02,4.0000001900e-03
1.0000000000e+17,-1.2291938349e+02,-4.3882057516e+01,1.2453529340e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.2703155417e-02,9.0228893228e+17,8.0228893228e+17,4.0727403846e+00,4.6830045545e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,1.4244972831e+16,1.0188763842e+20,-1.0314560754e+00,0.0000000000e+00,7.8835047308e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,1.1741464718e-04,2.8113804917e+05,0.0000000000e+00,3.0651363010e+14,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,3.6087449080e-01,1.6143071900e+07,1.0188763842e+20,5.3254632466e+00,4.9235412336e+00,-3.4972244116e+04,5.4989181816e+00,5.0835070680e+00,-3.3970351696e+04,3.8748726917e-02,2.4501053962e-02,-1.9842042086e+02,-1.7345493500e-01,-1.5996583437e-01,-1.0018924200e+03,-3.7314058375e+00,-2.3604248819e+00,-4.6043244855e+05,1,6.0000000522e-03,5.0000000745e-02,5.0000000745e-02,6.0000000522e-03
1.0000000000e+17,-7.4414639767e+01,-2.1188542904e+01,1.1755786594e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.2901843907e-02,8.9969293948e+17,7.9969293948e+17,4.0727403846e+00,4.6810176696e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,1.8993297575e+16,1.3585018896e+20,-1.0312573869e+00,0.0000000000e+00,7.8110832676e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,1.5655286897e-04,2.8237237007e+05,0.0000000000e+00,4.0868485335e+14,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,4.8116600641e-01,1.5103911161e+07,1.3585018896e+20,4.2621163015e+00,3.8902015915e+00,-3.4961048394e+04,4.4017986232e+00,4.0173802140e+00,-3.3958767049e+04,3.1457749699e-02,1.9355887233e-02,-1.9929555806e+02,-1.3968232163e-01,-1.2717862249e-01,-1.0022813448e+03,-2.8262408575e+00,-1.7688111041e+00,-4.1342777859e+05,1,8.0000003800e-03,5.0000000745e-02,5.0000000745e-02,8.0000003800e-03
1.0000000000e+17,-2.5909877192e+01,1.5049090713e+00,1.1058044429e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.3100532299e-02,8.9709694795e+17,7.9709694795e+17,4.0727403846e+00,4.6790307856e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,2.3741619825e+16,1.6981272477e+20,-1.0310586985e+00,0.0000000000e+00,7.7386618416e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,1.9569107256e-04,2.8360669039e+05,0.0000000000e+00,5.1085603229e+14,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,6.0145746600e-01,1.4064750905e+07,1.6981272477e+20,3.1987664435e+00,2.8568649204e+00,-3.4949852652e+04,3.3046760448e+00,2.9512564367e+00,-3.3947182381e+04,2.4166788857e-02,1.4210721957e-02,-2.0017069485e+02,-1.0590960135e-01,-9.4391516323e-02,-1.0026702702e+03,-1.9229829460e+00,-1.1757811287e+00,-3.6642313023e+05,1,9.9999997765e-03,5.0000000745e-02,5.0000000745e-02,9.9999997765e-03
1.0000000000e+17,2.2594907969e+01,2.4198371615e+01,1.0360301938e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.3299220785e-02,8.9450095522e+17,7.9450095522e+17,4.0727403846e+00,4.6770439008e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,2.8489944287e+16,2.0377527639e+20,-1.0308600100e+00,0.0000000000e+00,7.6662403819e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,2.3482929437e-04,2.8484101129e+05,0.0000000000e+00,6.1302725881e+14,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.2174898160e-01,1.3025590166e+07,2.0377527639e+20,2.1354160903e+00,1.8235277682e+00,-3.4938656904e+04,2.2075529556e+00,1.8851321631e+00,-3.3935597709e+04,1.6875824620e-02,9.0655542852e-03,-2.0104583205e+02,-7.2136865331e-02,-6.1604394891e-02,-1.0030591958e+03,-1.0197246140e+00,-5.8275087706e-01,-3.1941845999e+05,1,1.2000000104e-02,5.0000000745e-02,5.0000000745e-02,1.2000000104e-02
1.0000000000e+17,3.0933903350e+01,2.6709295885e+01,1.0840549338e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.3523215567e-02,8.8821677569e+17,7.8821677569e+17,4.0727403846e+00,4.6748039530e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.0001979728e+16,2.3933110756e+20,-1.0306360152e+00,0.0000000000e+00,7.5893531884e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,2.7563213571e-04,2.8760931439e+05,0.0000000000e+00,7.2052287803e+14,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.5390378276e-01,1.1825491543e+07,2.3933110756e+20,1.2989855176e+00,1.0270819644e+00,-3.4923038399e+04,1.3432036817e+00,1.0626637812e+00,-3.3919428866e+04,1.1097432657e-02,5.1468598214e-03,-2.0300732181e+02,-4.4218164032e-02,-3.5581816807e-02,-1.0036095322e+03,-3.5017898719e-01,-1.5320581147e-01,-2.7204570021e+05,1,1.4000000432e-02,5.0000000745e-02,5.0000000745e-02,1.4000000432e-02
1.0000000000e+17,2.5884335397e+01,2.2492729771e+01,1.1713459718e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.3755645779e-02,8.8070320162e+17,7.8070320162e+17,4.0727403846e+00,4.6724796509e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.0435252966e+16,2.7541803259e+20,-1.0304035850e+00,0.0000000000e+00,7.5109774195e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,3.1698984988e-04,2.9088894463e+05,0.0000000000e+00,8.2979329691e+14,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.5667969370e-01,1.0571746983e+07,2.7541803259e+20,5.3819564944e-01,3.0959783215e-01,-3.4905945664e+04,5.5644649469e-01,3.2141183609e-01,-3.3901731993e+04,5.8231901761e-03,1.6369525633e-03,-2.0533092889e+02,-1.8250845246e-02,-1.1814003940e-02,-1.0042136714e+03,2.4330500986e-01,2.1650529476e-01,-2.2455024443e+05,1,1.6000000760e-02,5.0000000745e-02,5.0000000745e-02,1.6000000760e-02
1.0000000000e+17,2.0834772147e+01,1.8276167585e+01,1.2586369285e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.3988075774e-02,8.7318963455e+17,7.7318963455e+17,4.0727403846e+00,4.6701553509e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.0868525801e+16,3.1150492402e+20,-1.0301711550e+00,0.0000000000e+00,7.4326017237e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,3.5834752554e-04,2.9416857181e+05,0.0000000000e+00,9.3906361403e+14,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.5945560206e-01,9.3180035918e+06,3.1150492402e+20,-2.2259351022e-01,-4.0788563184e-01,-3.4888852945e+04,-2.3030995957e-01,-4.1983941863e-01,-3.3884035135e+04,5.4895260716e-04,-1.8729514260e-03,-2.0765453381e+02,7.7164493561e-03,1.1953786792e-02,-1.0048178100e+03,8.3678845418e-01,5.8621605667e-01,-1.7705483288e+05,1,1.7999999225e-02,5.0000000745e-02,5.0000000745e-02,1.7999999225e-02
1.0000000000e+17,1.5785252738e+01,1.4059551139e+01,1.3459279571e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.4220506138e-02,8.6567605302e+17,7.6567605302e+17,4.0727403846e+00,4.6678310473e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.1301795645e+16,3.4759185207e+20,-1.0299387246e+00,0.0000000000e+00,7.3542259142e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,3.9970523975e-04,2.9744820205e+05,0.0000000000e+00,1.0483340422e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.6223151300e-01,8.0642590357e+06,3.4759185207e+20,-9.8338650235e-01,-1.1253692255e+00,-3.4871760108e+04,-1.0170703736e+00,-1.1610908094e+00,-3.3866338156e+04,-4.7253108531e-03,-5.3828895426e-03,-2.0997814089e+02,3.3683871270e-02,3.5721583926e-02,-1.0054219524e+03,1.4297478809e+00,9.5333955133e-01,-1.2955937716e+05,1,1.9999999553e-02,5.0000000745e-02,5.0000000745e-02,1.9999999553e-02
1.0000000000e+17,1.0735684785e+01,9.8429850259e+00,1.4332189951e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.4452936349e-02,8.5816247895e+17,7.5816247895e+17,4.0727403846e+00,4.6655067452e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.1735068884e+16,3.8367877710e+20,-1.0297062944e+00,0.0000000000e+00,7.2758501453e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,4.4106295393e-04,3.0072783229e+05,0.0000000000e+00,1.1576044611e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.6500742395e-01,6.8105144764e+06,3.8367877710e+20,-1.7441763706e+00,-1.8428533577e+00,-3.4854667373e+04,-1.8038275606e+00,-1.9023427545e+00,-3.3848641282e+04,-9.9995533341e-03,-8.8927968008e-03,-2.1230174798e+02,5.9651190055e-02,5.9489396793e-02,-1.0060260916e+03,2.0232318780e+00,1.3230506576e+00,-8.2063921386e+04,1,2.1999999881e-02,5.0000000745e-02,5.0000000745e-02,2.1999999881e-02
1.0000000000e+17,5.6861168317e+00,5.6264189125e+00,1.5205100331e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.4685366561e-02,8.5064890489e+17,7.5064890489e+17,4.0727403846e+00,4.6631824430e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.2168342122e+16,4.1976570213e+20,-1.0294738642e+00,0.0000000000e+00,7.1974743765e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,4.8242066810e-04,3.0400746253e+05,0.0000000000e+00,1.2668748800e+15,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.6778333489e-01,5.5567699171e+06,4.1976570213e+20,-2.5049662388e+00,-2.5603374899e+00,-3.4837574638e+04,-2.5905847476e+00,-2.6435946996e+00,-3.3830944408e+04,-1.5273795815e-02,-1.2402704059e-02,-2.1462535506e+02,8.5618508841e-02,8.3257209660e-02,-1.0066302308e+03,2.6167158750e+00,1.6927617638e+00,-3.4568465609e+04,1,2.4000000209e-02,5.0000000745e-02,5.0000000745e-02,2.4000000209e-02
