#Acceptor concentration [cm-3]	Jn [A cm-2]:0	Jn [A cm-2]:1	Jn [A cm-2]:2	ArsenicActiveConcentration	BoronActiveConcentration	Conduction band level [eV]	Donor concentration [cm-3]	Dopant concentration [cm-3]	DopingConcentration	Electron Mobility [cm2 s-1 V-1]	Electron density [cm-3]	Electron quasi fermi band level [eV]	Electron quasi fermi potential [V]	Electrostatic potential [V]	G Impact ionization [cm-3 s-1]	GR Auger [cm-3 s-1]	GR Srh [cm-3 s-1]	Hole Mobility [cm2 s-1 V-1]	Hole density [cm-3]	Hole quasi fermi band level [eV]	Hole quasi fermi potential [V]	Middle band level [eV]	PhosphorusActiveConcentration	Space Charge [cm-3]	Valence band level [eV]	Jp [A cm-2]:0	Jp [A cm-2]:1	Jp [A cm-2]:2	Electron Avalanche field [V cm-1]	Hole Avalanche field [V cm-1]	Electric field [V cm-1]:0	Electric field [V cm-1]:1	Electric field [V cm-1]:2	Electron velocity [cm s-1]:0	Electron velocity [cm s-1]:1	Electron velocity [cm s-1]:2	Grad Electron quasi fermi potential [V cm]:0	Grad Electron quasi fermi potential [V cm]:1	Grad Electron quasi fermi potential [V cm]:2	Grad Hole quasi fermi potential [V cm]:0	Grad Hole quasi fermi potential [V cm]:1	Grad Hole quasi fermi potential [V cm]:2	Hole velocity [cm s-1]:0	Hole velocity [cm s-1]:1	Hole velocity [cm s-1]:2	Jn element [A cm-2]:0	Jn element [A cm-2]:1	Jn element [A cm-2]:2	Jp element [A cm-2]:0	Jp element [A cm-2]:1	Jp element [A cm-2]:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
100000000000000000	463.0488629	175.8641312	-1442263571	9.100768987e+17	100000000000000000	0.1375182484	9.100768987e+17	8.100768987e+17	8.100768987e+17	1416.999799	8.100768987e+17	0.04415	0	0.4689317516	0	0	1.008480395e-08	470.4999779	142.6562098	0.04415	0	-0.4247817516	0	0	-0.9870817516	-3.656687587e-11	-1.399791375e-11	-3.478248588e-06	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0	0.02500000037	0.02500000037	0
100000000000000000	7.276042864	159.4205669	-1436568969	9.096064132e+17	100000000000000000	0.1374001422	9.096064132e+17	8.096064132e+17	8.096064132e+17	1416.999799	7.891186331e+17	0.04335372324	0.0007962767629	0.4690498578	0	0	2.222932201e+21	470.4999779	6.886359507e+15	-0.7692291853	0.8133791853	-0.4248998578	0	0	-0.9871998578	6.34818265	-12.37556059	-83779.85045	8050.558011	231090.3369	-35.41414638	833.9175619	-3582.565124	-5729.359991	10661.80539	11407634.28	-4.043302746	7.524209872	8050.55348	-67.84763316	-320.4327826	231090.1048	-31922.3114	-150763.6242	108727894.3	721.1575739	-1342.007086	-1435884963	38.17117492	180.2759393	-130011.6217	1	0.001000000047	0.02500000037	0.02500000037	0.001000000047
100000000000000000	-278.3650817	204.5136912	-1431172984	9.083393376e+17	100000000000000000	0.1369786101	9.083393376e+17	8.083393376e+17	8.083393376e+17	1416.999799	7.77408665e+17	0.04254585889	0.00160414111	0.4694713899	0	0	4.292366379e+21	470.4999779	1.365840644e+16	-0.7882048249	0.8323548249	-0.4253213899	0	0	-0.9876213899	39.71736572	-21.41036568	-133496.5085	8114.76154	136613.0943	-339.955367	334.6405518	-5028.862135	-6882.461263	7637.870602	11498612.51	-4.857065112	5.390169797	8114.758297	72.98450984	-79.6611744	136613.0515	34339.21188	-37480.58255	64276440.75	856.7265193	-950.7596258	-1431343511	-71.56168044	78.10818376	-133949.7869	1	0.002000000095	0.02500000037	0.02500000037	0.002000000095
100000000000000000	-268.5904972	267.0888949	-1425878756	9.062787537e+17	100000000000000000	0.1364198312	9.062787537e+17	8.062787537e+17	8.062787537e+17	1416.999799	7.69762035e+17	0.04173171529	0.002418284705	0.4700301688	0	0	6.207617356e+21	470.4999779	2.02713936e+16	-0.7993381644	0.8434881644	-0.4258801688	0	0	-0.9881801688	36.26840406	-30.96745597	-135559.6039	8155.418105	98091.83198	396.7344863	-344.5226383	-5880.561678	11686.29001	-10121.62459	11556217.11	8.247205371	-7.14299548	8155.410807	-127.7755797	111.9780178	98091.68485	-60118.41024	52685.65738	46152137.72	-1444.469554	1251.071003	-1428392053	176.1486134	-154.3704408	-135227.0466	1	0.003000000026	0.02500000037	0.02500000037	0.003000000026
100000000000000000	-257.9418763	288.9869763	-1420732417	9.033694926e+17	100000000000000000	0.1357800783	9.033694926e+17	8.033694926e+17	8.033694926e+17	1416.999799	7.644734424e+17	0.04091377982	0.003236220182	0.4706699217	0	0	7.968915833e+21	470.4999779	2.669908159e+16	-0.8071828227	0.8513328227	-0.4265199217	0	0	-0.9888199217	35.72694444	-35.01651793	-136523.5702	8196.578079	63800.74962	298.3449199	-273.3022549	-6798.115778	10685.83381	-10680.1722	11614541.31	7.541167118	-7.537171629	8196.571145	-75.17097908	74.47758629	63800.66186	-35367.94566	35041.70435	30018211.41	-1306.577394	1305.885138	-1420132242	161.0452307	-159.5597159	-136685.6257	1	0.00400000019	0.02500000037	0.02500000037	0.00400000019
100000000000000000	-246.2733884	310.2342536	-1415614169	8.996000916e+17	100000000000000000	0.1350928689	8.996000916e+17	7.996000916e+17	7.996000916e+17	1416.999799	7.605599383e+17	0.04009386413	0.004056135869	0.4713571311	0	0	9.58897114e+21	470.4999779	3.293919257e+16	-0.8132776833	0.8574276833	-0.4272071311	0	0	-0.9895071311	35.67988282	-38.8035807	-137260.0861	8204.85607	54674.15891	-222.4356633	265.819985	-7034.855749	-7299.548811	5904.07667	11626277.26	-5.151410593	4.166603154	8204.853395	29.78315937	-32.71815156	54674.14101	14012.97648	-15393.89031	25724183.35	888.4045293	-718.5661183	-1414996686	-74.81108214	82.18336724	-137333.7061	1	0.004999999888	0.02500000037	0.02500000037	0.004999999888
100000000000000000	-390.3158925	335.8249929	-1410072203	8.950604613e+17	100000000000000000	0.1343819398	8.950604613e+17	7.950604613e+17	7.950604613e+17	1416.999799	7.573388525e+17	0.03927321859	0.004876781413	0.4720680602	0	0	1.109557348e+22	470.4999779	3.901973952e+16	-0.8183910639	0.8625410639	-0.4279180602	0	0	-0.9902180602	53.76312476	-44.04625062	-137842.0157	8207.87458	48010.03854	246.4869466	-253.7170495	-7174.966641	9637.145531	-13210.68878	11630546.78	6.801090706	-9.32299843	8207.866467	-58.1363161	61.24155663	48009.96428	-27353.13672	28814.1524	22588688.19	-1169.423349	1603.05641	-1411313436	166.8966159	-175.8110806	-137826.0803	1	0.006000000052	0.02500000037	0.02500000037	0.006000000052
100000000000000000	-196.4296528	357.4787713	-1404156276	8.895323939e+17	100000000000000000	0.1336480381	8.895323939e+17	7.895323939e+17	7.895323939e+17	1416.999799	7.547995298e+17	0.03845243349	0.005697566507	0.4728019619	0	0	1.247003388e+22	470.4999779	4.489362046e+16	-0.8226600262	0.8668100262	-0.4286519619	0	0	-0.9909519619	33.81243387	-47.39277235	-138395.7972	8207.854357	40916.25757	202.5291342	-253.7170495	-7393.6986	12953.11868	-13210.68878	11630514.91	9.141227017	-9.32299843	8207.843972	-60.38533451	61.24155663	40916.16718	-28411.29989	28814.1524	19251056.66	-1566.116007	1597.257901	-1406204638	203.7645447	-206.6537845	-138067.6988	1	0.007000000216	0.02500000037	0.02500000037	0.007000000216
100000000000000000	-8.220316488	385.5361252	-1398166021	8.835477484e+17	100000000000000000	0.1329117679	8.835477484e+17	7.835477484e+17	7.835477484e+17	1416.999799	7.523420004e+17	0.03763188048	0.006518119522	0.4735382321	0	0	1.379020619e+22	470.4999779	5.068688893e+16	-0.8266285612	0.8707785612	-0.4293882321	0	0	-0.9916882321	14.71204009	-51.10231756	-138972.8624	8195.518025	34351.87301	-247.7957479	468.0989122	-7228.376447	-21877.41677	15237.24778	11613018.44	-15.43924966	10.75317416	8195.496427	55.40361524	-53.64337167	34351.78644	26067.40097	-25239.20637	16162515.52	2625.020047	-1828.281708	-1393418909	-225.0889937	217.9376291	-139561453	1	0.00800000038	0.02500000037	0.02500000037	0.00800000038
100000000000000000	-552.6886699	446.2717522	-1391884289	8.765871537e+17	100000000000000000	0.1321889308	8.765871537e+17	7.765871537e+17	7.765871537e+17	1416.999799	7.49533956e+17	0.03681233146	0.007337668535	0.4742610692	0	0	1.500642698e+22	470.4999779	5.634418926e+16	-0.8300637372	0.8742137372	-0.4301110692	0	0	-0.9924110692	79.60944456	-60.35915444	-139553.6802	8195.518025	34351.87301	-247.7957479	468.0989122	-7228.376447	-21877.41677	15237.24778	11613018.44	-15.43924966	10.75317416	8195.496427	55.40361524	-53.64337167	34351.78644	26067.40097	-25239.20637	16162515.52	2625.020047	-1828.281708	-1393418909	-225.0889937	217.9376291	-139561453	1	0.008999999613	0.02500000037	0.02500000037	0.008999999613
