"ArsenicActiveConcentration","BoronActiveConcentration","DopingConcentration","Electron density [cm-3]","Electrostatic potential [V]","Hole density [cm-3]","PhosphorusActiveConcentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,0.0000000000e+00,2.5000000373e-02,2.5000000373e-02,0.0000000000e+00
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,1.0000000475e-03,2.5000000373e-02,2.5000000373e-02,1.0000000475e-03
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,2.0000000950e-03,2.5000000373e-02,2.5000000373e-02,2.0000000950e-03
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,3.0000000261e-03,2.5000000373e-02,2.5000000373e-02,3.0000000261e-03
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,4.0000001900e-03,2.5000000373e-02,2.5000000373e-02,4.0000001900e-03
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,4.9999998882e-03,2.5000000373e-02,2.5000000373e-02,4.9999998882e-03
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,6.0000000522e-03,2.5000000373e-02,2.5000000373e-02,6.0000000522e-03
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,7.0000002161e-03,2.5000000373e-02,2.5000000373e-02,7.0000002161e-03
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,8.0000003800e-03,2.5000000373e-02,2.5000000373e-02,8.0000003800e-03
1.1000000000e+18,1.0000000000e+17,1.0000000000e+18,1.0000000000e+18,4.7437726460e-01,1.1556250000e+02,0.0000000000e+00,1,8.9999996126e-03,2.5000000373e-02,2.5000000373e-02,8.9999996126e-03
