#AcceptorConcentration	ElectricField:0	ElectricField:1	ElectricField:2	AugerRecombination	BandGap	BandgapNarrowing	ConductionBandEnergy	DonorConcentration	DopingConcentration	ElectronAffinity	ElectrostaticPotential	ImpactIonization	IntrinsicDensity	LatticeTemperature	QuasiFermiPotential	SpaceCharge	TotalRecombination	ValenceBandEnergy	eAlphaAvalanche	eDensity	eEparallel	eImpactIonization	eMobility	eQuasiFermiPotential	eVelocity	hAlphaAvalanche	hDensity	hEparallel	hImpactIonization	hMobility	hQuasiFermiPotential	hVelocity	srhRecombination	TotalCurrentDensity:0	TotalCurrentDensity:1	TotalCurrentDensity:2	eCurrentDensity:0	eCurrentDensity:1	eCurrentDensity:2	eGradQuasiFermi:0	eGradQuasiFermi:1	eGradQuasiFermi:2	hCurrentDensity:0	hCurrentDensity:1	hCurrentDensity:2	hGradQuasiFermi:0	hGradQuasiFermi:1	hGradQuasiFermi:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.0000000000e+17	-4.5497501505e-23	-3.7611466020e-17	4.8608917459e+00	7.0755402588e-09	1.1241592308e+00	0.0000000000e+00	8.6661985426e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7434162544e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	-8.0577382948e+03	1.5208344775e-08	-1.0374972453e+00	0.0000000000e+00	1.0000000000e+18	0.0000000000e+00	0.0000000000e+00	1.4170000000e+03	3.4441776453e-17	1.3759919777e-02	0.0000000000e+00	1.1556332751e+02	0.0000000000e+00	0.0000000000e+00	4.7050000000e+02	0.0000000000e+00	3.8916687590e+07	8.1328045163e-09	0.0000000000e+00	0.0000000000e+00	-2.2101594335e-03	0.0000000000e+00	0.0000000000e+00	-2.2044738027e-03	8.6779597292e-29	7.0755423744e-23	-9.7110379681e-06	0.0000000000e+00	0.0000000000e+00	-5.6856307865e-06	-1.2506250577e-11	4.5808939534e-12	-3.9983394477e+05	1	0.0000000000e+00	2.5000000373e-02	2.5000000373e-02	0.0000000000e+00
1.0000000000e+17	3.6639461415e-16	2.2736583222e-16	5.7696045537e+00	8.4592500489e+10	1.1241592308e+00	0.0000000000e+00	8.6662471515e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7434113935e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	1.8801706023e+13	1.8184811094e+11	-1.0374967593e+00	0.0000000000e+00	9.9998119829e+17	0.0000000000e+00	0.0000000000e+00	1.4170000000e+03	9.7113828471e-13	1.3760221044e-02	0.0000000000e+00	2.9188241045e+05	0.0000000000e+00	0.0000000000e+00	4.7050000000e+02	3.9983396376e-02	3.6841038797e+07	9.7255610451e+10	0.0000000000e+00	-1.6705224571e-23	-2.2101627526e-03	0.0000000000e+00	0.0000000000e+00	-2.2044771218e-03	1.7355919446e-28	5.9434514435e-23	-9.7111569989e-06	0.0000000000e+00	-1.6705224571e-23	-5.6856307956e-06	-2.5012272773e-12	1.1217011354e-11	-3.7014036380e+05	1	1.0000000475e-03	2.5000000373e-02	2.5000000373e-02	1.0000000475e-03
1.0000000000e+17	7.3278890982e-16	4.9234279636e-16	6.6783173615e+00	1.6918500098e+11	1.1241592308e+00	0.0000000000e+00	8.6662957605e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7434065326e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	3.7603412055e+13	3.6369622188e+11	-1.0374962732e+00	0.0000000000e+00	9.9996239659e+17	0.0000000000e+00	0.0000000000e+00	1.4170000000e+03	1.9422421276e-12	1.3760522311e-02	0.0000000000e+00	5.8364925757e+05	0.0000000000e+00	0.0000000000e+00	4.7050000000e+02	7.9966792752e-02	3.4765390004e+07	1.9451122090e+11	0.0000000000e+00	-3.3410474036e-23	-2.2101660716e-03	0.0000000000e+00	0.0000000000e+00	-2.2044804408e-03	1.7355919446e-28	4.8113644865e-23	-9.7112760297e-06	0.0000000000e+00	-3.3410474036e-23	-5.6856308047e-06	7.5037796231e-12	1.7853118296e-11	-3.4044678284e+05	1	2.0000000950e-03	2.5000000373e-02	2.5000000373e-02	2.0000000950e-03
1.0000000000e+17	1.0991831628e-15	7.5731972965e-16	7.5870300636e+00	2.5377749162e+11	1.1241592308e+00	0.0000000000e+00	8.6663443694e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7434016717e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	5.6405115898e+13	5.4554431165e+11	-1.0374957871e+00	0.0000000000e+00	9.9994359488e+17	0.0000000000e+00	0.0000000000e+00	1.4170000000e+03	2.9133458575e-12	1.3760823578e-02	0.0000000000e+00	8.7541607072e+05	0.0000000000e+00	0.0000000000e+00	4.7050000000e+02	1.1995018447e-01	3.2689741452e+07	2.9176682003e+11	0.0000000000e+00	-5.0115721555e-23	-2.2101693907e-03	0.0000000000e+00	0.0000000000e+00	-2.2044837599e-03	1.7355919434e-28	3.6792776614e-23	-9.7113950605e-06	0.0000000000e+00	-5.0115721555e-23	-5.6856308138e-06	1.7508785359e-11	2.4489224465e-11	-3.1075320533e+05	1	3.0000000261e-03	2.5000000373e-02	2.5000000373e-02	3.0000000261e-03
1.0000000000e+17	1.4655775694e-15	1.0222970160e-15	8.4957429772e+00	3.3837000196e+11	1.1241592308e+00	0.0000000000e+00	8.6663929783e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7433968108e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	7.5206824118e+13	7.2739244376e+11	-1.0374953010e+00	0.0000000000e+00	9.9992479318e+17	0.0000000000e+00	0.0000000000e+00	1.4170000000e+03	3.8844498135e-12	1.3761124845e-02	0.0000000000e+00	1.1671829518e+06	0.0000000000e+00	0.0000000000e+00	4.7050000000e+02	1.5993358550e-01	3.0614092418e+07	3.8902244180e+11	0.0000000000e+00	-6.6821022750e-23	-2.2101727097e-03	0.0000000000e+00	0.0000000000e+00	-2.2044870789e-03	-1.3016939578e-28	2.5471896328e-23	-9.7115140913e-06	0.0000000000e+00	-6.6821022750e-23	-5.6856308229e-06	2.7513768079e-11	3.1125337307e-11	-2.8105962091e+05	1	4.0000001900e-03	2.5000000373e-02	2.5000000373e-02	4.0000001900e-03
1.0000000000e+17	1.8319717371e-15	1.2872738876e-15	9.4044554677e+00	4.2296247290e+11	1.1241592308e+00	0.0000000000e+00	8.6664415872e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7433919499e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	9.4008523583e+13	9.0924049119e+11	-1.0374948149e+00	0.0000000000e+00	9.9990599148e+17	0.0000000000e+00	0.0000000000e+00	1.4170000000e+03	4.8555533173e-12	1.3761426113e-02	0.0000000000e+00	1.4589496970e+06	0.0000000000e+00	0.0000000000e+00	4.7050000000e+02	1.9991696792e-01	2.8538444349e+07	4.8627801829e+11	0.0000000000e+00	-8.3526266380e-23	-2.2101760288e-03	0.0000000000e+00	0.0000000000e+00	-2.2044903980e-03	-1.3016939566e-28	1.4151030712e-23	-9.7116331220e-06	0.0000000000e+00	-8.3526266380e-23	-5.6856308320e-06	3.7518771485e-11	3.7761441931e-11	-2.5136605031e+05	1	4.9999998882e-03	2.5000000373e-02	2.5000000373e-02	4.9999998882e-03
1.0000000000e+17	2.1983660754e-15	1.5522508826e-15	1.0313168381e+01	5.0755498324e+11	1.1241592308e+00	0.0000000000e+00	8.6664901961e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7433870890e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	1.1281023180e+14	1.0910886233e+12	-1.0374943288e+00	0.0000000000e+00	9.9988718977e+17	0.0000000000e+00	0.0000000000e+00	1.4170000000e+03	5.8266572733e-12	1.3761727380e-02	0.0000000000e+00	1.7507165781e+06	0.0000000000e+00	0.0000000000e+00	4.7050000000e+02	2.3990036895e-01	2.6462795314e+07	5.8353364006e+11	0.0000000000e+00	-1.0023151779e-22	-2.2101793479e-03	0.0000000000e+00	0.0000000000e+00	-2.2044937170e-03	-1.3016939617e-28	2.8301598244e-24	-9.7117521528e-06	0.0000000000e+00	-1.0023151779e-22	-5.6856308411e-06	4.7523779551e-11	4.4397549645e-11	-2.2167246589e+05	1	6.0000000522e-03	2.5000000373e-02	2.5000000373e-02	6.0000000522e-03
1.0000000000e+17	3.1143515118e-15	2.2367120777e-15	1.4176975537e+01	5.9208158908e+11	1.1241592308e+00	0.0000000000e+00	8.6666239969e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7433737090e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	1.6455169853e+14	1.2729094772e+12	-1.0374929908e+00	0.0000000000e+00	9.9983544830e+17	0.0000000000e+00	0.0000000000e+00	1.4170000000e+03	6.7978728207e-12	1.3762832869e-02	0.0000000000e+00	2.0425993420e+06	0.0000000000e+00	0.0000000000e+00	4.7050000000e+02	2.5204603112e-01	2.4075489448e+07	6.8082788815e+11	4.5104274019e-23	-1.5452367666e-22	-2.2101808000e-03	0.0000000000e+00	0.0000000000e+00	-2.2044951691e-03	-4.3677570801e-23	-1.6483415351e-23	-9.7125357723e-06	4.5104274019e-23	-1.5452367666e-22	-5.6856308639e-06	4.4209608725e-11	4.0701039577e-11	-1.9126436106e+05	1	7.0000002161e-03	2.5000000373e-02	2.5000000373e-02	7.0000002161e-03
1.0000000000e+17	4.2135345267e-15	3.0609994617e-15	1.9025813618e+01	6.7658622676e+11	1.1241592308e+00	0.0000000000e+00	8.6667861949e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7433574891e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	2.2727307931e+14	1.4547212384e+12	-1.0374913688e+00	0.0000000000e+00	9.9977272692e+17	0.0000000000e+00	0.0000000000e+00	1.4170000000e+03	7.7691255652e-12	1.3764206433e-02	0.0000000000e+00	2.3345207334e+06	0.0000000000e+00	0.0000000000e+00	4.7050000000e+02	2.5491245163e-01	2.1584298022e+07	7.7813501167e+11	1.0524317909e-22	-2.2134468230e-22	-2.2101816298e-03	0.0000000000e+00	0.0000000000e+00	-2.2044959989e-03	-1.0191438249e-22	-3.8461278895e-23	-9.7135409213e-06	1.0524317909e-22	-2.2134468230e-22	-5.6856308912e-06	3.6455727475e-11	3.3560358069e-11	-1.6061808289e+05	1	8.0000003800e-03	2.5000000373e-02	2.5000000373e-02	8.0000003800e-03
1.0000000000e+17	5.3127165180e-15	3.8852860781e-15	2.3874647182e+01	7.6109078574e+11	1.1241592308e+00	0.0000000000e+00	8.6669483928e-02	1.1000000000e+18	1.0000000000e+18	4.0727403846e+00	4.7433412694e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	2.8999440168e+14	1.6365328303e+12	-1.0374897468e+00	0.0000000000e+00	9.9971000560e+17	0.0000000000e+00	0.0000000000e+00	1.4170000000e+03	8.7403774051e-12	1.3765579995e-02	0.0000000000e+00	2.6264418530e+06	0.0000000000e+00	0.0000000000e+00	4.7050000000e+02	2.5777886946e-01	1.9093108917e+07	8.7544204457e+11	1.6538202816e-22	-2.8816562570e-22	-2.2101824596e-03	0.0000000000e+00	0.0000000000e+00	-2.2044968286e-03	-1.6015113994e-22	-6.0439121971e-23	-9.7145460693e-06	1.6538202816e-22	-2.8816562570e-22	-5.6856309185e-06	2.8701853446e-11	2.6419683211e-11	-1.2997183326e+05	1	8.9999996126e-03	2.5000000373e-02	2.5000000373e-02	8.9999996126e-03
