"Acceptor concentration [cm-3]","Jn [A cm-2]:0","Jn [A cm-2]:1","Jn [A cm-2]:2","ArsenicActiveConcentration","BoronActiveConcentration","Conduction band level [eV]","Donor concentration [cm-3]","Dopant concentration [cm-3]","DopingConcentration","Electron Mobility [cm2 s-1 V-1]","Electron density [cm-3]","Electron quasi fermi band level [eV]","Electron quasi fermi potential [V]","Electrostatic potential [V]","G Impact ionization [cm-3 s-1]","GR Auger [cm-3 s-1]","GR Srh [cm-3 s-1]","Hole Mobility [cm2 s-1 V-1]","Hole density [cm-3]","Hole quasi fermi band level [eV]","Hole quasi fermi potential [V]","Middle band level [eV]","PhosphorusActiveConcentration","Space Charge [cm-3]","Valence band level [eV]","Jp [A cm-2]:0","Jp [A cm-2]:1","Jp [A cm-2]:2","Electron Avalanche field [V cm-1]","Hole Avalanche field [V cm-1]","Electric field [V cm-1]:0","Electric field [V cm-1]:1","Electric field [V cm-1]:2","Electron velocity [cm s-1]:0","Electron velocity [cm s-1]:1","Electron velocity [cm s-1]:2","Grad Electron quasi fermi potential [V cm]:0","Grad Electron quasi fermi potential [V cm]:1","Grad Electron quasi fermi potential [V cm]:2","Grad Hole quasi fermi potential [V cm]:0","Grad Hole quasi fermi potential [V cm]:1","Grad Hole quasi fermi potential [V cm]:2","Hole velocity [cm s-1]:0","Hole velocity [cm s-1]:1","Hole velocity [cm s-1]:2","Jn element [A cm-2]:0","Jn element [A cm-2]:1","Jn element [A cm-2]:2","Jp element [A cm-2]:0","Jp element [A cm-2]:1","Jp element [A cm-2]:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,-1.8049485056e-09,5.4400458821e-09,-1.0327548225e+07,1.1000000000e+18,1.0000000000e+17,1.3207273540e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,1.0000000000e+18,4.4150000000e-02,0.0000000000e+00,4.7437726460e-01,0.0000000000e+00,0.0000000000e+00,-5.0424067849e-09,4.7049997786e+02,1.1556250000e+02,4.4150000000e-02,0.0000000000e+00,-4.3022726460e-01,0.0000000000e+00,0.0000000000e+00,-9.9252726460e-01,-7.1410480321e-23,-7.9580132993e-23,-4.6179120212e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0000000000e+00,2.5000000373e-02,2.5000000373e-02,0.0000000000e+00
1.0000000000e+17,-3.6325730100e-09,7.3877277015e-09,-1.0323579040e+07,1.1000000000e+18,1.0000000000e+17,1.2716416593e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,1.0315926417e+18,3.9986841373e-02,4.1631586265e-03,4.7437726460e-01,0.0000000000e+00,0.0000000000e+00,-7.4071684649e+21,4.7049997786e+02,3.6227385205e+16,-1.0641492356e-01,1.5056492356e-01,-4.3513583407e-01,0.0000000000e+00,0.0000000000e+00,-9.9743583407e-01,-1.2694615728e-10,9.4494410076e-09,-9.2527237836e+04,4.1631584288e+04,1.5056491641e+06,-0.0000000000e+00,1.3969838619e-09,-4.9085692385e+04,0.0000000000e+00,0.0000000000e+00,5.8991954936e+07,0.0000000000e+00,0.0000000000e+00,4.1631584288e+04,4.6566128731e-10,0.0000000000e+00,1.5056491641e+06,2.1909363568e-07,0.0000000000e+00,7.0840793172e+08,-0.0000000000e+00,-0.0000000000e+00,-1.0327548225e+07,-1.4282097767e-22,-0.0000000000e+00,-4.6179120212e-07,1,1.0000000475e-03,2.5000000373e-02,2.5000000373e-02,1.0000000475e-03
1.0000000000e+17,-5.4601992118e-09,9.3354042729e-09,-1.0319609856e+07,1.1000000000e+18,1.0000000000e+17,1.2225559646e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,1.0631852833e+18,3.5823682747e-02,8.3263172530e-03,4.7437726460e-01,0.0000000000e+00,0.0000000000e+00,-1.4814336930e+22,4.7049997786e+02,7.2454770411e+16,-2.5697984713e-01,3.0112984713e-01,-4.4004440354e-01,0.0000000000e+00,0.0000000000e+00,-1.0023444035e+00,-2.5389307121e-10,1.8898873059e-08,-1.8505447567e+05,4.1631584288e+04,1.5056491641e+06,-0.0000000000e+00,1.3969838619e-09,-4.9085692385e+04,0.0000000000e+00,0.0000000000e+00,5.8991954936e+07,0.0000000000e+00,0.0000000000e+00,4.1631584288e+04,4.6566128731e-10,0.0000000000e+00,1.5056491641e+06,2.1909363568e-07,0.0000000000e+00,7.0840793172e+08,-0.0000000000e+00,-0.0000000000e+00,-1.0327548225e+07,-1.4282097767e-22,-0.0000000000e+00,-4.6179120212e-07,1,2.0000000950e-03,2.5000000373e-02,2.5000000373e-02,2.0000000950e-03
1.0000000000e+17,-7.2878252010e-09,1.1283080618e-08,-1.0315640673e+07,1.1000000000e+18,1.0000000000e+17,1.1734702755e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,1.0947779213e+18,3.1660524605e-02,1.2489475395e-02,4.7437726460e-01,0.0000000000e+00,0.0000000000e+00,-2.2221504533e+22,4.7049997786e+02,1.0868215140e+17,-4.0754475317e-01,4.5169475317e-01,-4.4495297245e-01,0.0000000000e+00,0.0000000000e+00,-1.0072529724e+00,-3.8083997037e-10,2.8348304011e-08,-2.7758170274e+05,4.1631584288e+04,1.5056491641e+06,-0.0000000000e+00,1.3969838619e-09,-4.9085692385e+04,0.0000000000e+00,0.0000000000e+00,5.8991954936e+07,0.0000000000e+00,0.0000000000e+00,4.1631584288e+04,4.6566128731e-10,0.0000000000e+00,1.5056491641e+06,2.1909363568e-07,0.0000000000e+00,7.0840793172e+08,-0.0000000000e+00,-0.0000000000e+00,-1.0327548225e+07,-1.4282097767e-22,-0.0000000000e+00,-4.6179120212e-07,1,3.0000000261e-03,2.5000000373e-02,2.5000000373e-02,3.0000000261e-03
1.0000000000e+17,-9.1154519503e-09,1.3230756143e-08,-1.0311671488e+07,1.1000000000e+18,1.0000000000e+17,1.1243845751e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,1.1263705667e+18,2.7497365494e-02,1.6652634506e-02,4.7437726460e-01,0.0000000000e+00,0.0000000000e+00,-2.9628673860e+22,4.7049997786e+02,1.4490954082e+17,-5.5810969426e-01,6.0225969426e-01,-4.4986154249e-01,0.0000000000e+00,0.0000000000e+00,-1.0121615425e+00,-5.0778689909e-10,3.7797734379e-08,-3.7010895134e+05,4.1631584288e+04,1.5056491641e+06,-2.3283064365e-10,-2.3283064365e-10,-4.9085692385e+04,-2.4744076654e-07,-2.4744076654e-07,5.8991954936e+07,-1.7462298274e-10,-1.7462298274e-10,4.1631584288e+04,4.6566128731e-10,4.6566128731e-10,1.5056491641e+06,2.1909363568e-07,2.1909363568e-07,7.0840793172e+08,4.3318727986e-08,4.3318727986e-08,-1.0327548225e+07,-1.4282097767e-22,-1.4282097767e-22,-4.6179120212e-07,1,4.0000001900e-03,2.5000000373e-02,2.5000000373e-02,4.0000001900e-03
1.0000000000e+17,-1.0943077514e-08,1.5178432034e-08,-1.0307702305e+07,1.1000000000e+18,1.0000000000e+17,1.0752988975e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,1.1579631973e+18,2.3334208321e-02,2.0815791679e-02,4.7437726460e-01,0.0000000000e+00,0.0000000000e+00,-3.7035839738e+22,4.7049997786e+02,1.8113691337e+17,-7.0867456524e-01,7.5282456524e-01,-4.5477011025e-01,0.0000000000e+00,0.0000000000e+00,-1.0170701102e+00,-6.3473376869e-10,4.7247163131e-08,-4.6263615687e+05,4.1631584288e+04,1.5056491641e+06,-2.3283064365e-10,-2.3283064365e-10,-4.9085692385e+04,-2.4744076654e-07,-2.4744076654e-07,5.8991954936e+07,-1.7462298274e-10,-1.7462298274e-10,4.1631584288e+04,4.6566128731e-10,4.6566128731e-10,1.5056491641e+06,2.1909363568e-07,2.1909363568e-07,7.0840793172e+08,4.3318727986e-08,4.3318727986e-08,-1.0327548225e+07,-1.4282097767e-22,-1.4282097767e-22,-4.6179120212e-07,1,4.9999998882e-03,2.5000000373e-02,2.5000000373e-02,4.9999998882e-03
1.0000000000e+17,-1.2770703929e-08,1.7126108832e-08,-1.0303733121e+07,1.1000000000e+18,1.0000000000e+17,1.0262131971e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,1.1895558427e+18,1.9171049210e-02,2.4978950790e-02,4.7437726460e-01,0.0000000000e+00,0.0000000000e+00,-4.4443009065e+22,4.7049997786e+02,2.1736430280e+17,-8.5923950633e-01,9.0338950633e-01,-4.5967868029e-01,0.0000000000e+00,0.0000000000e+00,-1.0219786803e+00,-7.6168069741e-10,5.6696596283e-08,-5.5516340547e+05,4.1631584288e+04,1.5056491641e+06,-2.3283064365e-10,-2.3283064365e-10,-4.9085692385e+04,-2.4744076654e-07,-2.4744076654e-07,5.8991954936e+07,-1.7462298274e-10,-1.7462298274e-10,4.1631584288e+04,4.6566128731e-10,4.6566128731e-10,1.5056491641e+06,2.1909363568e-07,2.1909363568e-07,7.0840793172e+08,4.3318727986e-08,4.3318727986e-08,-1.0327548225e+07,-1.4282097767e-22,-1.4282097767e-22,-4.6179120212e-07,1,6.0000000522e-03,2.5000000373e-02,2.5000000373e-02,6.0000000522e-03
1.0000000000e+17,-6.5322964791e-09,1.3869810025e-08,-1.0297521612e+07,1.1000000000e+18,1.0000000000e+17,9.8308735134e-02,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,1.2194908053e+18,1.5487472811e-02,2.8662527189e-02,4.7437726460e-01,0.0000000000e+00,0.0000000000e+00,-4.8071912706e+22,4.7049997786e+02,2.3870315755e+17,-9.0112328494e-01,9.4527328494e-01,-4.6399126487e-01,0.0000000000e+00,0.0000000000e+00,-1.0262912649e+00,3.2418293307e-09,5.5908481777e-08,-6.4942360390e+05,3.5237149967e+04,5.6567415131e+04,-6.9849193096e-10,7.4505805969e-09,-4.1139221791e+04,-1.6496051103e-07,-7.0108217187e-07,4.9931041504e+07,-1.1641532183e-10,-4.9476511776e-10,3.5237149967e+04,2.7939677238e-09,-1.2572854757e-08,5.6567415131e+04,1.3145618141e-06,-5.9155281633e-06,2.6614968819e+07,3.3955893951e-08,1.4431254929e-07,-1.0277933425e+07,-5.7126108559e-08,2.5706748851e-07,-1.1565904180e+06,1,7.0000002161e-03,2.5000000373e-02,2.5000000373e-02,7.0000002161e-03
1.0000000000e+17,2.3947782203e-09,8.8788667534e-09,-1.0290562662e+07,1.1000000000e+18,1.0000000000e+17,9.4194812281e-02,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,1.2488732074e+18,1.1963757237e-02,3.2186242763e-02,4.7437726460e-01,0.0000000000e+00,0.0000000000e+00,-5.0441395076e+22,4.7049997786e+02,2.5507916988e+17,-9.0678002738e-01,9.5093002738e-01,-4.6810518772e-01,0.0000000000e+00,0.0000000000e+00,-1.0304051877e+00,8.6221429862e-09,5.1707870456e-08,-7.4426145199e+05,3.5237149967e+04,5.6567415131e+04,-6.9849193096e-10,7.4505805969e-09,-4.1139221791e+04,-1.6496051103e-07,-7.0108217187e-07,4.9931041504e+07,-1.1641532183e-10,-4.9476511776e-10,3.5237149967e+04,2.7939677238e-09,-1.2572854757e-08,5.6567415131e+04,1.3145618141e-06,-5.9155281633e-06,2.6614968819e+07,3.3955893951e-08,1.4431254929e-07,-1.0277933425e+07,-5.7126108559e-08,2.5706748851e-07,-1.1565904180e+06,1,8.0000003800e-03,2.5000000373e-02,2.5000000373e-02,8.0000003800e-03
1.0000000000e+17,1.1321844606e-08,3.8879281304e-09,-1.0283603718e+07,1.1000000000e+18,1.0000000000e+17,9.0080893259e-02,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,1.2782555821e+18,8.4400449444e-03,3.5709955056e-02,4.7437726460e-01,0.0000000000e+00,0.0000000000e+00,-5.2810875240e+22,4.7049997786e+02,2.7145516696e+17,-9.1243676455e-01,9.5658676455e-01,-4.7221910674e-01,0.0000000000e+00,0.0000000000e+00,-1.0345191067e+00,1.4002451631e-08,4.7507263048e-08,-8.3909921175e+05,3.5237149967e+04,5.6567415131e+04,-6.9849193096e-10,7.4505805969e-09,-4.1139221791e+04,-1.6496051103e-07,-7.0108217187e-07,4.9931041504e+07,-1.1641532183e-10,-4.9476511776e-10,3.5237149967e+04,2.7939677238e-09,-1.2572854757e-08,5.6567415131e+04,1.3145618141e-06,-5.9155281633e-06,2.6614968819e+07,3.3955893951e-08,1.4431254929e-07,-1.0277933425e+07,-5.7126108559e-08,2.5706748851e-07,-1.1565904180e+06,1,8.9999996126e-03,2.5000000373e-02,2.5000000373e-02,8.9999996126e-03
