#Acceptor concentration [cm-3]	Jn [A cm-2]:0	Jn [A cm-2]:1	Jn [A cm-2]:2	ArsenicActiveConcentration	BoronActiveConcentration	Conduction band level [eV]	Donor concentration [cm-3]	Dopant concentration [cm-3]	DopingConcentration	Electron Mobility [cm2 s-1 V-1]	Electron density [cm-3]	Electron quasi fermi band level [eV]	Electron quasi fermi potential [V]	Electrostatic potential [V]	G Impact ionization [cm-3 s-1]	GR Auger [cm-3 s-1]	GR Srh [cm-3 s-1]	Hole Mobility [cm2 s-1 V-1]	Hole density [cm-3]	Hole quasi fermi band level [eV]	Hole quasi fermi potential [V]	Middle band level [eV]	PhosphorusActiveConcentration	Space Charge [cm-3]	Valence band level [eV]	Jp [A cm-2]:0	Jp [A cm-2]:1	Jp [A cm-2]:2	Electron Avalanche field [V cm-1]	Hole Avalanche field [V cm-1]	Electric field [V cm-1]:0	Electric field [V cm-1]:1	Electric field [V cm-1]:2	Electron velocity [cm s-1]:0	Electron velocity [cm s-1]:1	Electron velocity [cm s-1]:2	Grad Electron quasi fermi potential [V cm]:0	Grad Electron quasi fermi potential [V cm]:1	Grad Electron quasi fermi potential [V cm]:2	Grad Hole quasi fermi potential [V cm]:0	Grad Hole quasi fermi potential [V cm]:1	Grad Hole quasi fermi potential [V cm]:2	Hole velocity [cm s-1]:0	Hole velocity [cm s-1]:1	Hole velocity [cm s-1]:2	Jn element [A cm-2]:0	Jn element [A cm-2]:1	Jn element [A cm-2]:2	Jp element [A cm-2]:0	Jp element [A cm-2]:1	Jp element [A cm-2]:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.0000000000e+17	-3.1702313126e-10	-2.9904495392e-10	-1.7353068835e+06	1.1000000000e+18	1.0000000000e+17	1.3207273540e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	1.0000000000e+18	4.4150000000e-02	0.0000000000e+00	4.7437726460e-01	0.0000000000e+00	0.0000000000e+00	5.0424067849e-09	4.7049997786e+02	1.1556250000e+02	4.4150000000e-02	0.0000000000e+00	-4.3022726460e-01	0.0000000000e+00	0.0000000000e+00	-9.9252726460e-01	-6.8501901314e-23	-7.1319336357e-23	-4.1385507704e-07	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0.0000000000e+00	2.5000000373e-02	2.5000000373e-02	0.0000000000e+00
1.0000000000e+17	-3.4941783066e-10	-7.5030445749e-10	-1.7352909770e+06	1.1000000000e+18	1.0000000000e+17	1.3113153584e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	1.0077005510e+18	4.3403247406e-02	7.4675259358e-04	4.7531846416e-01	0.0000000000e+00	2.8006857850e+21	2.4562986127e+21	4.7049997786e+02	8.6334285396e+15	-9.6514908869e-02	1.4066490887e-01	-4.3116846416e-01	0.0000000000e+00	0.0000000000e+00	-9.9346846416e-01	-6.7026781579e-11	2.3279601546e-09	-1.4458683034e+04	0.0000000000e+00	0.0000000000e+00	-0.0000000000e+00	1.3969838619e-09	-9.4119951702e+03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.7644197214e-10	0.0000000000e+00	7.4675255811e+03	0.0000000000e+00	0.0000000000e+00	1.4066490219e+06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.1001663197e-08	-0.0000000000e+00	-1.7353068835e+06	-0.0000000000e+00	-0.0000000000e+00	-4.1385507704e-07	1	1.0000000475e-03	2.5000000373e-02	2.5000000373e-02	1.0000000475e-03
1.0000000000e+17	-3.8181339463e-10	-1.2015654086e-09	-1.7352750705e+06	1.1000000000e+18	1.0000000000e+17	1.3019033627e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	1.0154011019e+18	4.2656494813e-02	1.4935051872e-03	4.7625966373e-01	0.0000000000e+00	5.6013715701e+21	4.9125972254e+21	4.7049997786e+02	1.7266857079e+16	-2.3717981774e-01	2.8132981774e-01	-4.3210966373e-01	0.0000000000e+00	0.0000000000e+00	-9.9440966373e-01	-1.3405370049e-10	4.6559180966e-09	-2.8917366068e+04	0.0000000000e+00	0.0000000000e+00	-0.0000000000e+00	1.3969838619e-09	-9.4119951702e+03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.7644197214e-10	0.0000000000e+00	7.4675255811e+03	0.0000000000e+00	0.0000000000e+00	1.4066490219e+06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.1001663197e-08	-0.0000000000e+00	-1.7353068835e+06	-0.0000000000e+00	-0.0000000000e+00	-4.1385507704e-07	1	2.0000000950e-03	2.5000000373e-02	2.5000000373e-02	2.0000000950e-03
1.0000000000e+17	-4.1420895482e-10	-1.6528263072e-09	-1.7352591640e+06	1.1000000000e+18	1.0000000000e+17	1.2924913682e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	1.0231016520e+18	4.1909742306e-02	2.2402576938e-03	4.7720086318e-01	0.0000000000e+00	8.4020570291e+21	7.3688955521e+21	4.7049997786e+02	2.5900284614e+16	-3.7784471023e-01	4.2199471023e-01	-4.3305086318e-01	0.0000000000e+00	0.0000000000e+00	-9.9535086318e-01	-2.0108061160e-10	6.9838757675e-09	-4.3376047419e+04	0.0000000000e+00	0.0000000000e+00	-0.0000000000e+00	1.3969838619e-09	-9.4119951702e+03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.7644197214e-10	0.0000000000e+00	7.4675255811e+03	0.0000000000e+00	0.0000000000e+00	1.4066490219e+06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.1001663197e-08	-0.0000000000e+00	-1.7353068835e+06	-0.0000000000e+00	-0.0000000000e+00	-4.1385507704e-07	1	3.0000000261e-03	2.5000000373e-02	2.5000000373e-02	3.0000000261e-03
1.0000000000e+17	-4.4660705455e-10	-2.1040926143e-09	-1.7352432575e+06	1.1000000000e+18	1.0000000000e+17	1.2830793715e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	1.0308022039e+18	4.1162989626e-02	2.9870103743e-03	4.7814206285e-01	0.0000000000e+00	1.1202743140e+22	9.8251944507e+21	4.7049997786e+02	3.4533714158e+16	-5.1850963547e-01	5.6265963547e-01	-4.3399206285e-01	0.0000000000e+00	0.0000000000e+00	-9.9629206285e-01	-2.6810735104e-10	9.3118333413e-09	-5.7834732137e+04	0.0000000000e+00	0.0000000000e+00	-0.0000000000e+00	-2.3283064365e-10	-9.4119951702e+03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.7644197214e-10	-1.7644197214e-10	7.4675255811e+03	0.0000000000e+00	0.0000000000e+00	1.4066490219e+06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.1001663197e-08	4.1001663197e-08	-1.7353068835e+06	-0.0000000000e+00	-0.0000000000e+00	-4.1385507704e-07	1	4.0000001900e-03	2.5000000373e-02	2.5000000373e-02	4.0000001900e-03
1.0000000000e+17	-4.7900260721e-10	-2.5553534078e-09	-1.7352273510e+06	1.1000000000e+18	1.0000000000e+17	1.2736673792e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	1.0385027522e+18	4.0416237293e-02	3.7337627071e-03	4.7908326208e-01	0.0000000000e+00	1.4003427947e+22	1.2281492206e+22	4.7049997786e+02	4.3167139683e+16	-6.5917449522e-01	7.0332449522e-01	-4.3493326208e-01	0.0000000000e+00	0.0000000000e+00	-9.9723326208e-01	-3.3513424654e-10	1.1639790470e-08	-7.2293410121e+04	0.0000000000e+00	0.0000000000e+00	-0.0000000000e+00	-2.3283064365e-10	-9.4119951702e+03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.7644197214e-10	-1.7644197214e-10	7.4675255811e+03	0.0000000000e+00	0.0000000000e+00	1.4066490219e+06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.1001663197e-08	4.1001663197e-08	-1.7353068835e+06	-0.0000000000e+00	-0.0000000000e+00	-4.1385507704e-07	1	4.9999998882e-03	2.5000000373e-02	2.5000000373e-02	4.9999998882e-03
1.0000000000e+17	-5.1139817495e-10	-3.0066144115e-09	-1.7352114445e+06	1.1000000000e+18	1.0000000000e+17	1.2642553825e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	1.0462033040e+18	3.9669484612e-02	4.4805153876e-03	4.8002446175e-01	0.0000000000e+00	1.6804114058e+22	1.4737791104e+22	4.7049997786e+02	5.1800569227e+16	-7.9983942046e-01	8.4398942046e-01	-4.3587446175e-01	0.0000000000e+00	0.0000000000e+00	-9.9817446175e-01	-4.0216117326e-10	1.3967748683e-08	-8.6752094838e+04	0.0000000000e+00	0.0000000000e+00	-0.0000000000e+00	-2.3283064365e-10	-9.4119951702e+03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-1.7644197214e-10	-1.7644197214e-10	7.4675255811e+03	0.0000000000e+00	0.0000000000e+00	1.4066490219e+06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.1001663197e-08	4.1001663197e-08	-1.7353068835e+06	-0.0000000000e+00	-0.0000000000e+00	-4.1385507704e-07	1	6.0000000522e-03	2.5000000373e-02	2.5000000373e-02	6.0000000522e-03
1.0000000000e+17	-8.8107264441e-10	-4.5836312000e-09	-1.7351831600e+06	1.1000000000e+18	1.0000000000e+17	1.2552670207e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	1.0534133757e+18	3.8946957925e-02	5.2030420749e-03	4.8092329793e-01	0.0000000000e+00	1.9596092583e+22	1.6524371012e+22	4.7049997786e+02	5.9229950820e+16	-8.3751688751e-01	8.8166688751e-01	-4.3677329793e-01	0.0000000000e+00	0.0000000000e+00	-9.9907329793e-01	6.7016616777e-10	1.3660379895e-08	-1.0149804441e+05	7.1445124308e+03	3.3483308218e+04	-9.3132257462e-10	7.4505805969e-09	-8.8471487183e+03	5.2065661293e-07	1.2372038327e-07	1.0123774114e+07	3.6743585952e-10	8.7311491370e-11	7.1445124308e+03	2.3283064365e-09	-1.2107193470e-08	3.3483308218e+04	1.0954681784e-06	-5.6964345276e-06	1.5753896517e+07	-8.9235049233e-08	-2.1204368135e-08	-1.7351080522e+06	-1.2567546699e-08	6.5351242834e-08	-1.8073352934e+05	1	7.0000002161e-03	2.5000000373e-02	2.5000000373e-02	7.0000002161e-03
1.0000000000e+17	-1.3631723401e-09	-6.5359002019e-09	-1.7351507495e+06	1.1000000000e+18	1.0000000000e+17	1.2464198706e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	1.0604599540e+18	3.8232506565e-02	5.9174934351e-03	4.8180801294e-01	0.0000000000e+00	2.2385168581e+22	1.8087711367e+22	4.7049997786e+02	6.6257983294e+16	-8.4086521888e-01	8.8501521888e-01	-4.3765801294e-01	0.0000000000e+00	0.0000000000e+00	-9.9995801294e-01	2.1222747154e-09	1.2474574255e-08	-1.1633974889e+05	7.1445124308e+03	3.3483308218e+04	-9.3132257462e-10	7.4505805969e-09	-8.8471487183e+03	5.2065661293e-07	1.2372038327e-07	1.0123774114e+07	3.6743585952e-10	8.7311491370e-11	7.1445124308e+03	2.3283064365e-09	-1.2107193470e-08	3.3483308218e+04	1.0954681784e-06	-5.6964345276e-06	1.5753896517e+07	-8.9235049233e-08	-2.1204368135e-08	-1.7351080522e+06	-1.2567546699e-08	6.5351242834e-08	-1.8073352934e+05	1	8.0000003800e-03	2.5000000373e-02	2.5000000373e-02	8.0000003800e-03
1.0000000000e+17	-1.8452715868e-09	-8.4881673856e-09	-1.7351183391e+06	1.1000000000e+18	1.0000000000e+17	1.2375727286e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	1.0675065258e+18	3.7518055870e-02	6.6319441299e-03	4.8269272714e-01	0.0000000000e+00	2.5174241982e+22	1.9651050267e+22	4.7049997786e+02	7.3286009223e+16	-8.4421354713e-01	8.8836354713e-01	-4.3854272714e-01	0.0000000000e+00	0.0000000000e+00	-1.0008427271e+00	3.5743819107e-09	1.1288769720e-08	-1.3118143955e+05	7.1445124308e+03	3.3483308218e+04	-9.3132257462e-10	7.4505805969e-09	-8.8471487183e+03	5.2065661293e-07	1.2372038327e-07	1.0123774114e+07	3.6743585952e-10	8.7311491370e-11	7.1445124308e+03	2.3283064365e-09	-1.2107193470e-08	3.3483308218e+04	1.0954681784e-06	-5.6964345276e-06	1.5753896517e+07	-8.9235049233e-08	-2.1204368135e-08	-1.7351080522e+06	-1.2567546699e-08	6.5351242834e-08	-1.8073352934e+05	1	8.9999996126e-03	2.5000000373e-02	2.5000000373e-02	8.9999996126e-03
