#Acceptor concentration [cm-3]	Jn [A cm-2]:0	Jn [A cm-2]:1	Jn [A cm-2]:2	ArsenicActiveConcentration	BoronActiveConcentration	Conduction band level [eV]	Donor concentration [cm-3]	Dopant concentration [cm-3]	DopingConcentration	Electron Mobility [cm2 s-1 V-1]	Electron density [cm-3]	Electron quasi fermi band level [eV]	Electron quasi fermi potential [V]	Electrostatic potential [V]	G Impact ionization [cm-3 s-1]	GR Auger [cm-3 s-1]	GR Srh [cm-3 s-1]	Hole Mobility [cm2 s-1 V-1]	Hole density [cm-3]	Hole quasi fermi band level [eV]	Hole quasi fermi potential [V]	Middle band level [eV]	PhosphorusActiveConcentration	Space Charge [cm-3]	Valence band level [eV]	Jp [A cm-2]:0	Jp [A cm-2]:1	Jp [A cm-2]:2	Electron Avalanche field [V cm-1]	Hole Avalanche field [V cm-1]	Electric field [V cm-1]:0	Electric field [V cm-1]:1	Electric field [V cm-1]:2	Electron velocity [cm s-1]:0	Electron velocity [cm s-1]:1	Electron velocity [cm s-1]:2	Grad Electron quasi fermi potential [V cm]:0	Grad Electron quasi fermi potential [V cm]:1	Grad Electron quasi fermi potential [V cm]:2	Grad Hole quasi fermi potential [V cm]:0	Grad Hole quasi fermi potential [V cm]:1	Grad Hole quasi fermi potential [V cm]:2	Hole velocity [cm s-1]:0	Hole velocity [cm s-1]:1	Hole velocity [cm s-1]:2	Jn element [A cm-2]:0	Jn element [A cm-2]:1	Jn element [A cm-2]:2	Jp element [A cm-2]:0	Jp element [A cm-2]:1	Jp element [A cm-2]:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.0000000000e+17	-1.3439800890e-08	-1.3439800890e-08	-1.8815725892e-07	1.1000000000e+18	1.0000000000e+17	1.3207273540e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	1.0000000000e+18	4.4150000000e-02	0.0000000000e+00	4.7437726460e-01	0.0000000000e+00	0.0000000000e+00	-5.0424067849e-09	4.7049997786e+02	1.1556250000e+02	4.4150000000e-02	0.0000000000e+00	-4.3022726460e-01	0.0000000000e+00	0.0000000000e+00	-9.9252726460e-01	-7.4630222688e-25	-7.5789559553e-25	-3.1712079032e-10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0.0000000000e+00	2.5000000373e-02	2.5000000373e-02	0.0000000000e+00
1.0000000000e+17	-1.5588879511e-08	-1.4514080892e-08	-1.8761305556e-07	1.1000000000e+18	1.0000000000e+17	1.3207365587e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	9.9996440117e+17	4.4150000000e-02	8.8817852806e-17	4.7437634413e-01	0.0000000000e+00	0.0000000000e+00	-5.6174661487e+06	4.7049997786e+02	1.3241901404e+02	4.1470509927e-02	2.6794900729e-03	-4.3022634413e-01	0.0000000000e+00	0.0000000000e+00	-9.9252634413e-01	-6.3924437339e-25	-6.3016508086e-25	-3.1769006718e-10	9.0576781872e-10	2.6794899457e+04	-0.0000000000e+00	1.3969838619e-09	9.2047218753e+00	2.5170976414e-07	0.0000000000e+00	1.2585488207e-06	1.7763568394e-10	0.0000000000e+00	8.8817841970e-10	1.7462298274e-10	0.0000000000e+00	2.6794899457e+04	8.2160113379e-08	0.0000000000e+00	1.2607000194e+07	-4.0319412283e-08	-0.0000000000e+00	-2.0159706141e-07	-2.0666835636e-24	-0.0000000000e+00	-3.1712079032e-10	1	1.0000000475e-03	2.5000000373e-02	2.5000000373e-02	1.0000000475e-03
1.0000000000e+17	-1.7737951725e-08	-1.5588357690e-08	-1.8706885100e-07	1.1000000000e+18	1.0000000000e+17	1.3207457634e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	9.9992880233e+17	4.4150000000e-02	1.7763569899e-16	4.7437542366e-01	0.0000000000e+00	0.0000000000e+00	-1.1234932297e+07	4.7049997786e+02	1.4927552807e+02	3.8791019854e-02	5.3589801458e-03	-4.3022542366e-01	0.0000000000e+00	0.0000000000e+00	-9.9252542366e-01	-5.3218671853e-25	-5.0243472829e-25	-3.1825934403e-10	9.0576781872e-10	2.6794899457e+04	-0.0000000000e+00	1.3969838619e-09	9.2047218753e+00	2.5170976414e-07	0.0000000000e+00	1.2585488207e-06	1.7763568394e-10	0.0000000000e+00	8.8817841970e-10	1.7462298274e-10	0.0000000000e+00	2.6794899457e+04	8.2160113379e-08	0.0000000000e+00	1.2607000194e+07	-4.0319412283e-08	-0.0000000000e+00	-2.0159706141e-07	-2.0666835636e-24	-0.0000000000e+00	-3.1712079032e-10	1	2.0000000950e-03	2.5000000373e-02	2.5000000373e-02	2.0000000950e-03
1.0000000000e+17	-1.9887023689e-08	-1.6662634364e-08	-1.8652464651e-07	1.1000000000e+18	1.0000000000e+17	1.3207549682e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	9.9989320351e+17	4.4150000000e-02	2.6645353484e-16	4.7437450318e-01	0.0000000000e+00	0.0000000000e+00	-1.6852397792e+07	4.7049997786e+02	1.6613204015e+02	3.6111530093e-02	8.0384699068e-03	-4.3022450318e-01	0.0000000000e+00	0.0000000000e+00	-9.9252450318e-01	-4.2512907614e-25	-3.7470439059e-25	-3.1882862082e-10	9.0576781872e-10	2.6794899457e+04	-0.0000000000e+00	1.3969838619e-09	9.2047218753e+00	2.5170976414e-07	0.0000000000e+00	1.2585488207e-06	1.7763568394e-10	0.0000000000e+00	8.8817841970e-10	1.7462298274e-10	0.0000000000e+00	2.6794899457e+04	8.2160113379e-08	0.0000000000e+00	1.2607000194e+07	-4.0319412283e-08	-0.0000000000e+00	-2.0159706141e-07	-2.0666835636e-24	-0.0000000000e+00	-3.1712079032e-10	1	3.0000000261e-03	2.5000000373e-02	2.5000000373e-02	3.0000000261e-03
1.0000000000e+17	-2.2036097756e-08	-1.7736914491e-08	-1.8598043988e-07	1.1000000000e+18	1.0000000000e+17	1.3207641729e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	9.9985760467e+17	4.4150000000e-02	3.5527141122e-16	4.7437358271e-01	0.0000000000e+00	0.0000000000e+00	-2.2469864595e+07	4.7049997786e+02	1.8298855615e+02	3.3432039708e-02	1.0717960292e-02	-4.3022358271e-01	0.0000000000e+00	0.0000000000e+00	-9.9252358271e-01	-3.1807129438e-25	-2.4697395798e-25	-3.1939789774e-10	1.0204393147e-09	2.6794899457e+04	-2.3283064365e-10	-4.6566128731e-10	9.2047218753e+00	5.0341952829e-07	5.0341952829e-07	1.2585488207e-06	3.5527136788e-10	3.5527136788e-10	8.8817841970e-10	3.5652192309e-10	3.5652192309e-10	2.6794899457e+04	1.6774356482e-07	1.6774356482e-07	1.2607000194e+07	-8.0638824565e-08	-8.0638824565e-08	-2.0159706141e-07	-4.2194789423e-24	-4.2194789423e-24	-3.1712079032e-10	1	4.0000001900e-03	2.5000000373e-02	2.5000000373e-02	4.0000001900e-03
1.0000000000e+17	-2.4185169219e-08	-1.8811190914e-08	-1.8543623551e-07	1.1000000000e+18	1.0000000000e+17	1.3207733776e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	9.9982200585e+17	4.4150000000e-02	4.4408922639e-16	4.7437266224e-01	0.0000000000e+00	0.0000000000e+00	-2.8087328782e+07	4.7049997786e+02	1.9984506430e+02	3.0752550571e-02	1.3397449429e-02	-4.3022266224e-01	0.0000000000e+00	0.0000000000e+00	-9.9252266224e-01	-2.1101367691e-25	-1.1924365002e-25	-3.1996717440e-10	1.0204393147e-09	2.6794899457e+04	-2.3283064365e-10	-4.6566128731e-10	9.2047218753e+00	5.0341952829e-07	5.0341952829e-07	1.2585488207e-06	3.5527136788e-10	3.5527136788e-10	8.8817841970e-10	3.5652192309e-10	3.5652192309e-10	2.6794899457e+04	1.6774356482e-07	1.6774356482e-07	1.2607000194e+07	-8.0638824565e-08	-8.0638824565e-08	-2.0159706141e-07	-4.2194789423e-24	-4.2194789423e-24	-3.1712079032e-10	1	4.9999998882e-03	2.5000000373e-02	2.5000000373e-02	4.9999998882e-03
1.0000000000e+17	-2.6334241684e-08	-1.9885467838e-08	-1.8489203089e-07	1.1000000000e+18	1.0000000000e+17	1.3207825823e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	9.9978640701e+17	4.4150000000e-02	5.3290708292e-16	4.7437174177e-01	0.0000000000e+00	0.0000000000e+00	-3.3704795584e+07	4.7049997786e+02	2.1670158030e+02	2.8073060186e-02	1.6076939814e-02	-4.3022174177e-01	0.0000000000e+00	0.0000000000e+00	-9.9252174177e-01	-1.0395600959e-25	8.4867174236e-27	-3.2053645132e-10	1.0204393147e-09	2.6794899457e+04	-2.3283064365e-10	-4.6566128731e-10	9.2047218753e+00	5.0341952829e-07	5.0341952829e-07	1.2585488207e-06	3.5527136788e-10	3.5527136788e-10	8.8817841970e-10	3.5652192309e-10	3.5652192309e-10	2.6794899457e+04	1.6774356482e-07	1.6774356482e-07	1.2607000194e+07	-8.0638824565e-08	-8.0638824565e-08	-2.0159706141e-07	-4.2194789423e-24	-4.2194789423e-24	-3.1712079032e-10	1	6.0000000522e-03	2.5000000373e-02	2.5000000373e-02	6.0000000522e-03
1.0000000000e+17	-2.3646161004e-08	-1.7735169073e-08	-1.8352054125e-07	1.1000000000e+18	1.0000000000e+17	1.3208079156e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	9.9968847487e+17	4.4150000000e-02	6.0840223285e-16	4.7436920844e-01	0.0000000000e+00	0.0000000000e+00	-3.9326486645e+07	4.7049997786e+02	2.3357798400e+02	2.6194135042e-02	1.7955864958e-02	-4.3021920844e-01	0.0000000000e+00	0.0000000000e+00	-9.9251920844e-01	1.7711250484e-26	2.0148661904e-25	-3.2122476319e-10	7.1054273576e-10	1.6120699319e+04	-6.9849193096e-10	6.9849193096e-09	3.0709398120e+01	2.3442298560e-21	-1.4651436600e-20	1.0068390566e-06	1.6543612251e-24	-1.0339757657e-23	7.1054273576e-10	-6.2573235482e-10	-6.4028427005e-10	1.6120699319e+04	-2.9440707294e-07	-3.0125374906e-07	7.5847890294e+06	-3.7532266356e-22	2.3457666473e-21	-1.6119985655e-07	1.2585398531e-23	1.2878082218e-23	-3.2423675068e-10	1	7.0000002161e-03	2.5000000373e-02	2.5000000373e-02	7.0000002161e-03
1.0000000000e+17	-1.9345715962e-08	-1.4510021357e-08	-1.8187329462e-07	1.1000000000e+18	1.0000000000e+17	1.3208386250e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	9.9956976497e+17	4.4150000000e-02	6.7945651807e-16	4.7436613750e-01	0.0000000000e+00	0.0000000000e+00	-4.4949585791e+07	4.7049997786e+02	2.5046101694e+02	2.4582064846e-02	1.9567935154e-02	-4.3021613750e-01	0.0000000000e+00	0.0000000000e+00	-9.9251613750e-01	1.4424835482e-25	4.1624337731e-25	-3.2195275336e-10	7.1054273576e-10	1.6120699319e+04	-6.9849193096e-10	6.9849193096e-09	3.0709398120e+01	2.3442298560e-21	-1.4651436600e-20	1.0068390566e-06	1.6543612251e-24	-1.0339757657e-23	7.1054273576e-10	-6.2573235482e-10	-6.4028427005e-10	1.6120699319e+04	-2.9440707294e-07	-3.0125374906e-07	7.5847890294e+06	-3.7532266356e-22	2.3457666473e-21	-1.6119985655e-07	1.2585398531e-23	1.2878082218e-23	-3.2423675068e-10	1	8.0000003800e-03	2.5000000373e-02	2.5000000373e-02	8.0000003800e-03
1.0000000000e+17	-1.5045274924e-08	-1.1284876644e-08	-1.8022604952e-07	1.1000000000e+18	1.0000000000e+17	1.3208693343e-01	1.1000000000e+18	1.0000000000e+18	1.0000000000e+18	1.4169997992e+03	9.9945105519e+17	4.4150000000e-02	7.5051073712e-16	4.7436306657e-01	0.0000000000e+00	0.0000000000e+00	-5.0572679700e+07	4.7049997786e+02	2.6734403415e+02	2.2969996152e-02	2.1180003848e-02	-4.3021306657e-01	0.0000000000e+00	0.0000000000e+00	-9.9251306657e-01	2.7078534131e-25	6.3099993556e-25	-3.2268074285e-10	7.1054273576e-10	1.6120699319e+04	-6.9849193096e-10	6.9849193096e-09	3.0709398120e+01	2.3442298560e-21	-1.4651436600e-20	1.0068390566e-06	1.6543612251e-24	-1.0339757657e-23	7.1054273576e-10	-6.2573235482e-10	-6.4028427005e-10	1.6120699319e+04	-2.9440707294e-07	-3.0125374906e-07	7.5847890294e+06	-3.7532266356e-22	2.3457666473e-21	-1.6119985655e-07	1.2585398531e-23	1.2878082218e-23	-3.2423675068e-10	1	8.9999996126e-03	2.5000000373e-02	2.5000000373e-02	8.9999996126e-03
