"AcceptorConcentration","ElectricField:0","ElectricField:1","ElectricField:2","AugerRecombination","BandGap","BandgapNarrowing","ConductionBandEnergy","DonorConcentration","DopingConcentration","ElectronAffinity","ElectrostaticPotential","ImpactIonization","IntrinsicDensity","LatticeTemperature","QuasiFermiPotential","SpaceCharge","TotalRecombination","ValenceBandEnergy","eAlphaAvalanche","eDensity","eEparallel","eImpactIonization","eMobility","eQuasiFermiPotential","eVelocity","hAlphaAvalanche","hDensity","hEparallel","hImpactIonization","hMobility","hQuasiFermiPotential","hVelocity","srhRecombination","TotalCurrentDensity:0","TotalCurrentDensity:1","TotalCurrentDensity:2","eCurrentDensity:0","eCurrentDensity:1","eCurrentDensity:2","eGradQuasiFermi:0","eGradQuasiFermi:1","eGradQuasiFermi:2","hCurrentDensity:0","hCurrentDensity:1","hCurrentDensity:2","hGradQuasiFermi:0","hGradQuasiFermi:1","hGradQuasiFermi:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,-6.1525329977e-02,-1.5014694227e-02,3.3482515966e+02,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,8.9385764978e-02,1.0000000000e+18,9.0000000000e+17,4.0727403846e+00,4.7161784589e-01,0.0000000000e+00,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,-7.1612977497e+03,9.0364494158e-09,-1.0347734658e+00,0.0000000000e+00,9.0000000000e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,3.4441776453e-17,1.0397072676e-03,0.0000000000e+00,1.2840369724e+02,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,0.0000000000e+00,2.5865992821e+07,9.0364494158e-09,-9.3294205973e-09,-6.0509914532e-09,-1.5264185141e-04,-9.4904160300e-09,-6.1367888192e-09,-1.4901541525e-04,-6.8470521504e-11,-5.3582831857e-11,-7.3353078215e-07,1.6099543275e-10,8.5797365985e-11,-3.6264361536e-06,2.3135483466e+00,5.4766364096e-01,-2.6226417011e+05,1,0.0000000000e+00,1.0000000149e-01,1.0000000149e-01,0.0000000000e+00
1.0000000000e+17,-5.8263363646e-02,-1.4462039564e-02,4.0190245265e+02,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,8.9486188340e-02,9.9745177232e+17,8.9745177232e+17,4.0727403846e+00,4.7151742252e-01,6.2917490555e-29,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,9.2673279347e+14,1.8718796176e+11,-1.0346730424e+00,0.0000000000e+00,8.9652503953e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,2.2012015065e-13,1.0432199133e-03,2.7823133544e-42,5.6169282025e+05,0.0000000000e+00,6.2917490555e-29,4.7050000000e+02,7.8678342018e-02,2.3089206023e+07,1.8718796176e+11,-9.7389074304e-09,-6.3782302865e-09,-1.5266878470e-04,-9.8928414930e-09,-6.4583109181e-09,-1.4904288043e-04,-9.9566656096e-11,-7.4841957491e-11,-7.3607865567e-07,1.5393406262e-10,8.0080631638e-11,-3.6259042671e-06,1.8874609630e+00,4.2259462676e-01,-2.2331468495e+05,1,3.0000000261e-03,1.0000000149e-01,1.0000000149e-01,3.0000000261e-03
1.0000000000e+17,-5.5001706720e-02,-1.3909635403e-02,4.6897974564e+02,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,8.9586611702e-02,9.9490354464e+17,8.9490354464e+17,4.0727403846e+00,4.7141699916e-01,1.2583498091e-28,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,1.8534655868e+15,3.7437592352e+11,-1.0345726191e+00,0.0000000000e+00,8.9305007906e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,4.4020585935e-13,1.0467325589e-03,5.5646266993e-42,1.1232572368e+06,0.0000000000e+00,1.2583498091e-28,4.7050000000e+02,1.5735668403e-01,2.0312419226e+07,3.7437592352e+11,-1.0148413393e-08,-6.7054910361e-09,-1.5269571799e-04,-1.0295286504e-08,-6.7798553993e-09,-1.4907034561e-04,-1.3066283783e-10,-9.6101213349e-11,-7.3862652922e-07,1.4687311071e-10,7.4364363220e-11,-3.6253723807e-06,1.4613761347e+00,2.9752865628e-01,-1.8436519978e+05,1,6.0000000522e-03,1.0000000149e-01,1.0000000149e-01,6.0000000522e-03
1.0000000000e+17,-5.1739900950e-02,-1.3357116963e-02,5.3605702828e+02,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,8.9687035049e-02,9.9235531736e+17,8.9235531736e+17,4.0727403846e+00,4.7131657582e-01,1.8875246159e-28,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,2.7801982364e+15,5.6156385623e+11,-1.0344721957e+00,0.0000000000e+00,8.8957511913e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,6.6029153398e-13,1.0502452040e-03,8.3469396170e-42,1.6848215662e+06,0.0000000000e+00,1.8875246159e-28,4.7050000000e+02,2.3603501384e-01,1.7535632859e+07,5.6156385623e+11,-1.0557909723e-08,-7.0327407897e-09,-1.5272265126e-04,-1.0697721674e-08,-7.1013886536e-09,-1.4909781077e-04,-1.6175899370e-10,-1.1736040346e-10,-7.4117440235e-07,1.3981195078e-10,6.8647863949e-11,-3.6248404945e-06,1.0352900994e+00,1.7246119333e-01,-1.4541572067e+05,1,8.9999996126e-03,1.0000000149e-01,1.0000000149e-01,8.9999996126e-03
1.0000000000e+17,-4.8212341074e-02,-1.2676165088e-02,6.7134666641e+02,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,8.9897514997e-02,9.8545365967e+17,8.8545365967e+17,4.0727403846e+00,4.7110609587e-01,1.9661933855e-28,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.0280886115e+15,7.5439748364e+11,-1.0342617158e+00,0.0000000000e+00,8.8242557106e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,8.8453692524e-13,1.0595402274e-03,8.6948148629e-42,2.2633235517e+06,0.0000000000e+00,1.9661933855e-28,4.7050000000e+02,2.5081270074e-01,1.4264643577e+07,7.5439748364e+11,-9.2687292985e-09,-5.8058252747e-09,-1.5279016702e-04,-9.4012050989e-09,-5.8679681286e-09,-1.4916672895e-04,-1.4192946708e-10,-8.8713824032e-11,-7.4779009095e-07,1.3247580040e-10,6.2142853855e-11,-3.6234380676e-06,6.3984006476e-01,6.9952334965e-02,-1.0533426581e+05,1,1.2000000104e-02,1.0000000149e-01,1.0000000149e-01,1.2000000104e-02
1.0000000000e+17,-4.4646820255e-02,-1.1976937338e-02,8.1638088830e+02,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.0123717257e-02,9.7793008519e+17,8.7793008519e+17,4.0727403846e+00,4.7087989361e-01,1.9662183286e-28,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.1790013312e+15,9.4803757114e+11,-1.0340355135e+00,0.0000000000e+00,8.7475108386e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,1.1093764829e-12,1.0696613025e-03,8.6949128255e-42,2.8442449992e+06,0.0000000000e+00,1.9662183286e-28,4.7050000000e+02,2.5646171006e-01,1.0923054968e+07,9.4803757114e+11,-7.7368829466e-09,-4.3568897108e-09,-1.5286348028e-04,-7.8619833271e-09,-4.4124149679e-09,-1.4924156901e-04,-1.1482485058e-10,-5.2937926184e-11,-7.5498689443e-07,1.2510038053e-10,5.5525257174e-11,-3.6219112776e-06,2.4876813852e-01,-2.9332015958e-02,-6.5091114193e+04,1,1.4999999665e-02,1.0000000149e-01,1.0000000149e-01,1.4999999665e-02
1.0000000000e+17,-4.1081433233e-02,-1.1277788445e-02,9.6141511025e+02,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.0349919517e-02,9.7040651070e+17,8.7040651070e+17,4.0727403846e+00,4.7065369135e-01,1.9662432713e-28,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.3299140543e+15,1.1416776588e+12,-1.0338093113e+00,0.0000000000e+00,8.6707659665e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,1.3342160404e-12,1.0797823776e-03,8.6950107865e-42,3.4251664471e+06,0.0000000000e+00,1.9662432713e-28,4.7050000000e+02,2.6211071938e-01,7.5814663597e+06,1.1416776588e+12,-6.2050473318e-09,-2.9079640897e-09,-1.5293679353e-04,-6.3227725226e-09,-2.9568719564e-09,-1.4931640904e-04,-8.7720288478e-11,-1.7162048455e-11,-7.6218369781e-07,1.1772519075e-10,4.8907866788e-11,-3.6203844880e-06,-1.4230370182e-01,-1.2861646097e-01,-2.4847962575e+04,1,1.7999999225e-02,1.0000000149e-01,1.0000000149e-01,1.7999999225e-02
1.0000000000e+17,-4.2287812836e-02,-1.1610231409e-02,1.1167548577e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.0685749058e-02,9.5941675826e+17,8.5941675826e+17,4.0727403846e+00,4.7031786181e-01,1.4943496837e-28,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.3978517059e+15,1.3455939813e+12,-1.0334734817e+00,0.0000000000e+00,8.5601890656e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,1.5656629775e-12,1.0950724475e-03,6.6082270680e-42,4.0369172153e+06,0.0000000000e+00,1.4943496837e-28,4.7050000000e+02,2.6594050507e-01,6.1357505131e+06,1.3455939813e+12,-6.6463206335e-09,-3.3543138860e-09,-1.5304485518e-04,-6.7625357638e-09,-3.3994011283e-09,-1.4942670074e-04,-9.6628625943e-11,-2.6526263654e-11,-7.7299151640e-07,1.1621513038e-10,4.5087242307e-11,-3.6181544437e-06,-2.1829878923e-01,-1.4948527752e-01,-1.3408281876e+04,1,2.0999999717e-02,1.0000000149e-01,1.0000000149e-01,2.0999999717e-02
1.0000000000e+17,-4.5085003605e-02,-1.2286734120e-02,1.2755297694e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.1058121045e-02,9.4727161261e+17,8.4727161261e+17,4.0727403846e+00,4.6994548982e-01,8.6514973532e-29,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.4381309622e+15,1.5529356997e+12,-1.0331011097e+00,0.0000000000e+00,8.4383348166e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,1.7993123530e-12,1.1120855163e-03,3.8258153094e-42,4.6589443766e+06,0.0000000000e+00,8.6514973532e-29,4.7050000000e+02,2.6916388161e-01,5.3219933318e+06,1.5529356997e+12,-7.7453237470e-09,-4.4324489924e-09,-1.5316449960e-04,-7.8619843892e-09,-4.4746483967e-09,-1.4954880962e-04,-1.1754142556e-10,-5.0937342021e-11,-7.8500300714e-07,1.1666064222e-10,4.2199404276e-11,-3.6156899817e-06,-1.8926836368e-01,-1.4421573465e-01,-1.1569773442e+04,1,2.4000000209e-02,1.0000000149e-01,1.0000000149e-01,2.4000000209e-02
1.0000000000e+17,-4.7882082462e-02,-1.2963148042e-02,1.4343046809e+03,0.0000000000e+00,1.1241592308e+00,0.0000000000e+00,9.1430493032e-02,9.3512646697e+17,8.3512646697e+17,4.0727403846e+00,4.6957311783e-01,2.3594979038e-29,1.0750038489e+10,3.0000000000e+02,0.0000000000e+00,3.4784102104e+15,1.7602774179e+12,-1.0327287377e+00,0.0000000000e+00,8.3164805676e+17,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,2.0329617290e-12,1.1290985854e-03,1.0434035668e-42,5.2809715369e+06,0.0000000000e+00,2.3594979038e-29,4.7050000000e+02,2.7238725815e-01,4.5082361506e+06,1.7602774179e+12,-8.8443150885e-09,-5.5105722512e-09,-1.5328414405e-04,-8.9614210194e-09,-5.5498835917e-09,-1.4967091853e-04,-1.3845416158e-10,-7.5348352968e-11,-7.9701449809e-07,1.1710593096e-10,3.9311340526e-11,-3.6132255191e-06,-1.6023781613e-01,-1.3894609129e-01,-9.7312650083e+03,1,2.7000000700e-02,1.0000000149e-01,1.0000000149e-01,2.7000000700e-02
