"Acceptor concentration [cm-3]","Jn [A cm-2]:0","Jn [A cm-2]:1","Jn [A cm-2]:2","ArsenicActiveConcentration","BoronActiveConcentration","Conduction band level [eV]","Donor concentration [cm-3]","Dopant concentration [cm-3]","DopingConcentration","Electron Mobility [cm2 s-1 V-1]","Electron density [cm-3]","Electron quasi fermi band level [eV]","Electron quasi fermi potential [V]","Electrostatic potential [V]","G Impact ionization [cm-3 s-1]","GR Auger [cm-3 s-1]","GR Srh [cm-3 s-1]","Hole Mobility [cm2 s-1 V-1]","Hole density [cm-3]","Hole quasi fermi band level [eV]","Hole quasi fermi potential [V]","Middle band level [eV]","PhosphorusActiveConcentration","Space Charge [cm-3]","Valence band level [eV]","Jp [A cm-2]:0","Jp [A cm-2]:1","Jp [A cm-2]:2","Electron Avalanche field [V cm-1]","Hole Avalanche field [V cm-1]","Electric field [V cm-1]:0","Electric field [V cm-1]:1","Electric field [V cm-1]:2","Electron velocity [cm s-1]:0","Electron velocity [cm s-1]:1","Electron velocity [cm s-1]:2","Grad Electron quasi fermi potential [V cm]:0","Grad Electron quasi fermi potential [V cm]:1","Grad Electron quasi fermi potential [V cm]:2","Grad Hole quasi fermi potential [V cm]:0","Grad Hole quasi fermi potential [V cm]:1","Grad Hole quasi fermi potential [V cm]:2","Hole velocity [cm s-1]:0","Hole velocity [cm s-1]:1","Hole velocity [cm s-1]:2","Jn element [A cm-2]:0","Jn element [A cm-2]:1","Jn element [A cm-2]:2","Jp element [A cm-2]:0","Jp element [A cm-2]:1","Jp element [A cm-2]:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,-9.0178800351e-09,-7.5149084203e-09,-1.3144681765e-04,1.0000000000e+18,1.0000000000e+17,1.3479671907e-01,1.0000000000e+18,9.0000000000e+17,9.0000000000e+17,1.4169997992e+03,9.0000000000e+17,4.4150000000e-02,0.0000000000e+00,4.7165328093e-01,0.0000000000e+00,5.0424067849e-09,-5.0424067849e-09,4.7049997786e+02,1.2840277778e+02,4.4150000000e-02,0.0000000000e+00,-4.2750328093e-01,0.0000000000e+00,0.0000000000e+00,-9.8980328093e-01,1.0174688624e-13,9.4530139759e-15,-2.4117589036e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0000000000e+00,1.0000000149e-01,1.0000000149e-01,0.0000000000e+00
1.0000000000e+17,-8.4992700819e-09,-9.6227237619e-09,-1.3145738573e-04,9.9745177232e+17,1.0000000000e+17,1.3489713943e-01,9.9745177232e+17,8.9745177232e+17,8.9745177232e+17,1.4169997992e+03,8.9652540147e+17,4.4150000000e-02,1.9422685853e-13,4.7155286057e-01,0.0000000000e+00,-1.2728560057e+11,-1.8506226259e+11,4.7049997786e+02,5.5531572141e+05,4.4150000000e-02,7.8589826554e-02,-4.2740286057e-01,0.0000000000e+00,0.0000000000e+00,-9.8970286057e-01,1.7901151436e-11,1.0988617283e-11,-5.7093860136e-07,0.0000000000e+00,0.0000000000e+00,-9.6174229344e-02,1.4989159413e-01,3.3473454206e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.3322676296e-10,0.0000000000e+00,6.4742285607e-07,-3.3155533708e+00,3.9507696479e+00,2.6196608624e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.7053615273e-08,-0.0000000000e+00,-1.3146854640e-04,3.0524291216e-13,-3.6372342645e-13,-2.4117630485e-08,1,3.0000000261e-03,1.0000000149e-01,1.0000000149e-01,3.0000000261e-03
1.0000000000e+17,-7.9806632276e-09,-1.1730545746e-08,-1.3146795380e-04,9.9490354464e+17,1.0000000000e+17,1.3499755979e-01,9.9490354464e+17,8.9490354464e+17,8.9490354464e+17,1.4169997992e+03,8.9305080294e+17,4.4150000000e-02,3.8845371702e-13,4.7145244021e-01,0.0000000000e+00,-2.5457120114e+11,-3.7012452517e+11,4.7049997786e+02,1.1105030400e+06,4.4150000000e-02,1.5717965311e-01,-4.2730244021e-01,0.0000000000e+00,0.0000000000e+00,-9.8960244021e-01,3.5700713205e-11,2.1967966494e-11,-1.1177596137e-06,0.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,3.3473454206e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.4742285607e-07,0.0000000000e+00,0.0000000000e+00,2.6196608624e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,-1.3146933002e-04,-0.0000000000e+00,-0.0000000000e+00,-2.4116710185e-08,1,6.0000000522e-03,1.0000000149e-01,1.0000000149e-01,6.0000000522e-03
1.0000000000e+17,-7.4620552627e-09,-1.3838364351e-08,-1.3147852187e-04,9.9235531736e+17,1.0000000000e+17,1.3509798014e-01,9.9235531736e+17,8.9235531736e+17,8.9235531736e+17,1.4169997992e+03,8.8957620494e+17,4.4149999999e-02,5.8268054538e-13,4.7135201986e-01,0.0000000000e+00,-3.8185678195e+11,-5.5518675903e+11,4.7049997786e+02,1.6656902725e+06,4.4149999999e-02,2.3576946746e-01,-4.2720201986e-01,0.0000000000e+00,0.0000000000e+00,-9.8950201986e-01,5.3500193602e-11,3.2947221530e-11,-1.6645805412e-06,0.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,3.3473454206e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.4742285607e-07,0.0000000000e+00,0.0000000000e+00,2.6196608624e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,-1.3146933002e-04,-0.0000000000e+00,-0.0000000000e+00,-2.4116710185e-08,1,8.9999996126e-03,1.0000000149e-01,1.0000000149e-01,8.9999996126e-03
1.0000000000e+17,-4.4494169799e-09,-1.4386513658e-08,-1.3150686587e-04,9.8545365967e+17,1.0000000000e+17,1.3530845458e-01,9.8545365967e+17,8.8545365967e+17,8.8545365967e+17,1.4169997992e+03,8.8242736170e+17,4.4149999999e-02,7.8035800732e-13,4.7114154542e-01,0.0000000000e+00,-5.0097161321e+11,-7.4590391313e+11,4.7049997786e+02,2.2378428376e+06,4.4149999999e-02,2.5053808853e-01,-4.2699154542e-01,0.0000000000e+00,0.0000000000e+00,-9.8929154542e-01,1.8747635202e-11,4.9437687411e-11,-2.2238022040e-06,0.0000000000e+00,0.0000000000e+00,1.0060083924e-01,-1.6940853978e-01,7.5398809003e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.3322676296e-10,8.8817841974e-11,6.6056789668e-07,4.6364459215e+00,-4.8213431824e+00,1.8837647585e+04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6524326501e-08,-1.7682884335e-08,-1.3151350509e-04,-8.4703260925e-10,8.8081150197e-10,-3.4414510718e-06,1,1.2000000104e-02,1.0000000149e-01,1.0000000149e-01,1.2000000104e-02
1.0000000000e+17,-1.0804912908e-09,-1.4711855443e-08,-1.3153774931e-04,9.7793008519e+17,1.0000000000e+17,1.3553465098e-01,9.7793008519e+17,8.7793008519e+17,8.7793008519e+17,1.4169997992e+03,8.7475362829e+17,4.4149999999e-02,9.7852834736e-13,4.7091534902e-01,0.0000000000e+00,-6.1891915108e+11,-9.3742884607e+11,4.7049997786e+02,2.8124188210e+06,4.4149999999e-02,2.5618938198e-01,-4.2676534902e-01,0.0000000000e+00,0.0000000000e+00,-9.8906534902e-01,-2.3512402341e-11,6.6715426930e-11,-2.7847952036e-06,0.0000000000e+00,0.0000000000e+00,-1.5904387843e-01,-1.6591310705e-01,7.5398809003e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.3322676296e-10,2.6645352591e-10,6.6056789668e-07,-3.1403071573e+00,-4.2994120302e+00,1.8837647585e+04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.6524219632e-08,-5.3048439264e-08,-1.3151297521e-04,5.7375757917e-10,7.8553469923e-10,-3.4417789515e-06,1,1.4999999665e-02,1.0000000149e-01,1.0000000149e-01,1.4999999665e-02
1.0000000000e+17,2.2884304965e-09,-1.5037199853e-08,-1.3156863274e-04,9.7040651070e+17,1.0000000000e+17,1.3576084737e-01,9.7040651070e+17,8.7040651070e+17,8.7040651070e+17,1.4169997992e+03,8.6707989488e+17,4.4149999999e-02,1.1766986873e-12,4.7068915263e-01,0.0000000000e+00,-7.3686668898e+11,-1.1289537791e+12,4.7049997786e+02,3.3869948045e+06,4.4149999999e-02,2.6184067543e-01,-4.2653915263e-01,0.0000000000e+00,0.0000000000e+00,-9.8883915263e-01,-6.5772298555e-11,8.3993307314e-11,-3.3457882034e-06,0.0000000000e+00,0.0000000000e+00,-1.5904387843e-01,-1.6591310705e-01,7.5398809003e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.3322676296e-10,2.6645352591e-10,6.6056789668e-07,-3.1403071573e+00,-4.2994120302e+00,1.8837647585e+04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.6524219632e-08,-5.3048439264e-08,-1.3151297521e-04,5.7375757917e-10,7.8553469923e-10,-3.4417789515e-06,1,1.7999999225e-02,1.0000000149e-01,1.0000000149e-01,1.7999999225e-02
1.0000000000e+17,3.1785399192e-09,-1.6098494680e-08,-1.3161570005e-04,9.5941675826e+17,1.0000000000e+17,1.3609667861e-01,9.5941675826e+17,8.5941675826e+17,8.5941675826e+17,1.4169997992e+03,8.5602292455e+17,4.4149999999e-02,1.3805445482e-12,4.7035332139e-01,0.0000000000e+00,-8.4212836726e+11,-1.3307623209e+12,4.7049997786e+02,3.9924222302e+06,4.4149999999e-02,2.6567340198e-01,-4.2620332139e-01,0.0000000000e+00,0.0000000000e+00,-9.8850332139e-01,-9.2521875132e-11,9.4194500748e-11,-3.4989678449e-06,0.0000000000e+00,0.0000000000e+00,-2.1631624002e-01,-2.1514816144e-01,1.2412538385e+03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6645352591e-10,3.9968028887e-10,6.8579216380e-07,-3.1142006219e+00,-4.2286087915e+00,1.0755119254e+04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.1160911886e-08,-7.6741367829e-08,-1.3167681810e-04,1.0221312688e-09,1.3878981459e-09,-3.5300049752e-06,1,2.0999999717e-02,1.0000000149e-01,1.0000000149e-01,2.0999999717e-02
1.0000000000e+17,3.2423657350e-09,-1.7405116082e-08,-1.3166816198e-04,9.4727161261e+17,1.0000000000e+17,1.3646905483e-01,9.4727161261e+17,8.4727161261e+17,8.4727161261e+17,1.4169997992e+03,8.4383820805e+17,4.4149999998e-02,1.5862822309e-12,4.6998094517e-01,0.0000000000e+00,-9.4316140865e+11,-1.5359987167e+12,4.7049997786e+02,4.6081334230e+06,4.4149999998e-02,2.6889993829e-01,-4.2583094517e-01,0.0000000000e+00,0.0000000000e+00,-9.8813094517e-01,-1.1410104592e-10,1.0203710307e-10,-3.5162094852e-06,0.0000000000e+00,0.0000000000e+00,1.5181343135e-01,1.6157601094e-01,1.2412538385e+03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.2204460492e-10,-1.3322676294e-10,6.8579216380e-07,4.4035681410e+00,3.5667100232e+00,1.0755119254e+04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.2634317856e-08,2.5580590712e-08,-1.3167751184e-04,-1.4451786167e-09,-1.1705355504e-09,-3.5296531968e-06,1,2.4000000209e-02,1.0000000149e-01,1.0000000149e-01,2.4000000209e-02
1.0000000000e+17,3.3061967840e-09,-1.8711734136e-08,-1.3172062392e-04,9.3512646697e+17,1.0000000000e+17,1.3684143104e-01,9.3512646697e+17,8.3512646697e+17,8.3512646697e+17,1.4169997992e+03,8.3165349156e+17,4.4149999998e-02,1.7920199138e-12,4.6960856896e-01,0.0000000000e+00,-1.0441944500e+12,-1.7412351124e+12,4.7049997786e+02,5.2238446154e+06,4.4149999998e-02,2.7212647460e-01,-4.2545856896e-01,0.0000000000e+00,0.0000000000e+00,-9.8775856896e-01,-1.3568034003e-10,1.0987957335e-10,-3.5334511251e-06,0.0000000000e+00,0.0000000000e+00,1.5181343135e-01,1.6157601094e-01,1.2412538385e+03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.2204460492e-10,-1.3322676294e-10,6.8579216380e-07,4.4035681410e+00,3.5667100232e+00,1.0755119254e+04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.2634317856e-08,2.5580590712e-08,-1.3167751184e-04,-1.4451786167e-09,-1.1705355504e-09,-3.5296531968e-06,1,2.7000000700e-02,1.0000000149e-01,1.0000000149e-01,2.7000000700e-02
