#Acceptor concentration [cm-3]	Jn [A cm-2]:0	Jn [A cm-2]:1	Jn [A cm-2]:2	ArsenicActiveConcentration	BoronActiveConcentration	Conduction band level [eV]	Donor concentration [cm-3]	Dopant concentration [cm-3]	DopingConcentration	Electron Mobility [cm2 s-1 V-1]	Electron density [cm-3]	Electron quasi fermi band level [eV]	Electron quasi fermi potential [V]	Electrostatic potential [V]	G Impact ionization [cm-3 s-1]	GR Auger [cm-3 s-1]	GR Srh [cm-3 s-1]	Hole Mobility [cm2 s-1 V-1]	Hole density [cm-3]	Hole quasi fermi band level [eV]	Hole quasi fermi potential [V]	Middle band level [eV]	PhosphorusActiveConcentration	Space Charge [cm-3]	Valence band level [eV]	Jp [A cm-2]:0	Jp [A cm-2]:1	Jp [A cm-2]:2	Electron Avalanche field [V cm-1]	Hole Avalanche field [V cm-1]	Electric field [V cm-1]:0	Electric field [V cm-1]:1	Electric field [V cm-1]:2	Electron velocity [cm s-1]:0	Electron velocity [cm s-1]:1	Electron velocity [cm s-1]:2	Grad Electron quasi fermi potential [V cm]:0	Grad Electron quasi fermi potential [V cm]:1	Grad Electron quasi fermi potential [V cm]:2	Grad Hole quasi fermi potential [V cm]:0	Grad Hole quasi fermi potential [V cm]:1	Grad Hole quasi fermi potential [V cm]:2	Hole velocity [cm s-1]:0	Hole velocity [cm s-1]:1	Hole velocity [cm s-1]:2	Jn element [A cm-2]:0	Jn element [A cm-2]:1	Jn element [A cm-2]:2	Jp element [A cm-2]:0	Jp element [A cm-2]:1	Jp element [A cm-2]:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.00E+017	-9.02E-009	-7.51E-009	-1.31E-004	1.00E+018	1.00E+017	1.35E-001	1.00E+018	9.00E+017	9.00E+017	1.42E+003	9.00E+017	4.42E-002	0.00E+000	4.72E-001	0.00E+000	5.04E-009	-5.04E-009	4.70E+002	1.28E+002	4.42E-002	0.00E+000	-4.28E-001	0.00E+000	0.00E+000	-9.90E-001	1.02E-013	9.45E-015	-2.41E-008	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0.00E+000	1.00E-001	1.00E-001	0.00E+000
1.00E+017	-8.50E-009	-9.62E-009	-1.31E-004	9.97E+017	1.00E+017	1.35E-001	9.97E+017	8.97E+017	8.97E+017	1.42E+003	8.97E+017	4.42E-002	1.94E-013	4.72E-001	0.00E+000	-1.27E+011	-1.85E+011	4.70E+002	5.55E+005	4.42E-002	7.86E-002	-4.27E-001	0.00E+000	0.00E+000	-9.90E-001	1.79E-011	1.10E-011	-5.71E-007	0.00E+000	0.00E+000	-9.62E-002	1.50E-001	3.35E+002	0.00E+000	0.00E+000	0.00E+000	1.33E-010	0.00E+000	6.47E-007	-3.32E+000	3.95E+000	2.62E+005	0.00E+000	0.00E+000	0.00E+000	-2.71E-008	-0.00E+000	-1.31E-004	3.05E-013	-3.64E-013	-2.41E-008	1	3.00E-003	1.00E-001	1.00E-001	3.00E-003
1.00E+017	-7.98E-009	-1.17E-008	-1.31E-004	9.95E+017	1.00E+017	1.35E-001	9.95E+017	8.95E+017	8.95E+017	1.42E+003	8.93E+017	4.42E-002	3.88E-013	4.71E-001	0.00E+000	-2.55E+011	-3.70E+011	4.70E+002	1.11E+006	4.42E-002	1.57E-001	-4.27E-001	0.00E+000	0.00E+000	-9.90E-001	3.57E-011	2.20E-011	-1.12E-006	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	3.35E+002	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	6.47E-007	0.00E+000	0.00E+000	2.62E+005	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-1.31E-004	-0.00E+000	-0.00E+000	-2.41E-008	1	6.00E-003	1.00E-001	1.00E-001	6.00E-003
1.00E+017	-7.46E-009	-1.38E-008	-1.31E-004	9.92E+017	1.00E+017	1.35E-001	9.92E+017	8.92E+017	8.92E+017	1.42E+003	8.90E+017	4.41E-002	5.83E-013	4.71E-001	0.00E+000	-3.82E+011	-5.55E+011	4.70E+002	1.67E+006	4.41E-002	2.36E-001	-4.27E-001	0.00E+000	0.00E+000	-9.90E-001	5.35E-011	3.29E-011	-1.66E-006	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	3.35E+002	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	6.47E-007	0.00E+000	0.00E+000	2.62E+005	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-1.31E-004	-0.00E+000	-0.00E+000	-2.41E-008	1	9.00E-003	1.00E-001	1.00E-001	9.00E-003
1.00E+017	-4.45E-009	-1.44E-008	-1.32E-004	9.85E+017	1.00E+017	1.35E-001	9.85E+017	8.85E+017	8.85E+017	1.42E+003	8.82E+017	4.41E-002	7.80E-013	4.71E-001	0.00E+000	-5.01E+011	-7.46E+011	4.70E+002	2.24E+006	4.41E-002	2.51E-001	-4.27E-001	0.00E+000	0.00E+000	-9.89E-001	1.87E-011	4.94E-011	-2.22E-006	0.00E+000	0.00E+000	1.01E-001	-1.69E-001	7.54E+002	0.00E+000	0.00E+000	0.00E+000	-1.33E-010	8.88E-011	6.61E-007	4.64E+000	-4.82E+000	1.88E+004	0.00E+000	0.00E+000	0.00E+000	2.65E-008	-1.77E-008	-1.32E-004	-8.47E-010	8.81E-010	-3.44E-006	1	1.20E-002	1.00E-001	1.00E-001	1.20E-002
1.00E+017	-1.08E-009	-1.47E-008	-1.32E-004	9.78E+017	1.00E+017	1.36E-001	9.78E+017	8.78E+017	8.78E+017	1.42E+003	8.75E+017	4.41E-002	9.79E-013	4.71E-001	0.00E+000	-6.19E+011	-9.37E+011	4.70E+002	2.81E+006	4.41E-002	2.56E-001	-4.27E-001	0.00E+000	0.00E+000	-9.89E-001	-2.35E-011	6.67E-011	-2.78E-006	0.00E+000	0.00E+000	-1.59E-001	-1.66E-001	7.54E+002	0.00E+000	0.00E+000	0.00E+000	1.33E-010	2.66E-010	6.61E-007	-3.14E+000	-4.30E+000	1.88E+004	0.00E+000	0.00E+000	0.00E+000	-2.65E-008	-5.30E-008	-1.32E-004	5.74E-010	7.86E-010	-3.44E-006	1	1.50E-002	1.00E-001	1.00E-001	1.50E-002
1.00E+017	2.29E-009	-1.50E-008	-1.32E-004	9.70E+017	1.00E+017	1.36E-001	9.70E+017	8.70E+017	8.70E+017	1.42E+003	8.67E+017	4.41E-002	1.18E-012	4.71E-001	0.00E+000	-7.37E+011	-1.13E+012	4.70E+002	3.39E+006	4.41E-002	2.62E-001	-4.27E-001	0.00E+000	0.00E+000	-9.89E-001	-6.58E-011	8.40E-011	-3.35E-006	0.00E+000	0.00E+000	-1.59E-001	-1.66E-001	7.54E+002	0.00E+000	0.00E+000	0.00E+000	1.33E-010	2.66E-010	6.61E-007	-3.14E+000	-4.30E+000	1.88E+004	0.00E+000	0.00E+000	0.00E+000	-2.65E-008	-5.30E-008	-1.32E-004	5.74E-010	7.86E-010	-3.44E-006	1	1.80E-002	1.00E-001	1.00E-001	1.80E-002
1.00E+017	3.18E-009	-1.61E-008	-1.32E-004	9.59E+017	1.00E+017	1.36E-001	9.59E+017	8.59E+017	8.59E+017	1.42E+003	8.56E+017	4.41E-002	1.38E-012	4.70E-001	0.00E+000	-8.42E+011	-1.33E+012	4.70E+002	3.99E+006	4.41E-002	2.66E-001	-4.26E-001	0.00E+000	0.00E+000	-9.89E-001	-9.25E-011	9.42E-011	-3.50E-006	0.00E+000	0.00E+000	-2.16E-001	-2.15E-001	1.24E+003	0.00E+000	0.00E+000	0.00E+000	2.66E-010	4.00E-010	6.86E-007	-3.11E+000	-4.23E+000	1.08E+004	0.00E+000	0.00E+000	0.00E+000	-5.12E-008	-7.67E-008	-1.32E-004	1.02E-009	1.39E-009	-3.53E-006	1	2.10E-002	1.00E-001	1.00E-001	2.10E-002
1.00E+017	3.24E-009	-1.74E-008	-1.32E-004	9.47E+017	1.00E+017	1.36E-001	9.47E+017	8.47E+017	8.47E+017	1.42E+003	8.44E+017	4.41E-002	1.59E-012	4.70E-001	0.00E+000	-9.43E+011	-1.54E+012	4.70E+002	4.61E+006	4.41E-002	2.69E-001	-4.26E-001	0.00E+000	0.00E+000	-9.88E-001	-1.14E-010	1.02E-010	-3.52E-006	0.00E+000	0.00E+000	1.52E-001	1.62E-001	1.24E+003	0.00E+000	0.00E+000	0.00E+000	-2.22E-010	-1.33E-010	6.86E-007	4.40E+000	3.57E+000	1.08E+004	0.00E+000	0.00E+000	0.00E+000	4.26E-008	2.56E-008	-1.32E-004	-1.45E-009	-1.17E-009	-3.53E-006	1	2.40E-002	1.00E-001	1.00E-001	2.40E-002
1.00E+017	3.31E-009	-1.87E-008	-1.32E-004	9.35E+017	1.00E+017	1.37E-001	9.35E+017	8.35E+017	8.35E+017	1.42E+003	8.32E+017	4.41E-002	1.79E-012	4.70E-001	0.00E+000	-1.04E+012	-1.74E+012	4.70E+002	5.22E+006	4.41E-002	2.72E-001	-4.25E-001	0.00E+000	0.00E+000	-9.88E-001	-1.36E-010	1.10E-010	-3.53E-006	0.00E+000	0.00E+000	1.52E-001	1.62E-001	1.24E+003	0.00E+000	0.00E+000	0.00E+000	-2.22E-010	-1.33E-010	6.86E-007	4.40E+000	3.57E+000	1.08E+004	0.00E+000	0.00E+000	0.00E+000	4.26E-008	2.56E-008	-1.32E-004	-1.45E-009	-1.17E-009	-3.53E-006	1	2.70E-002	1.00E-001	1.00E-001	2.70E-002
