#AcceptorConcentration	ElectricField:0	ElectricField:1	ElectricField:2	AugerRecombination	BandGap	BandgapNarrowing	ConductionBandEnergy	DonorConcentration	DopingConcentration	ElectronAffinity	ElectrostaticPotential	ImpactIonization	IntrinsicDensity	LatticeTemperature	QuasiFermiPotential	SpaceCharge	TotalRecombination	ValenceBandEnergy	eAlphaAvalanche	eDensity	eEparallel	eImpactIonization	eMobility	eQuasiFermiPotential	eVelocity	hAlphaAvalanche	hDensity	hEparallel	hImpactIonization	hMobility	hQuasiFermiPotential	hVelocity	srhRecombination	TotalCurrentDensity:0	TotalCurrentDensity:1	TotalCurrentDensity:2	eCurrentDensity:0	eCurrentDensity:1	eCurrentDensity:2	eGradQuasiFermi:0	eGradQuasiFermi:1	eGradQuasiFermi:2	hCurrentDensity:0	hCurrentDensity:1	hCurrentDensity:2	hGradQuasiFermi:0	hGradQuasiFermi:1	hGradQuasiFermi:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.00E+017	-6.15E-002	-1.50E-002	3.35E+002	0.00E+000	1.12E+000	0.00E+000	8.94E-002	1.00E+018	9.00E+017	4.07E+000	4.72E-001	0.00E+000	1.08E+010	3.00E+002	0.00E+000	-7.16E+003	9.04E-009	-1.03E+000	0.00E+000	9.00E+017	0.00E+000	0.00E+000	1.42E+003	3.44E-017	1.04E-003	0.00E+000	1.28E+002	0.00E+000	0.00E+000	4.71E+002	0.00E+000	2.59E+007	9.04E-009	-9.33E-009	-6.05E-009	-1.53E-004	-9.49E-009	-6.14E-009	-1.49E-004	-6.85E-011	-5.36E-011	-7.34E-007	1.61E-010	8.58E-011	-3.63E-006	2.31E+000	5.48E-001	-2.62E+005	1	0.00E+000	1.00E-001	1.00E-001	0.00E+000
1.00E+017	-5.83E-002	-1.45E-002	4.02E+002	0.00E+000	1.12E+000	0.00E+000	8.95E-002	9.97E+017	8.97E+017	4.07E+000	4.72E-001	6.29E-029	1.08E+010	3.00E+002	0.00E+000	9.27E+014	1.87E+011	-1.03E+000	0.00E+000	8.97E+017	0.00E+000	0.00E+000	1.42E+003	2.20E-013	1.04E-003	2.78E-042	5.62E+005	0.00E+000	6.29E-029	4.71E+002	7.87E-002	2.31E+007	1.87E+011	-9.74E-009	-6.38E-009	-1.53E-004	-9.89E-009	-6.46E-009	-1.49E-004	-9.96E-011	-7.48E-011	-7.36E-007	1.54E-010	8.01E-011	-3.63E-006	1.89E+000	4.23E-001	-2.23E+005	1	3.00E-003	1.00E-001	1.00E-001	3.00E-003
1.00E+017	-5.50E-002	-1.39E-002	4.69E+002	0.00E+000	1.12E+000	0.00E+000	8.96E-002	9.95E+017	8.95E+017	4.07E+000	4.71E-001	1.26E-028	1.08E+010	3.00E+002	0.00E+000	1.85E+015	3.74E+011	-1.03E+000	0.00E+000	8.93E+017	0.00E+000	0.00E+000	1.42E+003	4.40E-013	1.05E-003	5.56E-042	1.12E+006	0.00E+000	1.26E-028	4.71E+002	1.57E-001	2.03E+007	3.74E+011	-1.01E-008	-6.71E-009	-1.53E-004	-1.03E-008	-6.78E-009	-1.49E-004	-1.31E-010	-9.61E-011	-7.39E-007	1.47E-010	7.44E-011	-3.63E-006	1.46E+000	2.98E-001	-1.84E+005	1	6.00E-003	1.00E-001	1.00E-001	6.00E-003
1.00E+017	-5.17E-002	-1.34E-002	5.36E+002	0.00E+000	1.12E+000	0.00E+000	8.97E-002	9.92E+017	8.92E+017	4.07E+000	4.71E-001	1.89E-028	1.08E+010	3.00E+002	0.00E+000	2.78E+015	5.62E+011	-1.03E+000	0.00E+000	8.90E+017	0.00E+000	0.00E+000	1.42E+003	6.60E-013	1.05E-003	8.35E-042	1.68E+006	0.00E+000	1.89E-028	4.71E+002	2.36E-001	1.75E+007	5.62E+011	-1.06E-008	-7.03E-009	-1.53E-004	-1.07E-008	-7.10E-009	-1.49E-004	-1.62E-010	-1.17E-010	-7.41E-007	1.40E-010	6.86E-011	-3.62E-006	1.04E+000	1.72E-001	-1.45E+005	1	9.00E-003	1.00E-001	1.00E-001	9.00E-003
1.00E+017	-4.82E-002	-1.27E-002	6.71E+002	0.00E+000	1.12E+000	0.00E+000	8.99E-002	9.85E+017	8.85E+017	4.07E+000	4.71E-001	1.97E-028	1.08E+010	3.00E+002	0.00E+000	3.03E+015	7.54E+011	-1.03E+000	0.00E+000	8.82E+017	0.00E+000	0.00E+000	1.42E+003	8.85E-013	1.06E-003	8.69E-042	2.26E+006	0.00E+000	1.97E-028	4.71E+002	2.51E-001	1.43E+007	7.54E+011	-9.27E-009	-5.81E-009	-1.53E-004	-9.40E-009	-5.87E-009	-1.49E-004	-1.42E-010	-8.87E-011	-7.48E-007	1.32E-010	6.21E-011	-3.62E-006	6.40E-001	7.00E-002	-1.05E+005	1	1.20E-002	1.00E-001	1.00E-001	1.20E-002
1.00E+017	-4.46E-002	-1.20E-002	8.16E+002	0.00E+000	1.12E+000	0.00E+000	9.01E-002	9.78E+017	8.78E+017	4.07E+000	4.71E-001	1.97E-028	1.08E+010	3.00E+002	0.00E+000	3.18E+015	9.48E+011	-1.03E+000	0.00E+000	8.75E+017	0.00E+000	0.00E+000	1.42E+003	1.11E-012	1.07E-003	8.69E-042	2.84E+006	0.00E+000	1.97E-028	4.71E+002	2.56E-001	1.09E+007	9.48E+011	-7.74E-009	-4.36E-009	-1.53E-004	-7.86E-009	-4.41E-009	-1.49E-004	-1.15E-010	-5.29E-011	-7.55E-007	1.25E-010	5.55E-011	-3.62E-006	2.49E-001	-2.93E-002	-6.51E+004	1	1.50E-002	1.00E-001	1.00E-001	1.50E-002
1.00E+017	-4.11E-002	-1.13E-002	9.61E+002	0.00E+000	1.12E+000	0.00E+000	9.03E-002	9.70E+017	8.70E+017	4.07E+000	4.71E-001	1.97E-028	1.08E+010	3.00E+002	0.00E+000	3.33E+015	1.14E+012	-1.03E+000	0.00E+000	8.67E+017	0.00E+000	0.00E+000	1.42E+003	1.33E-012	1.08E-003	8.70E-042	3.43E+006	0.00E+000	1.97E-028	4.71E+002	2.62E-001	7.58E+006	1.14E+012	-6.21E-009	-2.91E-009	-1.53E-004	-6.32E-009	-2.96E-009	-1.49E-004	-8.77E-011	-1.72E-011	-7.62E-007	1.18E-010	4.89E-011	-3.62E-006	-1.42E-001	-1.29E-001	-2.48E+004	1	1.80E-002	1.00E-001	1.00E-001	1.80E-002
#1.00E+017	-4.23E-002	-1.16E-002	1.12E+003	0.00E+000	1.12E+000	0.00E+000	9.07E-002	9.59E+017	8.59E+017	4.07E+000	4.70E-001	1.49E-028	1.08E+010	3.00E+002	0.00E+000	3.40E+015	1.35E+012	-1.03E+000	0.00E+000	8.56E+017	0.00E+000	0.00E+000	1.42E+003	1.57E-012	1.10E-003	6.61E-042	4.04E+006	0.00E+000	1.49E-028	4.71E+002	2.66E-001	6.14E+006	1.35E+012	-6.65E-009	-3.35E-009	-1.53E-004	-6.76E-009	-3.40E-009	-1.49E-004	-9.66E-011	-2.65E-011	-7.73E-007	1.16E-010	4.51E-011	-3.62E-006	-2.18E-001	-1.49E-001	-1.34E+004	1	2.10E-002	1.00E-001	1.00E-001	2.10E-002
#1.00E+017	-4.51E-002	-1.23E-002	1.28E+003	0.00E+000	1.12E+000	0.00E+000	9.11E-002	9.47E+017	8.47E+017	4.07E+000	4.70E-001	8.65E-029	1.08E+010	3.00E+002	0.00E+000	3.44E+015	1.55E+012	-1.03E+000	0.00E+000	8.44E+017	0.00E+000	0.00E+000	1.42E+003	1.80E-012	1.11E-003	3.83E-042	4.66E+006	0.00E+000	8.65E-029	4.71E+002	2.69E-001	5.32E+006	1.55E+012	-7.75E-009	-4.43E-009	-1.53E-004	-7.86E-009	-4.47E-009	-1.50E-004	-1.18E-010	-5.09E-011	-7.85E-007	1.17E-010	4.22E-011	-3.62E-006	-1.89E-001	-1.44E-001	-1.16E+004	1	2.40E-002	1.00E-001	1.00E-001	2.40E-002
1.00E+017	-4.79E-002	-1.30E-002	1.43E+003	0.00E+000	1.12E+000	0.00E+000	9.14E-002	9.35E+017	8.35E+017	4.07E+000	4.70E-001	2.36E-029	1.08E+010	3.00E+002	0.00E+000	3.48E+015	1.76E+012	-1.03E+000	0.00E+000	8.32E+017	0.00E+000	0.00E+000	1.42E+003	2.03E-012	1.13E-003	1.04E-042	5.28E+006	0.00E+000	2.36E-029	4.71E+002	2.72E-001	4.51E+006	1.76E+012	-8.84E-009	-5.51E-009	-1.53E-004	-8.96E-009	-5.55E-009	-1.50E-004	-1.38E-010	-7.53E-011	-7.97E-007	1.17E-010	3.93E-011	-3.61E-006	-1.60E-001	-1.39E-001	-9.73E+003	1	2.70E-002	1.00E-001	1.00E-001	2.70E-002
