"Acceptor concentration [cm-3]","Jn [A cm-2]:0","Jn [A cm-2]:1","Jn [A cm-2]:2","ArsenicActiveConcentration","BoronActiveConcentration","Conduction band level [eV]","Donor concentration [cm-3]","Dopant concentration [cm-3]","DopingConcentration","Electron Mobility [cm2 s-1 V-1]","Electron density [cm-3]","Electron quasi fermi band level [eV]","Electron quasi fermi potential [V]","Electrostatic potential [V]","G Impact ionization [cm-3 s-1]","GR Auger [cm-3 s-1]","GR Srh [cm-3 s-1]","Hole Mobility [cm2 s-1 V-1]","Hole density [cm-3]","Hole quasi fermi band level [eV]","Hole quasi fermi potential [V]","Middle band level [eV]","PhosphorusActiveConcentration","Space Charge [cm-3]","Valence band level [eV]","Jp [A cm-2]:0","Jp [A cm-2]:1","Jp [A cm-2]:2","Electron Avalanche field [V cm-1]","Hole Avalanche field [V cm-1]","Electric field [V cm-1]:0","Electric field [V cm-1]:1","Electric field [V cm-1]:2","Electron velocity [cm s-1]:0","Electron velocity [cm s-1]:1","Electron velocity [cm s-1]:2","Grad Electron quasi fermi potential [V cm]:0","Grad Electron quasi fermi potential [V cm]:1","Grad Electron quasi fermi potential [V cm]:2","Grad Hole quasi fermi potential [V cm]:0","Grad Hole quasi fermi potential [V cm]:1","Grad Hole quasi fermi potential [V cm]:2","Hole velocity [cm s-1]:0","Hole velocity [cm s-1]:1","Hole velocity [cm s-1]:2","Jn element [A cm-2]:0","Jn element [A cm-2]:1","Jn element [A cm-2]:2","Jp element [A cm-2]:0","Jp element [A cm-2]:1","Jp element [A cm-2]:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,-9.8604831832e-01,4.7126201038e-01,-4.0116680882e+05,1.0000000000e+18,1.0000000000e+17,1.3479671907e-01,1.0000000000e+18,9.0000000000e+17,9.0000000000e+17,1.4169997992e+03,9.0000000000e+17,4.4150000000e-02,0.0000000000e+00,4.7165328093e-01,0.0000000000e+00,5.0424067849e-09,5.0424067849e-09,4.7049997786e+02,1.2840277778e+02,4.4150000000e-02,0.0000000000e+00,-4.2750328093e-01,0.0000000000e+00,0.0000000000e+00,-9.8980328093e-01,2.6800593834e-14,-1.1905587935e-14,-2.9507147174e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0000000000e+00,1.0000000149e-01,1.0000000149e-01,0.0000000000e+00
1.0000000000e+17,-1.1464919594e+00,7.2533561315e-01,-4.0116175004e+05,9.9745177232e+17,1.0000000000e+17,1.3401106143e-01,9.9745177232e+17,8.9745177232e+17,8.9745177232e+17,1.4169997992e+03,9.0718165504e+17,4.3568116574e-02,5.8188342581e-04,4.7243893857e-01,0.0000000000e+00,2.6986366852e+21,3.2076820857e+21,4.7049997786e+02,1.0796254923e+16,-2.3132635496e-01,2.7547635496e-01,-4.2828893857e-01,0.0000000000e+00,0.0000000000e+00,-9.9058893857e-01,6.3619477412e-02,-5.3709979790e-02,-1.1296749490e+04,0.0000000000e+00,0.0000000000e+00,2.0123985654e-02,-5.6546445994e-02,-2.6188587785e+03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.4302317910e-02,-1.8840749050e-02,1.9396114025e+03,-2.5020825444e-01,3.2546692423e-01,9.1825450855e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.9581476374e+00,3.8968311038e+00,-4.0116972116e+05,8.0401813492e-14,-1.0458540226e-13,-2.9507151113e-07,1,3.0000000261e-03,1.0000000149e-01,1.0000000149e-01,3.0000000261e-03
1.0000000000e+17,-1.3069363951e+00,9.7940847134e-01,-4.0115669126e+05,9.9490354464e+17,1.0000000000e+17,1.3322540379e-01,9.9490354464e+17,8.9490354464e+17,8.9490354464e+17,1.4169997992e+03,9.1436331009e+17,4.2986233148e-02,1.1637668516e-03,4.7322459621e-01,0.0000000000e+00,5.3972733703e+21,6.4153641714e+21,4.7049997786e+02,2.1592509845e+16,-5.0680270992e-01,5.5095270992e-01,-4.2907459621e-01,0.0000000000e+00,0.0000000000e+00,-9.9137459621e-01,1.2723912539e-01,-1.0741980277e-01,-2.2593498980e+04,0.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,-2.6188587785e+03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9396114025e+03,0.0000000000e+00,0.0000000000e+00,9.1825450855e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,-4.0116866056e+05,-0.0000000000e+00,-0.0000000000e+00,-2.9507129672e-07,1,6.0000000522e-03,1.0000000149e-01,1.0000000149e-01,6.0000000522e-03
1.0000000000e+17,-1.4673804029e+00,1.2334816608e+00,-4.0115163248e+05,9.9235531736e+17,1.0000000000e+17,1.3243974627e-01,9.9235531736e+17,8.9235531736e+17,8.9235531736e+17,1.4169997992e+03,9.2154496402e+17,4.2404349813e-02,1.7456501871e-03,4.7401025373e-01,0.0000000000e+00,8.0959096366e+21,9.6230457592e+21,4.7049997786e+02,3.2388763092e+16,-7.8227902212e-01,8.2642902212e-01,-4.2986025373e-01,0.0000000000e+00,0.0000000000e+00,-9.9216025373e-01,1.9085867821e-01,-1.6112969581e-01,-3.3890246716e+04,0.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,-2.6188587785e+03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9396114025e+03,0.0000000000e+00,0.0000000000e+00,9.1825450855e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,-4.0116866056e+05,-0.0000000000e+00,-0.0000000000e+00,-2.9507129672e-07,1,8.9999996126e-03,1.0000000149e-01,1.0000000149e-01,8.9999996126e-03
1.0000000000e+17,-1.6218476406e+00,1.5677894960e+00,-4.0114408883e+05,9.8545365967e+17,1.0000000000e+17,1.3177788787e-01,9.8545365967e+17,8.8545365967e+17,8.8545365967e+17,1.4169997992e+03,9.2469908144e+17,4.1830930511e-02,2.3190694889e-03,4.7467211213e-01,0.0000000000e+00,1.0772237888e+22,1.2152504057e+22,4.7049997786e+02,4.2557141036e+16,-8.2205035303e-01,8.6620035303e-01,-4.3052211213e-01,0.0000000000e+00,0.0000000000e+00,-9.9282211213e-01,2.1363928518e-01,-2.3238564005e-01,-4.5448899518e+04,1.9073667776e+03,2.0330480181e+04,-1.8071951403e-02,4.8884344636e-02,-2.1472421606e+03,-1.2600838161e+01,1.2553245776e+01,2.7027387238e+06,-8.8926169094e-03,8.8590301880e-03,1.9073667776e+03,1.6268782341e-01,-1.6350717749e-01,2.0330480180e+04,7.6544620914e+01,-7.6930127011e+01,9.5654909246e+06,1.8702027625e+00,-1.8631391523e+00,-4.0113755634e+05,-5.6498600849e-01,5.6783148017e-01,-7.0604158361e+04,1,1.2000000104e-02,1.0000000149e-01,1.0000000149e-01,1.2000000104e-02
1.0000000000e+17,-1.7754604259e+00,1.9135595819e+00,-4.0113619020e+05,9.7793008519e+17,1.0000000000e+17,1.3113371532e-01,9.7793008519e+17,8.7793008519e+17,8.7793008519e+17,1.4169997992e+03,9.2727783481e+17,4.1258720562e-02,2.8912794383e-03,4.7531628468e-01,0.0000000000e+00,1.3445378327e+22,1.4585072321e+22,4.7049997786e+02,5.2635818812e+16,-8.2814949619e-01,8.7229949619e-01,-4.3116628468e-01,0.0000000000e+00,0.0000000000e+00,-9.9346628468e-01,2.3058564041e-01,-3.0614819664e-01,-5.7044963265e+04,1.9073667779e+03,2.0330480182e+04,8.6555733578e-03,1.4758825360e-02,-2.1472421606e+03,4.6874494201e+01,2.1596517585e+01,2.7027387238e+06,3.3080094708e-02,1.5241014527e-02,1.9073667776e+03,-2.6779797720e-01,-1.2725271471e-01,2.0330480180e+04,-1.2599894827e+02,-5.9872402270e+01,9.5654909246e+06,-6.9570687082e+00,-3.2053349963e+00,-4.0113796047e+05,9.3002015442e-01,4.4192861583e-01,-7.0604552410e+04,1,1.4999999665e-02,1.0000000149e-01,1.0000000149e-01,1.4999999665e-02
1.0000000000e+17,-1.9290741214e+00,2.2593289770e+00,-4.0112829157e+05,9.7040651070e+17,1.0000000000e+17,1.3048954277e-01,9.7040651070e+17,8.7040651070e+17,8.7040651070e+17,1.4169997992e+03,9.2985658818e+17,4.0686510612e-02,3.4634893877e-03,4.7596045723e-01,0.0000000000e+00,1.6118518767e+22,1.7017640584e+22,4.7049997786e+02,6.2714496589e+16,-8.3424863935e-01,8.7839863935e-01,-4.3181045723e-01,0.0000000000e+00,0.0000000000e+00,-9.9411045723e-01,2.4753217662e-01,-3.7991060909e-01,-6.8641027012e+04,1.9073667779e+03,2.0330480182e+04,8.6555733578e-03,1.4758825360e-02,-2.1472421606e+03,4.6874494201e+01,2.1596517585e+01,2.7027387238e+06,3.3080094708e-02,1.5241014527e-02,1.9073667776e+03,-2.6779797720e-01,-1.2725271471e-01,2.0330480180e+04,-1.2599894827e+02,-5.9872402270e+01,9.5654909246e+06,-6.9570687082e+00,-3.2053349963e+00,-4.0113796047e+05,9.3002015442e-01,4.4192861583e-01,-7.0604552410e+04,1,1.7999999225e-02,1.0000000149e-01,1.0000000149e-01,1.7999999225e-02
1.0000000000e+17,-1.9214143657e+00,2.4840956023e+00,-4.0112298231e+05,9.5941675826e+17,1.0000000000e+17,1.2994677270e-01,9.5941675826e+17,8.5941675826e+17,8.5941675826e+17,1.4169997992e+03,9.2880987189e+17,4.0114556730e-02,4.0354432699e-03,4.7650322730e-01,0.0000000000e+00,1.8642810818e+22,1.9083236543e+22,4.7049997786e+02,7.2531413447e+16,-8.3852917129e-01,8.8267917129e-01,-4.3235322730e-01,0.0000000000e+00,0.0000000000e+00,-9.9465322730e-01,2.3986555990e-01,-4.1993704519e-01,-7.1823663018e+04,1.9062279116e+03,1.2247754243e+04,-5.1964548184e-03,1.3482829612e-03,-1.6965634838e+03,6.1070132973e+01,2.5724099215e+01,2.7011249500e+06,4.3098188407e-02,1.8153916171e-02,1.9062279111e+03,-2.1725922124e-01,-9.1500327237e-02,1.2247754240e+04,-1.0222046360e+02,-4.3050903965e+01,5.7625683701e+06,-9.0689358989e+00,-3.8200376433e+00,-4.0111799064e+05,1.2856203639e+00,5.4144852094e-01,-7.2475461220e+04,1,2.0999999717e-02,1.0000000149e-01,1.0000000149e-01,2.0999999717e-02
1.0000000000e+17,-1.8599975683e+00,2.6685273038e+00,-4.0111853616e+05,9.4727161261e+17,1.0000000000e+17,1.2943780357e-01,9.4727161261e+17,8.4727161261e+17,8.4727161261e+17,1.4169997992e+03,9.2655466404e+17,3.9542688263e-02,4.6073117369e-03,4.7701219643e-01,0.0000000000e+00,2.1117486406e+22,2.1026508008e+22,4.7049997786e+02,8.2261075522e+16,-8.4220349817e-01,8.8635349817e-01,-4.3286219643e-01,0.0000000000e+00,0.0000000000e+00,-9.9516219643e-01,2.2399467814e-01,-4.4871805148e-01,-7.2201818659e+04,1.9062279116e+03,1.2247754245e+04,-8.5111717926e-03,-1.3043019981e-02,-1.6965634838e+03,-2.9860354417e+01,-5.4212882084e+01,2.7011249500e+06,-2.1072938897e-02,-3.8258914667e-02,1.9062279111e+03,1.7503983516e-01,3.0673761452e-01,1.2247754240e+04,8.2356242442e+01,1.4432004763e+02,5.7625683701e+06,4.4342784658e+00,8.0506417383e+00,-4.0111848747e+05,-1.0357840837e+00,-1.8150950536e+00,-7.2475096262e+04,1,2.4000000209e-02,1.0000000149e-01,1.0000000149e-01,2.4000000209e-02
1.0000000000e+17,-1.7985803247e+00,2.8529591992e+00,-4.0111409002e+05,9.3512646697e+17,1.0000000000e+17,1.2892883444e-01,9.3512646697e+17,8.3512646697e+17,8.3512646697e+17,1.4169997992e+03,9.2429945619e+17,3.8970819796e-02,5.1791802040e-03,4.7752116556e-01,0.0000000000e+00,2.3592161994e+22,2.2969779473e+22,4.7049997786e+02,9.1990737596e+16,-8.4587782504e-01,8.9002782504e-01,-4.3337116556e-01,0.0000000000e+00,0.0000000000e+00,-9.9567116556e-01,2.0812372709e-01,-4.7749908371e-01,-7.2579974300e+04,1.9062279116e+03,1.2247754245e+04,-8.5111717926e-03,-1.3043019981e-02,-1.6965634838e+03,-2.9860354417e+01,-5.4212882084e+01,2.7011249500e+06,-2.1072938897e-02,-3.8258914667e-02,1.9062279111e+03,1.7503983516e-01,3.0673761452e-01,1.2247754240e+04,8.2356242442e+01,1.4432004763e+02,5.7625683701e+06,4.4342784658e+00,8.0506417383e+00,-4.0111848747e+05,-1.0357840837e+00,-1.8150950536e+00,-7.2475096262e+04,1,2.7000000700e-02,1.0000000149e-01,1.0000000149e-01,2.7000000700e-02
