#AcceptorConcentration	ElectricField:0	ElectricField:1	ElectricField:2	AugerRecombination	BandGap	BandgapNarrowing	ConductionBandEnergy	DonorConcentration	DopingConcentration	ElectronAffinity	ElectrostaticPotential	ImpactIonization	IntrinsicDensity	LatticeTemperature	QuasiFermiPotential	SpaceCharge	TotalRecombination	ValenceBandEnergy	eAlphaAvalanche	eDensity	eEparallel	eImpactIonization	eMobility	eQuasiFermiPotential	eVelocity	hAlphaAvalanche	hDensity	hEparallel	hImpactIonization	hMobility	hQuasiFermiPotential	hVelocity	srhRecombination	TotalCurrentDensity:0	TotalCurrentDensity:1	TotalCurrentDensity:2	eCurrentDensity:0	eCurrentDensity:1	eCurrentDensity:2	eGradQuasiFermi:0	eGradQuasiFermi:1	eGradQuasiFermi:2	hCurrentDensity:0	hCurrentDensity:1	hCurrentDensity:2	hGradQuasiFermi:0	hGradQuasiFermi:1	hGradQuasiFermi:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.0000000000e+17	5.6008594179e-03	1.3782919124e-03	-2.6250394322e+03	1.5343290219e-08	1.1241592308e+00	0.0000000000e+00	8.9385764978e-02	1.0000000000e+18	9.0000000000e+17	4.0727403846e+00	4.7161784589e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	-7.1612977497e+03	2.4379739635e-08	-1.0347734658e+00	0.0000000000e+00	9.0000000000e+17	2.6250431031e+03	0.0000000000e+00	1.4170000000e+03	3.4441776453e-17	2.7529478477e+06	0.0000000000e+00	1.2840369724e+02	2.6250431033e+03	0.0000000000e+00	4.7050000000e+02	0.0000000000e+00	2.6570949486e+07	9.0364494158e-09	-2.8896709753e-01	-1.5182125342e-01	-4.7540820098e+05	-3.6469260698e-01	-1.9163425453e-01	-4.0182187553e+05	-3.3225168227e-03	-7.6564671493e-04	-1.9427107985e+03	7.5725509450e-02	3.9813001116e-02	-7.3586325450e+04	5.6758532991e-02	1.3093067513e-02	-9.1821531803e+05	1	0.0000000000e+00	1.0000000149e-01	1.0000000149e-01	0.0000000000e+00
1.0000000000e+17	4.2595646000e-03	1.0874308533e-03	-2.5494774435e+03	6.6529056849e+21	1.1241592308e+00	0.0000000000e+00	8.8598255343e-02	9.9745177232e+17	8.9745177232e+17	4.0727403846e+00	4.7240535552e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	1.0421212241e+15	9.8630512264e+21	-1.0355609754e+00	0.0000000000e+00	9.0721505993e+17	2.5494801924e+03	0.0000000000e+00	1.4170000000e+03	5.8281455129e-04	2.7455692676e+06	0.0000000000e+00	1.0805408831e+16	2.5494801926e+03	0.0000000000e+00	4.7050000000e+02	2.7546457548e-01	2.3794208422e+07	3.2101455415e+21	-2.6977527932e-01	-1.2695545992e-01	-4.7540914338e+05	-3.3730378807e-01	-1.5903947152e-01	-4.0182306941e+05	-3.2475803923e-03	-6.0664443777e-04	-1.9375115896e+03	6.7528508744e-02	3.2084011599e-02	-7.3586073974e+04	4.4989217127e-02	8.2059713420e-03	-7.7455399944e+05	1	3.0000000261e-03	1.0000000149e-01	1.0000000149e-01	3.0000000261e-03
1.0000000000e+17	2.9183039127e-03	7.9659817406e-04	-2.4739154547e+03	1.3305811370e+22	1.1241592308e+00	0.0000000000e+00	8.7810745709e-02	9.9490354464e+17	8.9490354464e+17	4.0727403846e+00	4.7319286516e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	2.0842424481e+15	1.9726102453e+22	-1.0363484851e+00	0.0000000000e+00	9.1443011986e+17	2.4739172816e+03	0.0000000000e+00	1.4170000000e+03	1.1656291026e-03	2.7381906875e+06	0.0000000000e+00	2.1610817662e+16	2.4739172819e+03	0.0000000000e+00	4.7050000000e+02	5.5092915096e-01	2.1017467357e+07	6.4202910829e+21	-2.5058435032e-01	-1.0209046823e-01	-4.7541008579e+05	-3.0991609175e-01	-1.2644570608e-01	-4.0182426329e+05	-3.1726490758e-03	-4.4764694376e-04	-1.9323123807e+03	5.9331741428e-02	2.4355237852e-02	-7.3585822497e+04	3.3219975077e-02	3.3189483724e-03	-6.3089268085e+05	1	6.0000000522e-03	1.0000000149e-01	1.0000000149e-01	6.0000000522e-03
1.0000000000e+17	1.5770271134e-03	5.0575282664e-04	-2.3983534778e+03	1.9958716022e+22	1.1241592308e+00	0.0000000000e+00	8.7023236196e-02	9.9235531736e+17	8.9235531736e+17	4.0727403846e+00	4.7398037467e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	3.1263635104e+15	2.9589152148e+22	-1.0371359946e+00	0.0000000000e+00	9.2164517867e+17	2.3983543825e+03	0.0000000000e+00	1.4170000000e+03	1.7484435634e-03	2.7308121085e+06	0.0000000000e+00	3.2416224816e+16	2.3983543830e+03	0.0000000000e+00	4.7050000000e+02	8.2639368369e-01	1.8240726724e+07	9.6304361261e+21	-2.3139297969e-01	-7.7225076701e-02	-4.7541102819e+05	-2.8252783838e-01	-9.3851434094e-02	-4.0182545717e+05	-3.0977152079e-03	-2.8864706796e-04	-1.9271131727e+03	5.1134858690e-02	1.6626357393e-02	-7.3585571021e+04	2.1450697966e-02	-1.5681104554e-03	-4.8723138456e+05	1	8.9999996126e-03	1.0000000149e-01	1.0000000149e-01	8.9999996126e-03
1.0000000000e+17	2.4002218639e-04	2.4384391763e-04	-2.2596329766e+03	2.6834195268e+22	1.1241592308e+00	0.0000000000e+00	8.6359692314e-02	9.8545365967e+17	8.8545365967e+17	4.0727403846e+00	4.7464391855e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	3.2159102972e+15	3.8995456872e+22	-1.0377995385e+00	0.0000000000e+00	9.2482926481e+17	2.2596329485e+03	0.0000000000e+00	1.4170000000e+03	2.3227285643e-03	2.7231548693e+06	0.0000000000e+00	4.2591515435e+16	2.2596329490e+03	0.0000000000e+00	4.7050000000e+02	8.6616396181e-01	1.4970143063e+07	1.2161261604e+22	-1.6541761540e-01	-2.4639935118e-02	-4.7541407516e+05	-1.9773548119e-01	-2.7874109534e-02	-4.0182922696e+05	-2.5258613789e-03	6.7655455925e-06	-1.9217293140e+03	3.2317865788e-02	3.2341744160e-03	-7.3584848197e+04	8.8097491943e-03	-5.0323221670e-03	-3.4243852862e+05	1	1.2000000104e-02	1.0000000149e-01	1.0000000149e-01	1.2000000104e-02
1.0000000000e+17	-1.0963505340e-03	-1.3908455203e-05	-2.1118898693e+03	3.3741468477e+22	1.1241592308e+00	0.0000000000e+00	8.5713858061e-02	9.7793008519e+17	8.7793008519e+17	4.0727403846e+00	4.7528975280e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	3.1693748779e+15	4.8336508913e+22	-1.0384453727e+00	0.0000000000e+00	9.2743749601e+17	2.1118889069e+03	0.0000000000e+00	1.4170000000e+03	2.8957948660e-03	2.7154578241e+06	0.0000000000e+00	5.2676785705e+16	2.1118889074e+03	0.0000000000e+00	4.7050000000e+02	8.7226358456e-01	1.1629011489e+07	1.4595040436e+22	-9.2758539659e-02	3.1905448448e-02	-4.7541742277e+05	-1.0474222879e-01	4.2872520995e-02	-4.0183336473e+05	-1.8830174410e-03	3.2166698598e-04	-1.9163190785e+03	1.1983689136e-02	-1.0967072547e-02	-7.3584058039e+04	-3.9556912798e-03	-8.2932369552e-03	-1.9748407252e+05	1	1.4999999665e-02	1.0000000149e-01	1.0000000149e-01	1.4999999665e-02
1.0000000000e+17	-2.4327280479e-03	-2.7166790587e-04	-1.9641467621e+03	4.0648741686e+22	1.1241592308e+00	0.0000000000e+00	8.5068023808e-02	9.7040651070e+17	8.7040651070e+17	4.0727403846e+00	4.7593558706e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	3.1228394584e+15	5.7677560954e+22	-1.0390912070e+00	0.0000000000e+00	9.3004572722e+17	1.9641448654e+03	0.0000000000e+00	1.4170000000e+03	3.4688611677e-03	2.7077607788e+06	0.0000000000e+00	6.2762055976e+16	1.9641448658e+03	0.0000000000e+00	4.7050000000e+02	8.7836320732e-01	8.2878799145e+06	1.7028819268e+22	-2.0100242117e-02	8.8450066034e-02	-4.7542077038e+05	-1.1749910997e-02	1.1361823478e-01	-4.0183750250e+05	-1.2401778838e-03	6.3656419716e-04	-1.9109088430e+03	-8.3503311192e-03	-2.5168168748e-02	-7.3583267880e+04	-1.6721119756e-02	-1.1554140917e-02	-5.2529616423e+04	1	1.7999999225e-02	1.0000000149e-01	1.0000000149e-01	1.7999999225e-02
1.0000000000e+17	-2.3475718149e-03	-1.6721606296e-04	-1.8287644376e+03	4.7487018732e+22	1.1241592308e+00	0.0000000000e+00	8.4523694027e-02	9.5941675826e+17	8.5941675826e+17	4.0727403846e+00	4.7647991684e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	2.9757456871e+15	6.6582270739e+22	-1.0396355367e+00	0.0000000000e+00	9.2902532032e+17	1.8287625230e+03	0.0000000000e+00	1.4170000000e+03	4.0416298108e-03	2.7103863694e+06	0.0000000000e+00	7.2584307739e+16	1.8287625234e+03	0.0000000000e+00	4.7050000000e+02	8.8264433458e-01	6.8435299793e+06	1.9095252007e+22	9.8103745112e-02	1.6311370782e-01	-4.7542540303e+05	1.3273926849e-01	2.0393032671e-01	-4.0184312227e+05	-6.2445921117e-05	1.0196143134e-03	-1.9127912248e+03	-3.4635523374e-02	-4.0816618897e-02	-7.3582280766e+04	-2.2670443340e-02	-1.2600042949e-02	-1.4914330281e+04	1	2.0999999717e-02	1.0000000149e-01	1.0000000149e-01	2.0999999717e-02
1.0000000000e+17	-1.7885923484e-03	5.7952740837e-05	-1.6975023942e+03	5.4302296316e+22	1.1241592308e+00	0.0000000000e+00	8.4013199177e-02	9.4727161261e+17	8.4727161261e+17	4.0727403846e+00	4.7699041169e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	2.7951324309e+15	7.5341531971e+22	-1.0401460316e+00	0.0000000000e+00	9.2679536571e+17	1.6975007672e+03	0.0000000000e+00	1.4170000000e+03	4.6142991749e-03	2.7164528433e+06	0.0000000000e+00	8.2318885522e+16	1.6975007674e+03	0.0000000000e+00	4.7050000000e+02	8.8631929535e-01	6.0314416690e+06	2.1039235656e+22	2.3148931433e-01	2.4381669824e-01	-4.7543046403e+05	2.9439377211e-01	3.0076423405e-01	-4.0184923603e+05	1.2935821637e-03	1.4253804648e-03	-1.9171044824e+03	-6.2904457776e-02	-5.6947535809e-02	-7.3581227998e+04	-2.6347771913e-02	-1.2907652460e-02	-1.3078823926e+04	1	2.4000000209e-02	1.0000000149e-01	1.0000000149e-01	2.4000000209e-02
1.0000000000e+17	-1.2296015190e-03	2.8313078749e-04	-1.5662403508e+03	6.1117573899e+22	1.1241592308e+00	0.0000000000e+00	8.3502704326e-02	9.3512646697e+17	8.3512646697e+17	4.0727403846e+00	4.7750090654e-01	0.0000000000e+00	1.0750038489e+10	3.0000000000e+02	0.0000000000e+00	2.6145191751e+15	8.4100793203e+22	-1.0406565264e+00	0.0000000000e+00	9.2456541110e+17	1.5662390114e+03	0.0000000000e+00	1.4170000000e+03	5.1869685390e-03	2.7225193172e+06	0.0000000000e+00	9.2053463305e+16	1.5662390114e+03	0.0000000000e+00	4.7050000000e+02	8.8999425611e-01	5.2193533587e+06	2.2983219304e+22	3.6487504094e-01	3.2451983551e-01	-4.7543552503e+05	4.5604842889e-01	3.9759828226e-01	-4.0185534980e+05	2.6496111204e-03	1.8311473243e-03	-1.9214177400e+03	-9.1173387951e-02	-7.3078446756e-02	-7.3580175231e+04	-3.0025082638e-02	-1.3215243638e-02	-1.1243317571e+04	1	2.7000000700e-02	1.0000000149e-01	1.0000000149e-01	2.7000000700e-02
