"Acceptor concentration [cm-3]","Jn [A cm-2]:0","Jn [A cm-2]:1","Jn [A cm-2]:2","ArsenicActiveConcentration","BoronActiveConcentration","Conduction band level [eV]","Donor concentration [cm-3]","Dopant concentration [cm-3]","DopingConcentration","Electron Mobility [cm2 s-1 V-1]","Electron density [cm-3]","Electron quasi fermi band level [eV]","Electron quasi fermi potential [V]","Electrostatic potential [V]","G Impact ionization [cm-3 s-1]","GR Auger [cm-3 s-1]","GR Srh [cm-3 s-1]","Hole Mobility [cm2 s-1 V-1]","Hole density [cm-3]","Hole quasi fermi band level [eV]","Hole quasi fermi potential [V]","Middle band level [eV]","PhosphorusActiveConcentration","Space Charge [cm-3]","Valence band level [eV]","Jp [A cm-2]:0","Jp [A cm-2]:1","Jp [A cm-2]:2","Electron Avalanche field [V cm-1]","Hole Avalanche field [V cm-1]","Electric field [V cm-1]:0","Electric field [V cm-1]:1","Electric field [V cm-1]:2","Electron velocity [cm s-1]:0","Electron velocity [cm s-1]:1","Electron velocity [cm s-1]:2","Grad Electron quasi fermi potential [V cm]:0","Grad Electron quasi fermi potential [V cm]:1","Grad Electron quasi fermi potential [V cm]:2","Grad Hole quasi fermi potential [V cm]:0","Grad Hole quasi fermi potential [V cm]:1","Grad Hole quasi fermi potential [V cm]:2","Hole velocity [cm s-1]:0","Hole velocity [cm s-1]:1","Hole velocity [cm s-1]:2","Jn element [A cm-2]:0","Jn element [A cm-2]:1","Jn element [A cm-2]:2","Jp element [A cm-2]:0","Jp element [A cm-2]:1","Jp element [A cm-2]:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,-1.7449020422e-11,-4.6062925649e-13,-2.3657960332e-10,9.6114473855e+00,1.0000000000e+17,1.0212963848e+00,1.9222933822e+01,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.1556250000e+03,4.4150000000e-02,0.0000000000e+00,-4.1484638484e-01,0.0000000000e+00,-1.5757516194e-10,0.0000000000e+00,4.7049997786e+02,1.0000000000e+17,4.4150000000e-02,0.0000000000e+00,4.5899638484e-01,9.6114864363e+00,0.0000000000e+00,-1.0330361516e-01,7.4377351702e-11,3.4864264206e-11,-3.7189181416e-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0000000000e+00,1.5000000596e-01,1.9999999553e-02,0.0000000000e+00
1.0000000000e+17,-2.3056912031e-11,-6.4137813613e-13,-2.3915920123e-10,1.4661713934e+02,1.0000000000e+17,1.0212957202e+00,2.9323779687e+02,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.1426872487e+03,4.3849263601e-02,3.0073639896e-04,-4.1484572022e-01,0.0000000000e+00,1.3326266814e+04,1.2967458929e+06,4.7049997786e+02,9.9997429560e+16,4.4150000000e-02,-1.6405748831e-23,4.5899572022e-01,1.4662065752e+02,0.0000000000e+00,-1.0330427978e-01,4.4629371497e-11,2.0919949099e-11,-6.3958100383e-11,0.0000000000e+00,0.0000000000e+00,-4.8191068927e-02,-3.6186480856e-01,-2.2153775242e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0694001211e+02,4.9974504315e+00,1.0024542441e+03,-2.9605947323e-11,-2.7755575616e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.2341551502e-11,-1.2640103113e-12,-2.5355178976e-10,2.2313149374e-10,2.0918577538e-10,-0.0000000000e+00,1,3.0000000261e-03,1.5000000596e-01,1.9999999553e-02,3.0000000261e-03
1.0000000000e+17,-2.8664802883e-11,-8.2212707745e-13,-2.4173879906e-10,2.8362607975e+02,1.0000000000e+17,1.0212950556e+00,5.6725567769e+02,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.1297495025e+03,4.3548527325e-02,6.0147267479e-04,-4.1484505561e-01,0.0000000000e+00,2.6652528328e+04,2.5934912701e+06,4.7049997786e+02,9.9994859120e+16,4.4150000000e-02,-1.6405748831e-23,4.5899505561e-01,2.8362959794e+02,0.0000000000e+00,-1.0330494439e-01,1.4881392110e-11,6.9756300057e-12,-9.0727058242e-11,0.0000000000e+00,0.0000000000e+00,-4.8191068927e-02,-3.6186480856e-01,-2.2153775242e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0694001211e+02,4.9974504315e+00,1.0024542441e+03,-2.9605947323e-11,-2.7755575616e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.2341551502e-11,-1.2640103113e-12,-2.5355178976e-10,2.2313149374e-10,2.0918577538e-10,-0.0000000000e+00,1,6.0000000522e-03,1.5000000596e-01,1.9999999553e-02,6.0000000522e-03
1.0000000000e+17,-3.4272692865e-11,-1.0028759907e-12,-2.4431839648e-10,4.2063499890e+02,1.0000000000e+17,1.0212943910e+00,8.4127351598e+02,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.1168117584e+03,4.3247791096e-02,9.0220890395e-04,-4.1484439100e-01,0.0000000000e+00,3.9978787774e+04,3.8902364461e+06,4.7049997786e+02,9.9992288680e+16,4.4150000000e-02,-1.6405748831e-23,4.5899439100e-01,4.2063851708e+02,0.0000000000e+00,-1.0330560900e-01,-1.4866582659e-11,-6.9686869233e-12,-1.1749601195e-10,0.0000000000e+00,0.0000000000e+00,-4.8191068927e-02,-3.6186480856e-01,-2.2153775242e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0694001211e+02,4.9974504315e+00,1.0024542441e+03,-2.9605947323e-11,-2.7755575616e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.2341551502e-11,-1.2640103113e-12,-2.5355178976e-10,2.2313149374e-10,2.0918577538e-10,-0.0000000000e+00,1,8.9999996126e-03,1.5000000596e-01,1.9999999553e-02,8.9999996126e-03
1.0000000000e+17,-3.9880584588e-11,-1.1836249601e-12,-2.4689799470e-10,5.5764396057e+02,1.0000000000e+17,1.0212937264e+00,1.1152914393e+03,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.1038740102e+03,4.2947054774e-02,1.2029452265e-03,-4.1484372638e-01,0.0000000000e+00,5.3305051357e+04,5.1869820246e+06,4.7049997786e+02,9.9989718239e+16,4.4150000000e-02,-1.6405748831e-23,4.5899372638e-01,5.5764747876e+02,0.0000000000e+00,-1.0330627362e-01,-4.4614566663e-11,-2.0913008181e-11,-1.4426497396e-10,0.0000000000e+00,0.0000000000e+00,-4.8191068927e-02,-3.6186480856e-01,-2.2153775242e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0694001211e+02,4.9974504315e+00,1.0024542441e+03,-2.9605947323e-11,-2.7755575616e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.2341551502e-11,-1.2640103113e-12,-2.5355178976e-10,2.2313149374e-10,2.0918577538e-10,-0.0000000000e+00,1,1.2000000104e-02,1.5000000596e-01,1.9999999553e-02,1.2000000104e-02
1.0000000000e+17,-4.5488474571e-11,-1.3643738733e-12,-2.4947759212e-10,6.9465287972e+02,1.0000000000e+17,1.0212930618e+00,1.3893092776e+03,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.0909362660e+03,4.2646318544e-02,1.5036814556e-03,-4.1484306177e-01,0.0000000000e+00,6.6631310803e+04,6.4837272005e+06,4.7049997786e+02,9.9987147799e+16,4.4150000000e-02,-1.6405748831e-23,4.5899306177e-01,6.9465639790e+02,0.0000000000e+00,-1.0330693823e-01,-7.4362541432e-11,-3.4857325110e-11,-1.7103392767e-10,0.0000000000e+00,0.0000000000e+00,-4.8191068927e-02,-3.6186480856e-01,-2.2153775242e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0694001211e+02,4.9974504315e+00,1.0024542441e+03,-2.9605947323e-11,-2.7755575616e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.2341551502e-11,-1.2640103113e-12,-2.5355178976e-10,2.2313149374e-10,2.0918577538e-10,-0.0000000000e+00,1,1.4999999665e-02,1.5000000596e-01,1.9999999553e-02,1.4999999665e-02
1.0000000000e+17,-5.1096364553e-11,-1.5451227866e-12,-2.5205718955e-10,8.3166179886e+02,1.0000000000e+17,1.0212923972e+00,1.6633271159e+03,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.0779985219e+03,4.2345582315e-02,1.8044176848e-03,-4.1484239716e-01,0.0000000000e+00,7.9957570248e+04,7.7804723765e+06,4.7049997786e+02,9.9984577360e+16,4.4150000000e-02,-1.6405748831e-23,4.5899239716e-01,8.3166531705e+02,0.0000000000e+00,-1.0330760284e-01,-1.0411051620e-10,-4.8801642039e-11,-1.9780288137e-10,0.0000000000e+00,0.0000000000e+00,-4.8191068927e-02,-3.6186480856e-01,-2.2153775242e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0694001211e+02,4.9974504315e+00,1.0024542441e+03,-2.9605947323e-11,-2.7755575616e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.2341551502e-11,-1.2640103113e-12,-2.5355178976e-10,2.2313149374e-10,2.0918577538e-10,-0.0000000000e+00,1,1.7999999225e-02,1.5000000596e-01,1.9999999553e-02,1.7999999225e-02
1.0000000000e+17,-5.7616017186e-11,-1.2469634416e-12,-2.5311607063e-10,7.5338447624e+03,1.0000000000e+17,1.0212907617e+00,1.5067918813e+04,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.0651508223e+03,4.2028605342e-02,2.1213946580e-03,-4.1484076167e-01,0.0000000000e+00,9.3217036091e+04,9.0725551663e+06,4.7049997786e+02,9.9978253795e+16,4.4150000000e-02,6.6613360688e-18,4.5899076167e-01,7.5340740502e+03,0.0000000000e+00,-1.0330923833e-01,-1.0819573315e-10,-4.6799173709e-11,-1.9916831761e-10,0.0000000000e+00,0.0000000000e+00,-5.3454433979e-01,-1.1714923511e+00,-6.5303728095e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.5613867852e+02,1.8710723558e+01,1.0746342657e+03,-1.9047511508e-26,2.7755575616e-11,2.9605947323e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.0703187509e-10,-4.3904275631e-12,-2.5216041944e-10,1.4350812189e-25,-2.0911658338e-10,-2.2305768894e-10,1,2.0999999717e-02,1.5000000596e-01,1.9999999553e-02,2.0999999717e-02
1.0000000000e+17,-6.4439615349e-11,-7.8916773651e-13,-2.5366804003e-10,1.6424699797e+04,1.0000000000e+17,1.0212888026e+00,3.2849628882e+04,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.0523331461e+03,4.1706215009e-02,2.4437849906e-03,-4.1483880256e-01,0.0000000000e+00,1.0645422855e+05,1.0363082965e+07,4.7049997786e+02,9.9970679188e+16,4.4150000000e-02,1.5543121722e-17,4.5898880256e-01,1.6424929085e+04,0.0000000000e+00,-1.0331119744e-01,-1.0372675272e-10,-3.9481165076e-11,-1.9206596190e-10,0.0000000000e+00,0.0000000000e+00,-5.3454433979e-01,-1.1714923511e+00,-6.5303728095e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.5613867852e+02,1.8710723558e+01,1.0746342657e+03,-1.9047511508e-26,2.7755575616e-11,2.9605947323e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.0703187509e-10,-4.3904275631e-12,-2.5216041944e-10,1.4350812189e-25,-2.0911658338e-10,-2.2305768894e-10,1,2.4000000209e-02,1.5000000596e-01,1.9999999553e-02,2.4000000209e-02
1.0000000000e+17,-7.1263213513e-11,-3.3137203140e-13,-2.5422000942e-10,2.5315554832e+04,1.0000000000e+17,1.0212868434e+00,5.0631338951e+04,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.0395154700e+03,4.1383824677e-02,2.7661753232e-03,-4.1483684345e-01,0.0000000000e+00,1.1969142101e+05,1.1653610764e+07,4.7049997786e+02,9.9963104582e+16,4.4150000000e-02,2.4424907374e-17,4.5898684345e-01,2.5315784119e+04,0.0000000000e+00,-1.0331315655e-01,-9.9257772294e-11,-3.2163156443e-11,-1.8496360619e-10,0.0000000000e+00,0.0000000000e+00,-5.3454433979e-01,-1.1714923511e+00,-6.5303728095e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.5613867852e+02,1.8710723558e+01,1.0746342657e+03,-1.9047511508e-26,2.7755575616e-11,2.9605947323e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.0703187509e-10,-4.3904275631e-12,-2.5216041944e-10,1.4350812189e-25,-2.0911658338e-10,-2.2305768894e-10,1,2.7000000700e-02,1.5000000596e-01,1.9999999553e-02,2.7000000700e-02
