"Acceptor concentration [cm-3]","Jn [A cm-2]:0","Jn [A cm-2]:1","Jn [A cm-2]:2","ArsenicActiveConcentration","BoronActiveConcentration","Conduction band level [eV]","Donor concentration [cm-3]","Dopant concentration [cm-3]","DopingConcentration","Electron Mobility [cm2 s-1 V-1]","Electron density [cm-3]","Electron quasi fermi band level [eV]","Electron quasi fermi potential [V]","Electrostatic potential [V]","G Impact ionization [cm-3 s-1]","GR Auger [cm-3 s-1]","GR Srh [cm-3 s-1]","Hole Mobility [cm2 s-1 V-1]","Hole density [cm-3]","Hole quasi fermi band level [eV]","Hole quasi fermi potential [V]","Middle band level [eV]","PhosphorusActiveConcentration","Space Charge [cm-3]","Valence band level [eV]","Jp [A cm-2]:0","Jp [A cm-2]:1","Jp [A cm-2]:2","Electron Avalanche field [V cm-1]","Hole Avalanche field [V cm-1]","Electric field [V cm-1]:0","Electric field [V cm-1]:1","Electric field [V cm-1]:2","Electron velocity [cm s-1]:0","Electron velocity [cm s-1]:1","Electron velocity [cm s-1]:2","Grad Electron quasi fermi potential [V cm]:0","Grad Electron quasi fermi potential [V cm]:1","Grad Electron quasi fermi potential [V cm]:2","Grad Hole quasi fermi potential [V cm]:0","Grad Hole quasi fermi potential [V cm]:1","Grad Hole quasi fermi potential [V cm]:2","Hole velocity [cm s-1]:0","Hole velocity [cm s-1]:1","Hole velocity [cm s-1]:2","Jn element [A cm-2]:0","Jn element [A cm-2]:1","Jn element [A cm-2]:2","Jp element [A cm-2]:0","Jp element [A cm-2]:1","Jp element [A cm-2]:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,-1.4364149937e-11,-2.7805206370e-13,-3.6619248976e-10,9.6114473855e+00,1.0000000000e+17,1.0212963848e+00,1.9222933822e+01,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.1556250000e+03,4.4150000000e-02,0.0000000000e+00,-4.1484638484e-01,0.0000000000e+00,-1.5757516194e-10,0.0000000000e+00,4.7049997786e+02,1.0000000000e+17,4.4150000000e-02,0.0000000000e+00,4.5899638484e-01,9.6114864363e+00,0.0000000000e+00,-1.0330361516e-01,7.4365779260e-11,6.9717918057e-11,-7.4367036893e-11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0000000000e+00,1.5000000596e-01,1.9999999553e-02,0.0000000000e+00
1.0000000000e+17,-1.8711902001e-11,-3.9637902899e-13,-3.6843946555e-10,1.4661713934e+02,1.0000000000e+17,1.0212945329e+00,2.9323779687e+02,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.1362711150e+03,4.3690780283e-02,4.5921971739e-04,-4.1484453294e-01,0.0000000000e+00,1.9963024809e+04,1.9436677241e+06,4.7049997786e+02,9.9992838687e+16,4.4150000000e-02,-1.6405748831e-23,4.5899453294e-01,1.4662065752e+02,0.0000000000e+00,-1.0330546706e-01,7.4360580007e-11,6.4140874557e-11,-7.4355988873e-11,0.0000000000e+00,0.0000000000e+00,-4.0242274964e-01,-8.7494941249e-01,-6.1729842950e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7368061249e+02,4.1041469456e+00,1.5307320335e+03,-2.9605947323e-11,-2.7755575616e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.3089398050e-11,-1.0182208530e-12,-3.7976790245e-10,2.2309791110e-10,2.0915429165e-10,-0.0000000000e+00,1,3.0000000261e-03,1.5000000596e-01,1.9999999553e-02,3.0000000261e-03
1.0000000000e+17,-2.3059654137e-11,-5.1470608283e-13,-3.7068644063e-10,2.8362607975e+02,1.0000000000e+17,1.0212926810e+00,5.6725567769e+02,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.1169172342e+03,4.3231560669e-02,9.1843933145e-04,-4.1484268105e-01,0.0000000000e+00,3.9926045345e+04,3.8873350320e+06,4.7049997786e+02,9.9985677375e+16,4.4150000000e-02,-1.6405748831e-23,4.5899268105e-01,2.8362959794e+02,0.0000000000e+00,-1.0330731895e-01,7.4355346127e-11,5.8563826664e-11,-7.4344935363e-11,0.0000000000e+00,0.0000000000e+00,-4.0242274964e-01,-8.7494941249e-01,-6.1729842950e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7368061249e+02,4.1041469456e+00,1.5307320335e+03,-2.9605947323e-11,-2.7755575616e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.3089398050e-11,-1.0182208530e-12,-3.7976790245e-10,2.2309791110e-10,2.0915429165e-10,-0.0000000000e+00,1,6.0000000522e-03,1.5000000596e-01,1.9999999553e-02,6.0000000522e-03
1.0000000000e+17,-2.7407405599e-11,-6.3303311830e-13,-3.7293341536e-10,4.2063499890e+02,1.0000000000e+17,1.0212908292e+00,8.4127351598e+02,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.0975633564e+03,4.2772341126e-02,1.3776588742e-03,-4.1484082915e-01,0.0000000000e+00,5.9889062783e+04,5.8310020381e+06,4.7049997786e+02,9.9978516064e+16,4.4150000000e-02,-1.6405748831e-23,4.5899082915e-01,4.2063851708e+02,0.0000000000e+00,-1.0330917085e-01,7.4350112246e-11,5.2986779636e-11,-7.4333881854e-11,0.0000000000e+00,0.0000000000e+00,-4.0242274964e-01,-8.7494941249e-01,-6.1729842950e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7368061249e+02,4.1041469456e+00,1.5307320335e+03,-2.9605947323e-11,-2.7755575616e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.3089398050e-11,-1.0182208530e-12,-3.7976790245e-10,2.2309791110e-10,2.0915429165e-10,-0.0000000000e+00,1,8.9999996126e-03,1.5000000596e-01,1.9999999553e-02,8.9999996126e-03
1.0000000000e+17,-3.1755158411e-11,-7.5136019051e-13,-3.7518039079e-10,5.5764396057e+02,1.0000000000e+17,1.0212889773e+00,1.1152914393e+03,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.0782094726e+03,4.2313121440e-02,1.8368785596e-03,-4.1483897726e-01,0.0000000000e+00,7.9852086417e+04,7.7746696477e+06,4.7049997786e+02,9.9971354750e+16,4.4150000000e-02,-1.6405748831e-23,4.5898897726e-01,5.5764747876e+02,0.0000000000e+00,-1.0331102274e-01,7.4344878365e-11,4.7409730877e-11,-7.4322828342e-11,0.0000000000e+00,0.0000000000e+00,-4.0242274964e-01,-8.7494941249e-01,-6.1729842950e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7368061249e+02,4.1041469456e+00,1.5307320335e+03,-2.9605947323e-11,-2.7755575616e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.3089398050e-11,-1.0182208530e-12,-3.7976790245e-10,2.2309791110e-10,2.0915429165e-10,-0.0000000000e+00,1,1.2000000104e-02,1.5000000596e-01,1.9999999553e-02,1.2000000104e-02
1.0000000000e+17,-3.6102909872e-11,-8.6968722598e-13,-3.7742736552e-10,6.9465287972e+02,1.0000000000e+17,1.0212871254e+00,1.3893092776e+03,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.0588555947e+03,4.1853901898e-02,2.2960981023e-03,-4.1483712536e-01,0.0000000000e+00,9.9815103854e+04,9.7183366538e+06,4.7049997786e+02,9.9964193439e+16,4.4150000000e-02,-1.6405748831e-23,4.5898712536e-01,6.9465639790e+02,0.0000000000e+00,-1.0331287464e-01,7.4339644485e-11,4.1832683849e-11,-7.4311774833e-11,0.0000000000e+00,0.0000000000e+00,-4.0242274964e-01,-8.7494941249e-01,-6.1729842950e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7368061249e+02,4.1041469456e+00,1.5307320335e+03,-2.9605947323e-11,-2.7755575616e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.3089398050e-11,-1.0182208530e-12,-3.7976790245e-10,2.2309791110e-10,2.0915429165e-10,-0.0000000000e+00,1,1.4999999665e-02,1.5000000596e-01,1.9999999553e-02,1.4999999665e-02
1.0000000000e+17,-4.0450661334e-11,-9.8801426145e-13,-3.7967434025e-10,8.3166179886e+02,1.0000000000e+17,1.0212852735e+00,1.6633271159e+03,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.0395017169e+03,4.1394682355e-02,2.7553176451e-03,-4.1483527347e-01,0.0000000000e+00,1.1977812129e+05,1.1662003660e+07,4.7049997786e+02,9.9957032128e+16,4.4150000000e-02,-1.6405748831e-23,4.5898527347e-01,8.3166531705e+02,0.0000000000e+00,-1.0331472653e-01,7.4334410604e-11,3.6255636822e-11,-7.4300721325e-11,0.0000000000e+00,0.0000000000e+00,-4.0242274964e-01,-8.7494941249e-01,-6.1729842950e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7368061249e+02,4.1041469456e+00,1.5307320335e+03,-2.9605947323e-11,-2.7755575616e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.3089398050e-11,-1.0182208530e-12,-3.7976790245e-10,2.2309791110e-10,2.0915429165e-10,-0.0000000000e+00,1,1.7999999225e-02,1.5000000596e-01,1.9999999553e-02,1.7999999225e-02
1.0000000000e+17,-4.4975416474e-11,-5.9034145335e-13,-3.8152169206e-10,7.5338447624e+03,1.0000000000e+17,1.0212804726e+00,1.5067918813e+04,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.0201740266e+03,4.0890558356e-02,3.2594416442e-03,-4.1483047255e-01,0.0000000000e+00,1.3976591714e+05,1.3616254370e+07,4.7049997786e+02,9.9938482378e+16,4.4150000000e-02,6.6613360688e-18,4.5898047255e-01,7.5340740502e+03,0.0000000000e+00,-1.0331952745e-01,7.2074596298e-11,2.2886610382e-11,-7.9536305394e-11,0.0000000000e+00,0.0000000000e+00,-3.0889065380e+00,-3.2741177235e+00,-1.9279732232e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0109246897e+02,1.8634761053e+01,1.7303061869e+03,-1.9047511508e-26,2.7755575616e-11,2.9605947323e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-8.8481354973e-11,-4.1108448429e-12,-3.8170708199e-10,1.4340223730e-25,-2.0896229091e-10,-2.2289311030e-10,1,2.0999999717e-02,1.5000000596e-01,1.9999999553e-02,2.0999999717e-02
1.0000000000e+17,-4.9559196919e-11,-2.0668205017e-14,-3.8323583056e-10,1.6424699797e+04,1.0000000000e+17,1.0212746886e+00,3.2849628882e+04,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,1.0008550733e+03,4.0371466415e-02,3.7785335854e-03,-4.1482468863e-01,0.0000000000e+00,1.5976196446e+05,1.5574032197e+07,4.7049997786e+02,9.9916136486e+16,4.4150000000e-02,1.5543121722e-17,4.5897468863e-01,1.6424929085e+04,0.0000000000e+00,-1.0332531137e-01,6.9063259355e-11,6.9202593628e-12,-8.6520704909e-11,0.0000000000e+00,0.0000000000e+00,-3.0889065380e+00,-3.2741177235e+00,-1.9279732232e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0109246897e+02,1.8634761053e+01,1.7303061869e+03,-1.9047511508e-26,2.7755575616e-11,2.9605947323e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-8.8481354973e-11,-4.1108448429e-12,-3.8170708199e-10,1.4340223730e-25,-2.0896229091e-10,-2.2289311030e-10,1,2.4000000209e-02,1.5000000596e-01,1.9999999553e-02,2.4000000209e-02
1.0000000000e+17,-5.4142977364e-11,5.4900504332e-13,-3.8494996906e-10,2.5315554832e+04,1.0000000000e+17,1.0212689047e+00,5.0631338951e+04,-1.0000000000e+17,-1.0000000000e+17,1.4169997992e+03,9.8153611993e+02,3.9852374473e-02,4.2976255265e-03,-4.1481890471e-01,0.0000000000e+00,1.7975801178e+05,1.7531810025e+07,4.7049997786e+02,9.9893790593e+16,4.4150000000e-02,2.4424907374e-17,4.5896890471e-01,2.5315784119e+04,0.0000000000e+00,-1.0333109529e-01,6.6051922413e-11,-9.0460916559e-12,-9.3505104425e-11,0.0000000000e+00,0.0000000000e+00,-3.0889065380e+00,-3.2741177235e+00,-1.9279732232e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0109246897e+02,1.8634761053e+01,1.7303061869e+03,-1.9047511508e-26,2.7755575616e-11,2.9605947323e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-8.8481354973e-11,-4.1108448429e-12,-3.8170708199e-10,1.4340223730e-25,-2.0896229091e-10,-2.2289311030e-10,1,2.7000000700e-02,1.5000000596e-01,1.9999999553e-02,2.7000000700e-02
