"AcceptorConcentration","ElectricField:0","ElectricField:1","ElectricField:2","AugerRecombination","BandGap","BandgapNarrowing","ConductionBandEnergy","DisplaceCurrentDensity","DonorConcentration","DopingConcentration","ElectronAffinity","ElectrostaticPotential","ImpactIonization","LatticeTemperature","QuasiFermiPotential","SpaceCharge","TotalRecombination","ValenceBandEnergy","eDensity","eEparallel","eImpactIonization","eMobility","eQuasiFermiPotential","eVelocity","hDensity","hEparallel","hImpactIonization","hMobility","hQuasiFermiPotential","hVelocity","srhRecombination","TotalCurrentDensity:0","TotalCurrentDensity:1","TotalCurrentDensity:2","eCurrentDensity:0","eCurrentDensity:1","eCurrentDensity:2","eGradQuasiFermi:0","eGradQuasiFermi:1","eGradQuasiFermi:2","hCurrentDensity:0","hCurrentDensity:1","hCurrentDensity:2","hGradQuasiFermi:0","hGradQuasiFermi:1","hGradQuasiFermi:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,4.9254095008e-03,5.3750903033e-03,-5.8295163346e+00,3.6119791043e-08,1.1241592308e+00,0.0000000000e+00,9.7581881738e-01,0.0000000000e+00,1.9222933822e+01,-1.0000000000e+17,4.0727403846e+00,-4.1481520651e-01,0.0000000000e+00,3.0000000000e+02,0.0000000000e+00,-1.0492752083e+03,4.5089278273e-07,-1.4834041339e-01,1.1556332751e+03,0.0000000000e+00,0.0000000000e+00,1.4170000000e+03,0.0000000000e+00,2.0788813979e+06,1.0000000000e+17,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,2.2961184302e-17,6.3529162220e-09,4.1477299169e-07,-3.6212059368e-11,-1.3450900216e-11,-4.6171044442e-10,-6.0777023791e-12,1.9280734694e-15,-3.6544787653e-10,-3.1913090089e+01,4.1935141710e+00,-1.4766631801e+03,-3.0134356989e-11,-1.3452828290e-11,-9.6262567887e-11,-4.5847446919e-12,-8.1549958196e-13,-1.8215918277e-11,1,0.0000000000e+00,1.5000000596e-01,1.9999999553e-02,0.0000000000e+00
1.0000000000e+17,-2.1238595461e-02,7.0481585583e-03,-6.7724622148e+00,-1.6707576692e+05,1.1241592308e+00,0.0000000000e+00,9.7581707357e-01,0.0000000000e+00,2.9323779687e+02,-1.0000000000e+17,4.0727403846e+00,-4.1481346271e-01,1.0192631946e-292,3.0000000000e+02,1.6000000139e-02,-6.7439151501e+12,-2.0871974045e+06,-1.4834215720e-01,1.1365100238e+03,0.0000000000e+00,1.0192631946e-292,1.4170000000e+03,4.5331535620e-04,2.1108530354e+06,9.9993256085e+16,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,3.0308777941e-17,6.8832426142e-09,-1.9201216376e+06,-4.4893339901e-11,-6.9925732534e-12,-4.7100412647e-10,-1.1487211749e-11,2.8946437079e-15,-3.6713621266e-10,-5.4586416778e+01,3.6417850301e+00,-1.4967253821e+03,-3.3406128152e-11,-6.9954678971e-12,-1.0386791381e-10,-4.8939996724e-12,-3.0035684468e-13,-1.8709029213e-11,1,3.0000000261e-03,1.5000000596e-01,1.9999999553e-02,3.0000000261e-03
1.0000000000e+17,-4.7402456926e-02,8.7212456697e-03,-7.7154082665e+00,-3.3415149804e+05,1.1241592308e+00,0.0000000000e+00,9.7581532977e-01,0.0000000000e+00,5.6725567769e+02,-1.0000000000e+17,4.0727403846e+00,-4.1481171890e-01,2.0385243640e-292,3.0000000000e+02,3.2000000278e-02,-1.3487830342e+13,-4.1743943618e+06,-1.4834390100e-01,1.1173867767e+03,0.0000000000e+00,2.0385243640e-292,1.4170000000e+03,9.0663061036e-04,2.1428246605e+06,9.9986512170e+16,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,3.7656356981e-17,7.4135686276e-09,-3.8402428637e+06,-5.3574580857e-11,-5.3424192388e-13,-4.8029780260e-10,-1.6896721227e-11,3.8612129712e-15,-3.6882454808e-10,-7.7259742942e+01,3.0900558454e+00,-1.5167875750e+03,-3.6677859631e-11,-5.3810313685e-13,-1.1147325452e-10,-5.2032483569e-12,2.1478712372e-13,-1.9202140402e-11,1,6.0000000522e-03,1.5000000596e-01,1.9999999553e-02,6.0000000522e-03
1.0000000000e+17,-7.3566314329e-02,1.0394332521e-02,-8.6583541719e+00,-5.0122720322e+05,1.1241592308e+00,0.0000000000e+00,9.7581358597e-01,0.0000000000e+00,8.4127351598e+02,-1.0000000000e+17,4.0727403846e+00,-4.1480997510e-01,3.0577853753e-292,3.0000000000e+02,4.7999997934e-02,-2.0231744487e+13,-6.2615909950e+06,-1.4834564480e-01,1.0982635325e+03,0.0000000000e+00,3.0577853753e-292,1.4170000000e+03,1.3599457942e-03,2.1747962807e+06,9.9979768256e+16,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,4.5003934881e-17,7.9438945586e-09,-5.7603637918e+06,-6.2255820466e-11,5.9240884032e-12,-4.8959147729e-10,-2.2306229864e-11,4.8277820846e-15,-3.7051288323e-10,-9.9933065587e+01,2.5383267463e+00,-1.5368497647e+03,-3.9949590601e-11,5.9192606211e-12,-1.1907859406e-10,-5.5124969935e-12,7.2993101215e-13,-1.9695251516e-11,1,8.9999996126e-03,1.5000000596e-01,1.9999999553e-02,8.9999996126e-03
1.0000000000e+17,-9.9730179854e-02,1.2067419893e-02,-9.6013003700e+00,-6.6830296027e+05,1.1241592308e+00,0.0000000000e+00,9.7581184216e-01,0.0000000000e+00,1.1152914393e+03,-1.0000000000e+17,4.0727403846e+00,-4.1480823130e-01,4.0770467030e-292,3.0000000000e+02,6.4000000556e-02,-2.6975660726e+13,-8.3487882763e+06,-1.4834738861e-01,1.0791402824e+03,0.0000000000e+00,4.0770467030e-292,1.4170000000e+03,1.8132611187e-03,2.2067679108e+06,9.9973024339e+16,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,5.2351515062e-17,8.4742206543e-09,-7.6804853160e+06,-7.0937062769e-11,1.2382420735e-11,-4.9888515486e-10,-2.7715740182e-11,5.7943514979e-15,-3.7220121890e-10,-1.2260639527e+02,1.9865974760e+00,-1.5569119606e+03,-4.3221322588e-11,1.2376626384e-11,-1.2668393596e-10,-5.8217457260e-12,1.2450750605e-12,-2.0188362782e-11,1,1.2000000104e-02,1.5000000596e-01,1.9999999553e-02,1.2000000104e-02
1.0000000000e+17,-1.2589403726e-01,1.3740506744e-02,-1.0544246275e+01,-8.3537866545e+05,1.1241592308e+00,0.0000000000e+00,9.7581009836e-01,0.0000000000e+00,1.3893092776e+03,-1.0000000000e+17,4.0727403846e+00,-4.1480648749e-01,5.0963077143e-292,3.0000000000e+02,7.9999998212e-02,-3.3719574871e+13,-1.0435984910e+07,-1.4834913241e-01,1.0600170382e+03,0.0000000000e+00,5.0963077143e-292,1.4170000000e+03,2.2665763025e-03,2.2387395310e+06,9.9966280425e+16,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,5.9699092962e-17,9.0045465854e-09,-9.6006062441e+06,-7.9618302378e-11,1.8840751062e-11,-5.0817882955e-10,-3.3125248819e-11,6.7609206113e-15,-3.7388955406e-10,-1.4527971791e+02,1.4348683769e+00,-1.5769741503e+03,-4.6493053558e-11,1.8833990142e-11,-1.3428927550e-10,-6.1309943626e-12,1.7602189489e-12,-2.0681473895e-11,1,1.4999999665e-02,1.5000000596e-01,1.9999999553e-02,1.4999999665e-02
1.0000000000e+17,-1.5205789466e-01,1.5413593596e-02,-1.1487192181e+01,-1.0024543706e+06,1.1241592308e+00,0.0000000000e+00,9.7580835455e-01,0.0000000000e+00,1.6633271159e+03,-1.0000000000e+17,4.0727403846e+00,-4.1480474369e-01,6.1155687255e-292,3.0000000000e+02,9.5999995867e-02,-4.0463489016e+13,-1.2523181543e+07,-1.4835087622e-01,1.0408937940e+03,0.0000000000e+00,6.1155687255e-292,1.4170000000e+03,2.7198914863e-03,2.2707111513e+06,9.9959536511e+16,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,6.7046670862e-17,9.5348725164e-09,-1.1520727172e+07,-8.8299541986e-11,2.5299081389e-11,-5.1747250424e-10,-3.8534757457e-11,7.7274897246e-15,-3.7557788921e-10,-1.6795304056e+02,8.8313927784e-01,-1.5970363401e+03,-4.9764784529e-11,2.5291353900e-11,-1.4189461503e-10,-6.4402429991e-12,2.2753628374e-12,-2.1174585009e-11,1,1.7999999225e-02,1.5000000596e-01,1.9999999553e-02,1.7999999225e-02
1.0000000000e+17,-8.3838438247e-01,-2.2316785014e-01,-1.8572934478e+01,-1.1697560105e+06,1.1241592308e+00,0.0000000000e+00,9.7580399816e-01,0.0000000000e+00,1.5067918813e+04,-1.0000000000e+17,4.0727403846e+00,-4.1480038730e-01,5.3407497928e-233,3.0000000000e+02,1.0000000000e-01,-5.7298451263e+13,-1.4620174318e+07,-1.4835523261e-01,1.0217918078e+03,0.0000000000e+00,5.3407497928e-233,1.4170000000e+03,3.2167772850e-03,2.3518510921e+06,9.9942701549e+16,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.1638887376e-17,9.3916678478e-09,-1.3450418308e+07,-8.1333861503e-11,2.4045880089e-11,-5.1541069378e-10,-4.4642988766e-11,8.0631229512e-15,-3.7714146087e-10,-2.0070339925e+02,-8.6947225714e-01,-1.6514722506e+03,-3.6690872737e-11,2.4037816966e-11,-1.3826923291e-10,-4.9741162133e-12,2.3903179980e-12,-2.0241109755e-11,1,2.0999999717e-02,1.5000000596e-01,1.9999999553e-02,2.0999999717e-02
1.0000000000e+17,-1.7447633927e+00,-5.4183407519e-01,-2.7706283361e+01,-1.3371328946e+06,1.1241592308e+00,0.0000000000e+00,9.7579877090e-01,0.0000000000e+00,3.2849628882e+04,-1.0000000000e+17,4.0727403846e+00,-4.1479516004e-01,1.2461737990e-232,3.0000000000e+02,1.0000000000e-01,-7.7497099713e+13,-1.6720431633e+07,-1.4836045987e-01,1.0026969154e+03,0.0000000000e+00,1.2461737990e-232,1.4170000000e+03,3.7281864143e-03,2.4493804761e+06,9.9922502900e+16,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.5312677466e-17,9.0239540304e-09,-1.5383298738e+07,-6.9152633041e-11,2.0222149424e-11,-5.0956373267e-10,-5.0984146603e-11,8.1884437598e-15,-3.7866344149e-10,-2.3681284839e+02,-3.0223818268e+00,-1.7173660439e+03,-1.8168486438e-11,2.0213960980e-11,-1.3090029118e-10,-2.9162054210e-12,2.3718743963e-12,-1.8832105566e-11,1,2.4000000209e-02,1.5000000596e-01,1.9999999553e-02,2.4000000209e-02
1.0000000000e+17,-2.6511424028e+00,-8.6050030023e-01,-3.6839632245e+01,-1.5045097787e+06,1.1241592308e+00,0.0000000000e+00,9.7579354365e-01,0.0000000000e+00,5.0631338951e+04,-1.0000000000e+17,4.0727403846e+00,-4.1478993278e-01,1.9582726188e-232,3.0000000000e+02,1.0000000000e-01,-9.7695748163e+13,-1.8820688947e+07,-1.4836568712e-01,9.8360202305e+02,0.0000000000e+00,1.9582726188e-232,1.4170000000e+03,4.2395955437e-03,2.5469098601e+06,9.9902304252e+16,0.0000000000e+00,0.0000000000e+00,4.7050000000e+02,7.8986467557e-17,8.6562402129e-09,-1.7316179168e+07,-5.6971404580e-11,1.6398418759e-11,-5.0371677157e-10,-5.7325304440e-11,8.3137645684e-15,-3.8018542211e-10,-2.7292229752e+02,-5.1752913964e+00,-1.7832598372e+03,3.5389986058e-13,1.6390104994e-11,-1.2353134945e-10,-8.5829462866e-13,2.3534307947e-12,-1.7423101376e-11,1,2.7000000700e-02,1.5000000596e-01,1.9999999553e-02,2.7000000700e-02
