#Acceptor concentration [cm-3]	Jn [A cm-2]:0	Jn [A cm-2]:1	Jn [A cm-2]:2	ArsenicActiveConcentration	BoronActiveConcentration	Conduction band level [eV]	Donor concentration [cm-3]	Dopant concentration [cm-3]	DopingConcentration	Electron Mobility [cm2 s-1 V-1]	Electron density [cm-3]	Electron quasi fermi band level [eV]	Electron quasi fermi potential [V]	Electrostatic potential [V]	G Impact ionization [cm-3 s-1]	GR Auger [cm-3 s-1]	GR Srh [cm-3 s-1]	Hole Mobility [cm2 s-1 V-1]	Hole density [cm-3]	Hole quasi fermi band level [eV]	Hole quasi fermi potential [V]	Middle band level [eV]	PhosphorusActiveConcentration	Space Charge [cm-3]	Valence band level [eV]	Jp [A cm-2]:0	Jp [A cm-2]:1	Jp [A cm-2]:2	Electron Avalanche field [V cm-1]	Hole Avalanche field [V cm-1]	Electric field [V cm-1]:0	Electric field [V cm-1]:1	Electric field [V cm-1]:2	Electron velocity [cm s-1]:0	Electron velocity [cm s-1]:1	Electron velocity [cm s-1]:2	Grad Electron quasi fermi potential [V cm]:0	Grad Electron quasi fermi potential [V cm]:1	Grad Electron quasi fermi potential [V cm]:2	Grad Hole quasi fermi potential [V cm]:0	Grad Hole quasi fermi potential [V cm]:1	Grad Hole quasi fermi potential [V cm]:2	Hole velocity [cm s-1]:0	Hole velocity [cm s-1]:1	Hole velocity [cm s-1]:2	Jn element [A cm-2]:0	Jn element [A cm-2]:1	Jn element [A cm-2]:2	Jp element [A cm-2]:0	Jp element [A cm-2]:1	Jp element [A cm-2]:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.00E+017	-1.74E-011	-4.61E-013	-2.37E-010	9.61E+000	1.00E+017	1.02E+000	1.92E+001	-1.00E+017	-1.00E+017	1.42E+003	1.16E+003	4.42E-002	0.00E+000	-4.15E-001	0.00E+000	-1.58E-010	0.00E+000	4.70E+002	1.00E+017	4.42E-002	0.00E+000	4.59E-001	9.61E+000	0.00E+000	-1.03E-001	7.44E-011	3.49E-011	-3.72E-011	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	0.00E+000	1.50E-001	2.00E-002	0.00E+000
1.00E+017	-2.31E-011	-6.41E-013	-2.39E-010	1.47E+002	1.00E+017	1.02E+000	2.93E+002	-1.00E+017	-1.00E+017	1.42E+003	1.14E+003	4.38E-002	3.01E-004	-4.15E-001	0.00E+000	1.33E+004	1.30E+006	4.70E+002	1.00E+017	4.42E-002	-1.64E-023	4.59E-001	1.47E+002	0.00E+000	-1.03E-001	4.46E-011	2.09E-011	-6.40E-011	0.00E+000	0.00E+000	-4.82E-002	-3.62E-001	-2.22E+000	0.00E+000	0.00E+000	0.00E+000	2.07E+002	5.00E+000	1.00E+003	-2.96E-011	-2.78E-011	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-5.23E-011	-1.26E-012	-2.54E-010	2.23E-010	2.09E-010	-0.00E+000	1	3.00E-003	1.50E-001	2.00E-002	3.00E-003
1.00E+017	-2.87E-011	-8.22E-013	-2.42E-010	2.84E+002	1.00E+017	1.02E+000	5.67E+002	-1.00E+017	-1.00E+017	1.42E+003	1.13E+003	4.35E-002	6.01E-004	-4.15E-001	0.00E+000	2.67E+004	2.59E+006	4.70E+002	1.00E+017	4.42E-002	-1.64E-023	4.59E-001	2.84E+002	0.00E+000	-1.03E-001	1.49E-011	6.98E-012	-9.07E-011	0.00E+000	0.00E+000	-4.82E-002	-3.62E-001	-2.22E+000	0.00E+000	0.00E+000	0.00E+000	2.07E+002	5.00E+000	1.00E+003	-2.96E-011	-2.78E-011	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-5.23E-011	-1.26E-012	-2.54E-010	2.23E-010	2.09E-010	-0.00E+000	1	6.00E-003	1.50E-001	2.00E-002	6.00E-003
1.00E+017	-3.43E-011	-1.00E-012	-2.44E-010	4.21E+002	1.00E+017	1.02E+000	8.41E+002	-1.00E+017	-1.00E+017	1.42E+003	1.12E+003	4.32E-002	9.02E-004	-4.15E-001	0.00E+000	4.00E+004	3.89E+006	4.70E+002	1.00E+017	4.42E-002	-1.64E-023	4.59E-001	4.21E+002	0.00E+000	-1.03E-001	-1.49E-011	-6.97E-012	-1.17E-010	0.00E+000	0.00E+000	-4.82E-002	-3.62E-001	-2.22E+000	0.00E+000	0.00E+000	0.00E+000	2.07E+002	5.00E+000	1.00E+003	-2.96E-011	-2.78E-011	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-5.23E-011	-1.26E-012	-2.54E-010	2.23E-010	2.09E-010	-0.00E+000	1	9.00E-003	1.50E-001	2.00E-002	9.00E-003
1.00E+017	-3.99E-011	-1.18E-012	-2.47E-010	5.58E+002	1.00E+017	1.02E+000	1.12E+003	-1.00E+017	-1.00E+017	1.42E+003	1.10E+003	4.29E-002	1.20E-003	-4.15E-001	0.00E+000	5.33E+004	5.19E+006	4.70E+002	1.00E+017	4.42E-002	-1.64E-023	4.59E-001	5.58E+002	0.00E+000	-1.03E-001	-4.46E-011	-2.09E-011	-1.44E-010	0.00E+000	0.00E+000	-4.82E-002	-3.62E-001	-2.22E+000	0.00E+000	0.00E+000	0.00E+000	2.07E+002	5.00E+000	1.00E+003	-2.96E-011	-2.78E-011	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-5.23E-011	-1.26E-012	-2.54E-010	2.23E-010	2.09E-010	-0.00E+000	1	1.20E-002	1.50E-001	2.00E-002	1.20E-002
1.00E+017	-4.55E-011	-1.36E-012	-2.49E-010	6.95E+002	1.00E+017	1.02E+000	1.39E+003	-1.00E+017	-1.00E+017	1.42E+003	1.09E+003	4.26E-002	1.50E-003	-4.15E-001	0.00E+000	6.66E+004	6.48E+006	4.70E+002	1.00E+017	4.42E-002	-1.64E-023	4.59E-001	6.95E+002	0.00E+000	-1.03E-001	-7.44E-011	-3.49E-011	-1.71E-010	0.00E+000	0.00E+000	-4.82E-002	-3.62E-001	-2.22E+000	0.00E+000	0.00E+000	0.00E+000	2.07E+002	5.00E+000	1.00E+003	-2.96E-011	-2.78E-011	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-5.23E-011	-1.26E-012	-2.54E-010	2.23E-010	2.09E-010	-0.00E+000	1	1.50E-002	1.50E-001	2.00E-002	1.50E-002
1.00E+017	-5.11E-011	-1.55E-012	-2.52E-010	8.32E+002	1.00E+017	1.02E+000	1.66E+003	-1.00E+017	-1.00E+017	1.42E+003	1.08E+003	4.23E-002	1.80E-003	-4.15E-001	0.00E+000	8.00E+004	7.78E+006	4.70E+002	1.00E+017	4.42E-002	-1.64E-023	4.59E-001	8.32E+002	0.00E+000	-1.03E-001	-1.04E-010	-4.88E-011	-1.98E-010	0.00E+000	0.00E+000	-4.82E-002	-3.62E-001	-2.22E+000	0.00E+000	0.00E+000	0.00E+000	2.07E+002	5.00E+000	1.00E+003	-2.96E-011	-2.78E-011	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-5.23E-011	-1.26E-012	-2.54E-010	2.23E-010	2.09E-010	-0.00E+000	1	1.80E-002	1.50E-001	2.00E-002	1.80E-002
1.00E+017	-5.76E-011	-1.25E-012	-2.53E-010	7.53E+003	1.00E+017	1.02E+000	1.51E+004	-1.00E+017	-1.00E+017	1.42E+003	1.07E+003	4.20E-002	2.12E-003	-4.15E-001	0.00E+000	9.32E+004	9.07E+006	4.70E+002	1.00E+017	4.42E-002	6.66E-018	4.59E-001	7.53E+003	0.00E+000	-1.03E-001	-1.08E-010	-4.68E-011	-1.99E-010	0.00E+000	0.00E+000	-5.35E-001	-1.17E+000	-6.53E+000	0.00E+000	0.00E+000	0.00E+000	4.56E+002	1.87E+001	1.07E+003	-1.90E-026	2.78E-011	2.96E-011	0.00E+000	0.00E+000	0.00E+000	-1.07E-010	-4.39E-012	-2.52E-010	1.44E-025	-2.09E-010	-2.23E-010	1	2.10E-002	1.50E-001	2.00E-002	2.10E-002
1.00E+017	-6.44E-011	-7.89E-013	-2.54E-010	1.64E+004	1.00E+017	1.02E+000	3.28E+004	-1.00E+017	-1.00E+017	1.42E+003	1.05E+003	4.17E-002	2.44E-003	-4.15E-001	0.00E+000	1.06E+005	1.04E+007	4.70E+002	1.00E+017	4.42E-002	1.55E-017	4.59E-001	1.64E+004	0.00E+000	-1.03E-001	-1.04E-010	-3.95E-011	-1.92E-010	0.00E+000	0.00E+000	-5.35E-001	-1.17E+000	-6.53E+000	0.00E+000	0.00E+000	0.00E+000	4.56E+002	1.87E+001	1.07E+003	-1.90E-026	2.78E-011	2.96E-011	0.00E+000	0.00E+000	0.00E+000	-1.07E-010	-4.39E-012	-2.52E-010	1.44E-025	-2.09E-010	-2.23E-010	1	2.40E-002	1.50E-001	2.00E-002	2.40E-002
1.00E+017	-7.13E-011	-3.31E-013	-2.54E-010	2.53E+004	1.00E+017	1.02E+000	5.06E+004	-1.00E+017	-1.00E+017	1.42E+003	1.04E+003	4.14E-002	2.77E-003	-4.15E-001	0.00E+000	1.20E+005	1.17E+007	4.70E+002	1.00E+017	4.42E-002	2.44E-017	4.59E-001	2.53E+004	0.00E+000	-1.03E-001	-9.93E-011	-3.22E-011	-1.85E-010	0.00E+000	0.00E+000	-5.35E-001	-1.17E+000	-6.53E+000	0.00E+000	0.00E+000	0.00E+000	4.56E+002	1.87E+001	1.07E+003	-1.90E-026	2.78E-011	2.96E-011	0.00E+000	0.00E+000	0.00E+000	-1.07E-010	-4.39E-012	-2.52E-010	1.44E-025	-2.09E-010	-2.23E-010	1	2.70E-002	1.50E-001	2.00E-002	2.70E-002
