#AcceptorConcentration	ElectricField:0	ElectricField:1	ElectricField:2	AugerRecombination	BandGap	BandgapNarrowing	ConductionBandEnergy	DisplaceCurrentDensity	DonorConcentration	DopingConcentration	ElectronAffinity	ElectrostaticPotential	ImpactIonization	LatticeTemperature	QuasiFermiPotential	SpaceCharge	TotalRecombination	ValenceBandEnergy	eDensity	eEparallel	eImpactIonization	eMobility	eQuasiFermiPotential	eVelocity	hDensity	hEparallel	hImpactIonization	hMobility	hQuasiFermiPotential	hVelocity	srhRecombination	TotalCurrentDensity:0	TotalCurrentDensity:1	TotalCurrentDensity:2	eCurrentDensity:0	eCurrentDensity:1	eCurrentDensity:2	eGradQuasiFermi:0	eGradQuasiFermi:1	eGradQuasiFermi:2	hCurrentDensity:0	hCurrentDensity:1	hCurrentDensity:2	hGradQuasiFermi:0	hGradQuasiFermi:1	hGradQuasiFermi:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.00E+017	4.93E-003	5.38E-003	-5.83E+000	3.61E-008	1.12E+000	0.00E+000	9.76E-001	0.00E+000	1.92E+001	-1.00E+017	4.07E+000	-4.15E-001	0.00E+000	3.00E+002	0.00E+000	-1.05E+003	4.51E-007	-1.48E-001	1.16E+003	0.00E+000	0.00E+000	1.42E+003	0.00E+000	2.08E+006	1.00E+017	0.00E+000	0.00E+000	4.71E+002	2.30E-017	6.35E-009	4.15E-007	-3.62E-011	-1.35E-011	-4.62E-010	-6.08E-012	1.93E-015	-3.65E-010	-3.19E+001	4.19E+000	-1.48E+003	-3.01E-011	-1.35E-011	-9.63E-011	-4.58E-012	-8.15E-013	-1.82E-011	1	0.00E+000	1.50E-001	2.00E-002	0.00E+000
1.00E+017	-2.12E-002	7.05E-003	-6.77E+000	-1.67E+005	1.12E+000	0.00E+000	9.76E-001	0.00E+000	2.93E+002	-1.00E+017	4.07E+000	-4.15E-001	1.02E-292	3.00E+002	1.60E-002	-6.74E+012	-2.09E+006	-1.48E-001	1.14E+003	0.00E+000	1.02E-292	1.42E+003	4.53E-004	2.11E+006	1.00E+017	0.00E+000	0.00E+000	4.71E+002	3.03E-017	6.88E-009	-1.92E+006	-4.49E-011	-6.99E-012	-4.71E-010	-1.15E-011	2.89E-015	-3.67E-010	-5.46E+001	3.64E+000	-1.50E+003	-3.34E-011	-7.00E-012	-1.04E-010	-4.89E-012	-3.00E-013	-1.87E-011	1	3.00E-003	1.50E-001	2.00E-002	3.00E-003
1.00E+017	-4.74E-002	8.72E-003	-7.72E+000	-3.34E+005	1.12E+000	0.00E+000	9.76E-001	0.00E+000	5.67E+002	-1.00E+017	4.07E+000	-4.15E-001	2.04E-292	3.00E+002	3.20E-002	-1.35E+013	-4.17E+006	-1.48E-001	1.12E+003	0.00E+000	2.04E-292	1.42E+003	9.07E-004	2.14E+006	1.00E+017	0.00E+000	0.00E+000	4.71E+002	3.77E-017	7.41E-009	-3.84E+006	-5.36E-011	-5.34E-013	-4.80E-010	-1.69E-011	3.86E-015	-3.69E-010	-7.73E+001	3.09E+000	-1.52E+003	-3.67E-011	-5.38E-013	-1.11E-010	-5.20E-012	2.15E-013	-1.92E-011	1	6.00E-003	1.50E-001	2.00E-002	6.00E-003
1.00E+017	-7.36E-002	1.04E-002	-8.66E+000	-5.01E+005	1.12E+000	0.00E+000	9.76E-001	0.00E+000	8.41E+002	-1.00E+017	4.07E+000	-4.15E-001	3.06E-292	3.00E+002	4.80E-002	-2.02E+013	-6.26E+006	-1.48E-001	1.10E+003	0.00E+000	3.06E-292	1.42E+003	1.36E-003	2.17E+006	1.00E+017	0.00E+000	0.00E+000	4.71E+002	4.50E-017	7.94E-009	-5.76E+006	-6.23E-011	5.92E-012	-4.90E-010	-2.23E-011	4.83E-015	-3.71E-010	-9.99E+001	2.54E+000	-1.54E+003	-3.99E-011	5.92E-012	-1.19E-010	-5.51E-012	7.30E-013	-1.97E-011	1	9.00E-003	1.50E-001	2.00E-002	9.00E-003
1.00E+017	-9.97E-002	1.21E-002	-9.60E+000	-6.68E+005	1.12E+000	0.00E+000	9.76E-001	0.00E+000	1.12E+003	-1.00E+017	4.07E+000	-4.15E-001	4.08E-292	3.00E+002	6.40E-002	-2.70E+013	-8.35E+006	-1.48E-001	1.08E+003	0.00E+000	4.08E-292	1.42E+003	1.81E-003	2.21E+006	1.00E+017	0.00E+000	0.00E+000	4.71E+002	5.24E-017	8.47E-009	-7.68E+006	-7.09E-011	1.24E-011	-4.99E-010	-2.77E-011	5.79E-015	-3.72E-010	-1.23E+002	1.99E+000	-1.56E+003	-4.32E-011	1.24E-011	-1.27E-010	-5.82E-012	1.25E-012	-2.02E-011	1	1.20E-002	1.50E-001	2.00E-002	1.20E-002
1.00E+017	-1.26E-001	1.37E-002	-1.05E+001	-8.35E+005	1.12E+000	0.00E+000	9.76E-001	0.00E+000	1.39E+003	-1.00E+017	4.07E+000	-4.15E-001	5.10E-292	3.00E+002	8.00E-002	-3.37E+013	-1.04E+007	-1.48E-001	1.06E+003	0.00E+000	5.10E-292	1.42E+003	2.27E-003	2.24E+006	1.00E+017	0.00E+000	0.00E+000	4.71E+002	5.97E-017	9.00E-009	-9.60E+006	-7.96E-011	1.88E-011	-5.08E-010	-3.31E-011	6.76E-015	-3.74E-010	-1.45E+002	1.43E+000	-1.58E+003	-4.65E-011	1.88E-011	-1.34E-010	-6.13E-012	1.76E-012	-2.07E-011	1	1.50E-002	1.50E-001	2.00E-002	1.50E-002
1.00E+017	-1.52E-001	1.54E-002	-1.15E+001	-1.00E+006	1.12E+000	0.00E+000	9.76E-001	0.00E+000	1.66E+003	-1.00E+017	4.07E+000	-4.15E-001	6.12E-292	3.00E+002	9.60E-002	-4.05E+013	-1.25E+007	-1.48E-001	1.04E+003	0.00E+000	6.12E-292	1.42E+003	2.72E-003	2.27E+006	1.00E+017	0.00E+000	0.00E+000	4.71E+002	6.70E-017	9.53E-009	-1.15E+007	-8.83E-011	2.53E-011	-5.17E-010	-3.85E-011	7.73E-015	-3.76E-010	-1.68E+002	8.83E-001	-1.60E+003	-4.98E-011	2.53E-011	-1.42E-010	-6.44E-012	2.28E-012	-2.12E-011	1	1.80E-002	1.50E-001	2.00E-002	1.80E-002
1.00E+017	-8.38E-001	-2.23E-001	-1.86E+001	-1.17E+006	1.12E+000	0.00E+000	9.76E-001	0.00E+000	1.51E+004	-1.00E+017	4.07E+000	-4.15E-001	5.34E-233	3.00E+002	1.00E-001	-5.73E+013	-1.46E+007	-1.48E-001	1.02E+003	0.00E+000	5.34E-233	1.42E+003	3.22E-003	2.35E+006	9.99E+016	0.00E+000	0.00E+000	4.71E+002	7.16E-017	9.39E-009	-1.35E+007	-8.13E-011	2.40E-011	-5.15E-010	-4.46E-011	8.06E-015	-3.77E-010	-2.01E+002	-8.69E-001	-1.65E+003	-3.67E-011	2.40E-011	-1.38E-010	-4.97E-012	2.39E-012	-2.02E-011	1	2.10E-002	1.50E-001	2.00E-002	2.10E-002
1.00E+017	-1.74E+000	-5.42E-001	-2.77E+001	-1.34E+006	1.12E+000	0.00E+000	9.76E-001	0.00E+000	3.28E+004	-1.00E+017	4.07E+000	-4.15E-001	1.25E-232	3.00E+002	1.00E-001	-7.75E+013	-1.67E+007	-1.48E-001	1.00E+003	0.00E+000	1.25E-232	1.42E+003	3.73E-003	2.45E+006	9.99E+016	0.00E+000	0.00E+000	4.71E+002	7.53E-017	9.02E-009	-1.54E+007	-6.92E-011	2.02E-011	-5.10E-010	-5.10E-011	8.19E-015	-3.79E-010	-2.37E+002	-3.02E+000	-1.72E+003	-1.82E-011	2.02E-011	-1.31E-010	-2.92E-012	2.37E-012	-1.88E-011	1	2.40E-002	1.50E-001	2.00E-002	2.40E-002
1.00E+017	-2.65E+000	-8.61E-001	-3.68E+001	-1.50E+006	1.12E+000	0.00E+000	9.76E-001	0.00E+000	5.06E+004	-1.00E+017	4.07E+000	-4.15E-001	1.96E-232	3.00E+002	1.00E-001	-9.77E+013	-1.88E+007	-1.48E-001	9.84E+002	0.00E+000	1.96E-232	1.42E+003	4.24E-003	2.55E+006	9.99E+016	0.00E+000	0.00E+000	4.71E+002	7.90E-017	8.66E-009	-1.73E+007	-5.70E-011	1.64E-011	-5.04E-010	-5.73E-011	8.31E-015	-3.80E-010	-2.73E+002	-5.18E+000	-1.78E+003	3.54E-013	1.64E-011	-1.24E-010	-8.58E-013	2.35E-012	-1.74E-011	1	2.70E-002	1.50E-001	2.00E-002	2.70E-002
