# 1 Katode	# 2 I electrons	# 3 I holes	# 4 I tot	# 5 Anode	# 6 I electrons	# 7 I holes	# 8 I tot	
0       4.73381e-14     5.75772e-20     4.73381e-14     -7.2    -5.91457e-18    -4.73322e-14    -4.73381e-14    0       2.51423e-15   5.55543e-20     2.51428e-15     -7.1    -6.17744e-18    -2.5081e-15     -2.51427e-15
0       1.47932e-16     5.35427e-20     1.47986e-16     -7      -6.11178e-18    -1.41885e-16    -1.47997e-16
0       7.6306e-17      5.15432e-20     7.63575e-17     -6.9    -6.04612e-18    -7.02999e-17    -7.63461e-17
0       6.23602e-17     4.95572e-20     6.24098e-17     -6.8    -5.98044e-18    -5.64276e-17    -6.24081e-17
0       4.51971e-17     4.75857e-20     4.52446e-17     -6.7    -5.91475e-18    -3.93376e-17    -4.52523e-17
#0      4.52171e-17     4.563e-20       4.52627e-17     -6.6    -5.84905e-18    -3.93956e-17    -4.52447e-17
0       2.79011e-17     4.563e-20       2.79467e-17     -6.6    -5.84905e-18    -2.21189e-17    -2.79679e-17
0       2.58545e-17     4.36917e-20     2.58982e-17     -6.5    -5.78334e-18    -2.00927e-17    -2.5876e-17
0       2.4473e-17      4.17722e-20     2.45148e-17     -6.4    -5.71761e-18    -1.88015e-17    -2.45191e-17
0       2.25163e-17     3.98735e-20     2.25561e-17     -6.3    -5.65186e-18    -1.69509e-17    -2.26027e-17
0       2.10177e-17     3.79975e-20     2.10557e-17     -6.2    -5.5861e-18     -1.54197e-17    -2.10058e-17
0       1.96058e-17     3.61464e-20     1.96419e-17     -6.1    -5.52031e-18    -1.4118e-17     -1.96383e-17
0       1.83898e-17     3.43225e-20     1.84241e-17     -6      -5.45449e-18    -1.30004e-17    -1.84549e-17
0       1.746e-17       3.25285e-20     1.74926e-17     -5.9    -5.38864e-18    -1.20612e-17    -1.74499e-17
0       1.64919e-17     3.07674e-20     1.65227e-17     -5.8    -5.32275e-18    -1.12225e-17    -1.65452e-17
0       1.58219e-17     2.90421e-20     1.5851e-17      -5.7    -5.25681e-18    -1.05805e-17    -1.58373e-17
0       1.70349e-17     2.73562e-20     1.70623e-17     -5.6    -5.19083e-18    -1.18547e-17    -1.70456e-17
0       1.27312e-17     2.10808e-20     1.27522e-17     -5.2    -4.92616e-18    -7.77841e-18    -1.27046e-17
0       1.21808e-17     1.96488e-20     1.22004e-17     -5.1    -4.85974e-18    -7.36106e-18    -1.22208e-17
0       1.17291e-17     1.82795e-20     1.17474e-17     -5      -4.79319e-18    -6.94316e-18    -1.17364e-17
0       1.12362e-17     1.69765e-20     1.12532e-17     -4.9    -4.72649e-18    -6.53708e-18    -1.12636e-17
0       1.077e-17       1.57428e-20     1.07857e-17     -4.8    -4.6596e-18     -6.15651e-18    -1.08161e-17
0       1.0383e-17      1.4581e-20      1.03976e-17     -4.7    -4.59252e-18    -5.78524e-18    -1.03778e-17
0       9.99285e-18     1.34927e-20     1.00063e-17     -4.6    -4.5252e-18     -5.44644e-18    -9.97164e-18
0       9.54809e-18     1.24788e-20     9.56057e-18     -4.5    -4.45762e-18    -5.11518e-18    -9.57279e-18
0       8.70425e-18     1.1539e-20      8.71578e-18     -4.4    -4.38975e-18    -4.2752e-18     -8.66494e-18
0       8.26802e-18     1.06722e-20     8.27869e-18     -4.3    -4.32156e-18    -4.03229e-18    -8.35385e-18
0       8.14163e-18     9.87631e-21     8.15151e-18     -4.2    -4.25302e-18    -3.8035e-18     -8.05652e-18
0       8.3998e-18      9.14829e-21     8.40895e-18     -4.1    -4.1841e-18     -4.19489e-18    -8.37899e-18
0       7.03531e-18     8.14407e-21     7.04345e-18     -4      -4.16395e-18    -2.82327e-18    -6.98722e-18
0       6.84656e-18     7.75773e-21     6.85431e-18     -3.93333        -4.11727e-18    -2.73592e-18    -6.8532e-18
0       6.70794e-18     7.39552e-21     6.71534e-18     -3.86667        -4.07039e-18    -2.67061e-18    -6.741e-18
0       6.62225e-18     7.05609e-21     6.62931e-18     -3.8    -4.02329e-18    -2.63054e-18    -6.65384e-18
0       6.56182e-18     6.73811e-21     6.56856e-18     -3.73333        -3.97598e-18    -2.59286e-18    -6.56883e-18
0       6.55142e-18     6.44024e-21     6.55786e-18     -3.66667        -3.92843e-18    -2.64688e-18    -6.57531e-18
0       6.4355e-18      6.1612e-21      6.44166e-18     -3.6    -3.88066e-18    -2.49703e-18    -6.37769e-18
0       6.23466e-18     5.89974e-21     6.24056e-18     -3.53333        -3.83265e-18    -2.40817e-18    -6.24082e-18
0       6.08236e-18     5.65467e-21     6.08801e-18     -3.46667        -3.7844e-18     -2.30921e-18    -6.09361e-18
0       6.08009e-18     5.42486e-21     6.08552e-18     -3.4    -3.7359e-18     -2.2383e-18     -5.9742e-18
0       5.86537e-18     5.20923e-21     5.87058e-18     -3.33333        -3.68714e-18    -2.17544e-18    -5.86259e-18
0       5.81288e-18     5.00677e-21     5.81789e-18     -3.26667        -3.63813e-18    -2.10698e-18    -5.74511e-18
0       5.69793e-18     4.81654e-21     5.70275e-18     -3.2    -3.58886e-18    -2.02458e-18    -5.61344e-18
0       5.52119e-18     4.63766e-21     5.52583e-18     -3.13333        -3.53932e-18    -1.9135e-18     -5.45282e-18
0       5.35747e-18     4.4693e-21      5.36194e-18     -3.06667        -3.4895e-18     -1.81738e-18    -5.30689e-18
0       5.14725e-18     4.3107e-21      5.15156e-18     -3      -3.43941e-18    -1.67796e-18    -5.11737e-18
0       4.85708e-18     4.16115e-21     4.86124e-18     -2.93333        -3.38903e-18    -1.5957e-18     -4.98474e-18
