"Voltage"	"In"	"Voltage"	"Ip"
-6.93184	-6.22345e-18	-6.93184	-7.8775e-16
-6.93174	-6.22338e-18	-6.93174	-7.5139e-16
-6.93164	-6.22332e-18	-6.93164	-7.32588e-16
-6.93125	-6.22306e-18	-6.93125	-6.87486e-16
-6.925	-6.21896e-18	-6.925	-4.88687e-16
-6.9	-6.20256e-18	-6.9	-3.02301e-16
-6.8	-6.13693e-18	-6.8	-1.45939e-16
-6.4	-5.87433e-18	-6.4	-5.09703e-17
-6	-5.61135e-18	-6	-2.66787e-17
-5.6	-5.34754e-18	-5.6	-1.72554e-17
-5.2	-5.08205e-18	-5.2	-1.22166e-17
-4.8	-4.81379e-18	-4.8	-8.49432e-18
-4.4	-4.54137e-18	-4.4	-6.35795e-18
-4	-4.26288e-18	-4	-4.47051e-18
-3.6	-3.97681e-18	-3.6	-3.23883e-18
-3.2	-3.68188e-18	-3.2	-2.20692e-18
-2.8	-3.37688e-18	-2.8	-1.51534e-18
-2.4	-3.06072e-18	-2.4	-9.46886e-19
-2	-2.73192e-18	-2	-5.71244e-19
-1.6	-2.38895e-18	-1.6	-2.84714e-19
-1.2	-2.02972e-18	-1.2	-1.23753e-19
-0.8	-1.65182e-18	-0.8	-4.00862e-20
-0.4	-1.25257e-18	-0.4	-1.06913e-20
0	-3.92694e-23	0	-5.65409e-29
0.075	1.28743e-17	0.075	3.10608e-20
0.15	2.20105e-16	0.15	4.86915e-19
0.225	3.52185e-15	0.225	8.17301e-18
0.3	5.51112e-14	0.3	1.43119e-16
0.375	8.40923e-13	0.375	2.53932e-15
0.45	1.2418e-11	0.45	4.5214e-14
0.525	1.75573e-10	0.525	8.05583e-13
0.6	2.34124e-09	0.6	1.43443e-11
0.675	2.8804e-08	0.675	2.54741e-10
0.75	3.12094e-07	0.75	4.4647e-09
0.825	2.58327e-06	0.825	7.16063e-08
0.9	1.26173e-05	0.9	7.44504e-07
0.975	3.42371e-05	0.975	3.35496e-06
1.05	6.31357e-05	1.05	7.84455e-06
1.125	9.35455e-05	1.125	1.28083e-05
1.2	0.000122744	1.2	1.73772e-05
1.275	0.00015073	1.275	2.14546e-05
1.35	0.000178178	1.35	2.51651e-05
1.425	0.000205643	1.425	2.86135e-05
1.5	0.000233524	1.5	3.18673e-05
