"x"	"y"	"x"	"y"
0	4.7397e-26	0	4.80279e-31
0.05	1.19628e-18	0.05	5.2987e-20
0.0999999	8.69805e-18	0.0999999	2.80256e-19
0.15	5.63787e-17	0.15	1.47991e-18
0.2	3.60523e-16	0.2	8.73888e-18
0.25	2.30461e-15	0.25	5.59744e-17
0.3	1.47522e-14	0.3	3.73433e-16
0.35	9.45668e-14	0.35	2.53516e-15
0.4	6.06923e-13	0.4	1.73303e-14
0.45	3.89838e-12	0.45	1.18777e-13
0.499999	2.50476e-11	0.499999	8.1472e-13
0.549999	1.60857e-10	0.549999	5.58843e-12
0.599999	1.03104e-09	0.599999	3.83143e-11
0.649999	6.57295e-09	0.649999	2.6237e-10
0.699999	4.12203e-08	0.699999	1.79041e-09
0.749999	2.44418e-07	0.749999	1.20476e-08
0.799999	1.22543e-06	0.799999	7.63322e-08
0.849999	4.49681e-06	0.849999	3.99088e-07
0.899999	1.17835e-05	0.899999	1.46762e-06
0.949999	2.38001e-05	0.949999	3.75309e-06
0.999999	4.02041e-05	0.999999	7.35464e-06
1.05	6.00508e-05	1.05	1.20633e-05
1.1	8.21377e-05	1.1	1.7531e-05
1.15	0.000105304	1.15	2.34009e-05
1.2	0.000128668	1.2	2.93937e-05
1.25	0.000151709	1.25	3.53397e-05
1.3	0.000174209	1.3	4.11611e-05
1.35	0.000196126	1.35	4.6836e-05
1.4	0.000217497	1.4	5.23672e-05
1.45	0.000238381	1.45	5.77652e-05
1.5	0.000258832	1.5	6.30402e-05
1.5	0.000258833	1.5	6.30404e-05
	
