"x"	"y"	"x"	"y"
0	1.92761e-26	0	3.76053e-31
0.05	6.10988e-19	0.05	3.98258e-20
0.0999999	4.44037e-18	0.0999999	1.76729e-19
0.15	2.87658e-17	0.15	7.55536e-19
0.2	1.83832e-16	0.2	3.74929e-18
0.25	1.17427e-15	0.25	2.16879e-17
0.3	7.51025e-15	0.3	1.37956e-16
0.35	4.80943e-14	0.35	9.18396e-16
0.4	3.08291e-13	0.4	6.23308e-15
0.45	1.9773e-12	0.45	4.26336e-14
0.499999	1.26815e-11	0.499999	2.9249e-13
0.549999	8.12541e-11	0.549999	2.00873e-12
0.599999	5.1921e-10	0.599999	1.3797e-11
0.649999	3.29475e-09	0.649999	9.47043e-11
0.699999	2.04847e-08	0.699999	6.48372e-10
0.749999	1.18978e-07	0.749999	4.38739e-09
0.799999	5.69245e-07	0.799999	2.82072e-08
0.849999	1.95486e-06	0.849999	1.53687e-07
0.899999	4.829e-06	0.899999	6.03708e-07
0.949999	9.34338e-06	0.949999	1.63532e-06
0.999999	1.53307e-05	0.999999	3.33447e-06
1.05	2.24965e-05	1.05	5.6318e-06
1.1	3.05072e-05	1.1	8.39166e-06
1.15	3.90361e-05	1.15	1.14641e-05
1.2	4.78011e-05	1.2	1.47131e-05
1.25	5.65894e-05	1.25	1.80325e-05
1.3	6.52654e-05	1.3	2.13507e-05
1.35	7.37591e-05	1.35	2.4627e-05
1.4	8.20466e-05	1.4	2.78427e-05
1.45	9.01295e-05	1.45	3.09919e-05
1.5	9.8021e-05	1.5	3.40751e-05
1.5	9.80212e-05	1.5	3.40751e-05
	
