"x"	"y"	"x"	"y"
-0.5	1.2641e-14	-0.5	3.26611e-21
-0.375	5.04496e-14	-0.375	3.24012e-21
-0.25	2.07315e-13	-0.25	3.2171e-21
-0.125	8.7198e-13	-0.125	3.19661e-21
0	3.72483e-12	0	3.17828e-21
0.125	1.60064e-11	0.125	3.16185e-21
0.25	6.8443e-11	0.25	3.1471e-21
0.375	2.87785e-10	0.375	3.13387e-21
0.5	1.17473e-09	0.5	3.12207e-21
0.625	4.58365e-09	0.625	3.11171e-21
0.75	1.67094e-08	0.75	3.10317e-21
0.875	5.48432e-08	0.875	3.09767e-21
1	1.5403e-07	1	3.09781e-21
1.125	3.54818e-07	1.125	3.10657e-21
1.25	6.67415e-07	1.25	3.12464e-21
1.375	1.05761e-06	1.375	3.14931e-21
1.5	1.47418e-06	1.5	3.17655e-21
1.625	1.87909e-06	1.625	3.20333e-21
1.75	2.25475e-06	1.75	3.22814e-21
1.875	2.5971e-06	1.875	3.25059e-21
2	2.9081e-06	2	3.27075e-21
	
