"x"	"y"	"x"	"y"
-1	2.50064e-17	-1	2.50064e-17
-0.85	1.0766e-16	-0.85	1.0766e-16
-0.7	5.00181e-16	-0.7	5.00181e-16
-0.55	2.47348e-15	-0.55	2.47348e-15
-0.4	1.29124e-14	-0.4	1.29124e-14
-0.25	7.06146e-14	-0.25	7.06146e-14
-0.1	4.00495e-13	-0.1	4.00495e-13
0.05	2.32359e-12	0.05	2.32359e-12
0.2	1.35569e-11	0.2	1.35569e-11
0.35	7.80144e-11	0.35	7.80144e-11
0.5	4.3362e-10	0.5	4.3362e-10
0.65	2.26994e-09	0.65	2.26994e-09
0.8	1.07448e-08	0.8	1.07448e-08
0.95	4.27128e-08	0.95	4.27128e-08
1.1	1.30172e-07	1.1	1.30172e-07
1.25	2.96165e-07	1.25	2.96165e-07
1.4	5.33504e-07	1.4	5.33504e-07
1.55	8.19689e-07	1.55	8.19689e-07
1.7	1.13198e-06	1.7	1.13198e-06
1.85	1.45042e-06	1.85	1.45042e-06
2	1.75882e-06	2	1.75882e-06
	
