"x"	"y"	"x"	"y"
-1	7.34979e-17	-1	1.33458e-21
-0.85	3.18481e-16	-0.85	1.31596e-21
-0.7	1.48376e-15	-0.7	1.29966e-21
-0.55	7.33435e-15	-0.55	1.28554e-21
-0.4	3.81554e-14	-0.4	1.27337e-21
-0.25	2.07315e-13	-0.25	1.26285e-21
-0.1	1.16469e-12	-0.1	1.25371e-21
0.05	6.67306e-12	0.05	1.2457e-21
0.2	3.83261e-11	0.2	1.23867e-21
0.35	2.16353e-10	0.35	1.23249e-21
0.5	1.17473e-09	0.5	1.22712e-21
0.65	5.97491e-09	0.65	1.22266e-21
0.8	2.72928e-08	0.8	1.21979e-21
0.95	1.04179e-07	0.95	1.22059e-21
1.1	3.05341e-07	1.1	1.2282e-21
1.25	6.67415e-07	1.25	1.24314e-21
1.4	1.14033e-06	1.4	1.26157e-21
1.55	1.63894e-06	1.55	1.27924e-21
1.7	2.10846e-06	1.7	1.29432e-21
1.85	2.53124e-06	1.85	1.30678e-21
2	2.9081e-06	2	1.31712e-21
	
