"x"	"y"	"x"	"y"
-1	3.62932e-17	-1	1.33458e-21
-0.85	1.56781e-16	-0.85	1.31596e-21
-0.7	7.28288e-16	-0.7	1.29966e-21
-0.55	3.58983e-15	-0.55	1.28554e-21
-0.4	1.86239e-14	-0.4	1.27337e-21
-0.25	1.00916e-13	-0.25	1.26285e-21
-0.1	5.65379e-13	-0.1	1.25371e-21
0.05	3.22995e-12	0.05	1.2457e-21
0.2	1.84915e-11	0.2	1.23867e-21
0.35	1.03985e-10	0.35	1.23249e-21
0.5	5.61673e-10	0.5	1.22712e-21
0.65	2.83257e-09	0.65	1.22266e-21
0.8	1.27226e-08	0.8	1.21979e-21
0.95	4.69347e-08	0.95	1.22059e-21
1.1	1.30252e-07	1.1	1.2282e-21
1.25	2.66716e-07	1.25	1.24314e-21
1.4	4.26793e-07	1.4	1.26157e-21
1.55	5.78147e-07	1.55	1.27924e-21
1.7	7.07959e-07	1.7	1.29432e-21
1.85	8.16897e-07	1.85	1.30678e-21
2	9.0923e-07	2	1.31712e-21
	
